PRCP       041050 19000101 20171231 missing_value=99999.9 JANDOWAE POST OFFICE                      
19000101 19001231   644.4
19010101 19011231   733.5
19020101 19021231   290.1
19030101 19031231   738.2
19040101 19041231   564.3
19050101 19051231   536.1
19060101 19061231   980.3
19070101 19071231   634.2
19080101 19081231   700.4
19090101 19091231   683.2
19100101 19101231   933.3
19110101 19111231   547.1
19120101 19121231   542.2
19130101 19131231   575.2
19140101 19141231   497.0
19150101 19151231   287.2
19160101 19161231   811.8
19170101 19171231   782.3
19180101 19181231   390.9
19190101 19191231   344.7
19200101 19201231   709.8
19210101 19211231   814.4
19220101 19221231   382.8
19230101 19231231   467.1
19240101 19241231   793.3
19250101 19251231   797.0
19260101 19261231   433.0
19270101 19271231   774.9
19280101 19281231   613.3
19290101 19291231   648.7
19300101 19301231   645.0
19310101 19311231   795.2
19320101 19321231   519.2
19330101 19331231   889.9
19340101 19341231   998.8
19350101 19351231   627.7
19360101 19361231   619.2
19370101 19371231   675.2
19380101 19381231   686.4
19390101 19391231   802.5
19400101 19401231   582.5
19410101 19411231   688.5
19420101 19421231  1029.8
19430101 19431231   903.4
19440101 19441231   495.2
19450101 19451231   725.3
19460101 19461231   417.6
19470101 19471231  1045.5
19480101 19481231   509.5
19490101 19491231   677.3
19500101 19501231   846.3
19510101 19511231   403.7
19520101 19521231   672.8
19530101 19531231   591.2
19540101 19541231   949.9
19550101 19551231   743.2
19560101 19561231   970.5
19570101 19571231   562.0
19580101 19581231   834.6
19590101 19591231   905.9
19600101 19601231   565.4
19610101 19611231   659.8
19620101 19621231   847.1
19630101 19631231   530.7
19640101 19641231   665.8
19650101 19651231   704.8
19660101 19661231   559.0
19670101 19671231   556.8
19680101 19681231   568.2
19690101 19691231   436.4
19700101 19701231   665.8
19710101 19711231   822.2
19720101 19721231   752.1
19730101 19731231   691.9
19740101 19741231   755.7
19750101 19751231   699.0
19760101 19761231   599.0
19770101 19771231   523.5
19780101 19781231   888.8
19790101 19791231   664.1
19800101 19801231   575.0
19810101 19811231   842.0
19820101 19821231   655.2
19830101 19831231  1024.2
19840101 19841231   786.9
19850101 19851231   566.2
19860101 19861231   448.6
19870101 19871231   652.5
19880101 19881231   736.8
19890101 19891231   903.8
19900101 19901231   538.8
19910101 19911231   496.8
19920101 19921231   462.4
19930101 19931231   554.4
19940101 19941231   428.4
19950101 19951231   767.1
19960101 19961231   656.8
19970101 19971231   643.6
19980101 19981231   843.0
19990101 19991231   656.1
20000101 20001231   483.3
20010101 20011231   495.2
20020101 20021231   520.9
20030101 20031231   618.0
20040101 20041231   666.4
20050101 20051231   552.2
20060101 20061231   478.4
20070101 20071231   694.3
20080101 20081231   695.6
20090101 20091231   496.9
20100101 20101231  1152.8
20110101 20111231   949.6
20120101 20121231   580.6
20130101 20131231   631.6
20140101 20141231   512.6
20150101 20151231   631.4
20160101 20161231   588.4
20170101 20171231   652.8
