PRCP       041082 18870101 20171231 missing_value=99999.9 PITTSWORTH YANDILLA STREET                
18870101 18871231   777.0
18880101 18881231   476.0
18890101 18891231   790.3
18900101 18901231   905.5
18910101 18911231   811.8
18920101 18921231   890.7
18930101 18931231  1072.7
18940101 18941231   860.8
18950101 18951231   716.2
18960101 18961231   584.0
18970101 18971231   815.7
18980101 18981231   600.5
18990101 18991231   697.4
19000101 19001231   656.2
19010101 19011231   771.9
19020101 19021231   361.6
19030101 19031231   961.1
19040101 19041231   686.5
19050101 19051231   671.5
19060101 19061231   881.8
19070101 19071231   701.2
19080101 19081231   674.6
19090101 19091231   550.9
19100101 19101231   884.7
19110101 19111231   563.3
19120101 19121231   617.5
19130101 19131231   528.3
19140101 19141231   657.4
19150101 19151231   365.3
19160101 19161231   870.5
19170101 19171231   888.2
19180101 19181231   452.3
19190101 19191231   390.5
19200101 19201231   762.7
19210101 19211231   782.8
19220101 19221231   615.6
19230101 19231231   449.3
19240101 19241231   895.8
19250101 19251231   674.6
19260101 19261231   462.7
19270101 19271231   791.2
19280101 19281231   766.5
19290101 19291231   719.1
19300101 19301231   597.4
19310101 19311231   703.5
19320101 19321231   576.2
19330101 19331231   837.7
19340101 19341231   825.9
19350101 19351231   533.1
19360101 19361231   547.5
19370101 19371231   570.1
19380101 19381231   591.0
19390101 19391231   704.1
19400101 19401231   735.2
19410101 19411231   489.5
19420101 19421231   704.8
19430101 19431231   749.8
19440101 19441231   662.2
19450101 19451231   805.3
19460101 19461231   556.3
19470101 19471231   789.4
19480101 19481231   714.6
19490101 19491231   783.4
19500101 19501231   987.4
19510101 19511231   602.7
19520101 19521231   790.5
19530101 19531231   482.6
19540101 19541231   710.1
19550101 19551231   702.5
19560101 19561231  1026.3
19570101 19571231   328.2
19580101 19581231   797.9
19590101 19591231   785.0
19600101 19601231   437.2
19610101 19611231   797.6
19620101 19621231   756.9
19630101 19631231   657.0
19640101 19641231   842.1
19650101 19651231   783.7
19660101 19661231   686.8
19670101 19671231   676.6
19680101 19681231   664.5
19690101 19691231   598.6
19700101 19701231   687.3
19710101 19711231   973.6
19720101 19721231   683.0
19730101 19731231   621.7
19740101 19741231   749.2
19750101 19751231   877.6
19760101 19761231   703.8
19770101 19771231   541.0
19780101 19781231   735.1
19790101 19791231   591.4
19800101 19801231   628.2
19810101 19811231   758.2
19820101 19821231   590.8
19830101 19831231  1072.2
19840101 19841231   769.2
19850101 19851231   759.5
19860101 19861231   656.2
19870101 19871231   718.0
19880101 19881231   951.0
19890101 19891231   730.4
19900101 19901231   666.0
19910101 19911231   758.0
19920101 19921231   576.4
19930101 19931231   526.0
19940101 19941231   430.6
19950101 19951231   964.0
19960101 19961231  1068.8
19970101 19971231   496.2
19980101 19981231   692.0
19990101 19991231   883.0
20000101 20001231   421.0
20010101 20011231   697.4
20020101 20021231   426.5
20030101 20031231   763.3
20040101 20041231   691.6
20050101 20051231   594.8
20060101 20061231   624.5
20070101 20071231   607.6
20080101 20081231   719.2
20090101 20091231   456.2
20100101 20101231  1252.4
20110101 20111231   969.6
20120101 20121231   601.0
20130101 20131231   725.2
20140101 20141231   658.7
20150101 20151231   696.4
20160101 20161231   548.2
20170101 20171231   695.8
