PRCP       042003 18800101 20101231 missing_value=99999.9 CHERITON                                  
18800101 18801231   591.3
18810101 18811231   429.2
18820101 18821231   647.3
18830101 18831231   594.5
18840101 18841231   519.0
18850101 18851231   420.5
18860101 18861231   896.2
18870101 18871231   697.2
18880101 18881231   274.3
18890101 18891231   743.0
18900101 18901231  1014.5
18910101 18911231   798.6
18920101 18921231   533.8
18930101 18931231   855.6
18940101 18941231   728.8
18950101 18951231   486.0
18960101 18961231   472.1
18970101 18971231   586.7
18980101 18981231   334.5
18990101 18991231   437.9
19000101 19001231   377.4
19010101 19011231   486.7
19020101 19021231   155.0
19030101 19031231   901.3
19040101 19041231   496.7
19050101 19051231   706.5
19060101 19061231   561.8
19070101 19071231   766.4
19080101 19081231   640.0
19090101 19091231   563.8
19100101 19101231   873.4
19110101 19111231   587.7
19120101 19121231   413.2
19130101 19131231   693.8
19140101 19141231   830.0
19150101 19151231   198.7
19160101 19161231   661.2
19170101 19171231   674.9
19180101 19181231   313.1
19190101 19191231   383.4
19200101 19201231   562.4
19210101 19211231   736.9
19220101 19221231   421.7
19230101 19231231   328.2
19240101 19241231   739.1
19250101 19251231   449.6
19260101 19261231   521.7
19270101 19271231   429.0
19280101 19281231   536.3
19290101 19291231   418.1
19300101 19301231   492.8
19310101 19311231   624.0
19320101 19321231   359.4
19330101 19331231   536.2
19340101 19341231   577.1
19350101 19351231   246.9
19360101 19361231   441.7
19370101 19371231   500.7
19380101 19381231   342.4
19390101 19391231   413.6
19400101 19401231   403.5
19410101 19411231   601.2
19420101 19421231   485.4
19430101 19431231   320.3
19440101 19441231   227.0
19450101 19451231   419.4
19460101 19461231   338.0
19470101 19471231   946.3
19480101 19481231   472.0
19490101 19491231   535.9
19500101 19501231   956.5
19510101 19511231   415.4
19520101 19521231   541.5
19530101 19531231   704.7
19540101 19541231   756.5
19550101 19551231   669.2
19560101 19561231   742.9
19570101 19571231   281.0
19580101 19581231   612.1
19590101 19591231   652.2
19600101 19601231   391.5
19610101 19611231   579.8
19620101 19621231   693.1
19630101 19631231   680.3
19640101 19641231   462.3
19650101 19651231   329.8
19660101 19661231   383.6
19670101 19671231   329.0
19680101 19681231   521.7
19690101 19691231   740.9
19700101 19701231   603.8
19710101 19711231   557.8
19720101 19721231   412.4
19730101 19731231   639.3
19740101 19741231   730.5
19750101 19751231   510.2
19760101 19761231   798.4
19770101 19771231   479.0
19780101 19781231   732.2
19790101 19791231   364.2
19800101 19801231   379.2
19810101 19811231   410.6
19820101 19821231   545.0
19830101 19831231   806.0
19840101 19841231   659.2
19850101 19851231   520.2
19860101 19861231   440.4
19870101 19871231   435.4
19880101 19881231   714.8
19890101 19891231   412.6
19900101 19901231   445.8
19910101 19911231   541.6
19920101 19921231   344.0
19930101 19931231   529.8
19940101 19941231   459.2
19950101 19951231   526.8
19960101 19961231   690.8
19970101 19971231   771.0
19980101 19981231   699.8
19990101 19991231   676.2
20000101 20001231   621.8
20010101 20011231   481.2
20020101 20021231   276.5
20030101 20031231 99999.9
20040101 20041231 99999.9
20050101 20051231   560.3
20060101 20061231   339.0
20070101 20071231   567.9
20080101 20081231   521.6
20090101 20091231   557.8
20100101 20101231   897.8
