PRCP       043035 18810101 20171231 missing_value=99999.9 SURAT POST OFFICE                         
18810101 18811231   380.3
18820101 18821231   678.1
18830101 18831231   451.9
18840101 18841231   574.6
18850101 18851231   290.3
18860101 18861231  1003.6
18870101 18871231   683.7
18880101 18881231   403.1
18890101 18891231   877.1
18900101 18901231  1278.9
18910101 18911231   775.8
18920101 18921231   680.4
18930101 18931231   825.5
18940101 18941231   662.1
18950101 18951231   574.8
18960101 18961231   524.0
18970101 18971231   486.2
18980101 18981231   358.9
18990101 18991231   403.4
19000101 19001231   685.8
19010101 19011231   379.9
19020101 19021231   227.2
19030101 19031231   728.8
19040101 19041231   504.8
19050101 19051231   377.1
19060101 19061231   803.6
19070101 19071231   628.9
19080101 19081231   505.3
19090101 19091231   735.3
19100101 19101231   737.3
19110101 19111231   643.4
19120101 19121231   759.7
19130101 19131231   665.2
19140101 19141231   769.6
19150101 19151231   166.5
19160101 19161231   638.7
19170101 19171231   933.2
19180101 19181231   371.2
19190101 19191231   365.4
19200101 19201231   694.7
19210101 19211231   807.9
19220101 19221231   455.9
19230101 19231231   426.7
19240101 19241231  1118.9
19250101 19251231   434.1
19260101 19261231   513.3
19270101 19271231   484.9
19280101 19281231   453.3
19290101 19291231   452.9
19300101 19301231   394.3
19310101 19311231   435.6
19320101 19321231   338.5
19330101 19331231   710.0
19340101 19341231   571.2
19350101 19351231   270.7
19360101 19361231   484.5
19370101 19371231   492.2
19380101 19381231   461.9
19390101 19391231   547.9
19400101 19401231   367.7
19410101 19411231   622.1
19420101 19421231   659.0
19430101 19431231   570.1
19440101 19441231   360.3
19450101 19451231   517.2
19460101 19461231   346.4
19470101 19471231   745.3
19480101 19481231   517.5
19490101 19491231   647.3
19500101 19501231  1123.6
19510101 19511231   403.7
19520101 19521231   616.8
19530101 19531231   634.6
19540101 19541231  1071.8
19550101 19551231   781.8
19560101 19561231   973.0
19570101 19571231   278.6
19580101 19581231   611.6
19590101 19591231   818.7
19600101 19601231   426.2
19610101 19611231   579.7
19620101 19621231   669.0
19630101 19631231   573.1
19640101 19641231   531.0
19650101 19651231   337.3
19660101 19661231   510.9
19670101 19671231   469.9
19680101 19681231   488.7
19690101 19691231   540.7
19700101 19701231   455.9
19710101 19711231   644.2
19720101 19721231   383.2
19730101 19731231   588.8
19740101 19741231   632.9
19750101 19751231   604.0
19760101 19761231   482.6
19770101 19771231   532.5
19780101 19781231   866.6
19790101 19791231   475.2
19800101 19801231   375.4
19810101 19811231   536.5
19820101 19821231   369.0
19830101 19831231   856.1
19840101 19841231   693.0
19850101 19851231   557.5
19860101 19861231   526.0
19870101 19871231   444.5
19880101 19881231   843.7
19890101 19891231   619.8
19900101 19901231   555.4
19910101 19911231   604.7
19920101 19921231   492.0
19930101 19931231   492.2
19940101 19941231   355.2
19950101 19951231   679.0
19960101 19961231   504.0
19970101 19971231   681.8
19980101 19981231   740.1
19990101 19991231   753.6
20000101 20001231   533.8
20010101 20011231   533.0
20020101 20021231   386.4
20030101 20031231   553.8
20040101 20041231   586.6
20050101 20051231   450.0
20060101 20061231   369.5
20070101 20071231   528.6
20080101 20081231   506.4
20090101 20091231   450.2
20100101 20101231  1130.2
20110101 20111231   720.0
20120101 20121231   499.0
20130101 20131231   392.4
20140101 20141231   539.4
20150101 20151231   483.4
20160101 20161231   614.0
20170101 20171231   547.6
