PRCP       044026 18790101 20171231 missing_value=99999.9 CUNNAMULLA POST OFFICE                    
18790101 18791231   586.0
18800101 18801231   453.8
18810101 18811231   351.5
18820101 18821231   485.5
18830101 18831231   442.7
18840101 18841231   384.1
18850101 18851231   329.5
18860101 18861231   517.2
18870101 18871231   562.7
18880101 18881231   245.5
18890101 18891231   500.5
18900101 18901231   784.4
18910101 18911231   687.7
18920101 18921231   324.4
18930101 18931231   271.6
18940101 18941231   493.3
18950101 18951231   284.5
18960101 18961231   317.9
18970101 18971231   277.9
18980101 18981231   265.3
18990101 18991231   196.1
19000101 19001231   146.0
19010101 19011231   276.0
19020101 19021231   174.3
19030101 19031231   424.1
19040101 19041231   269.7
19050101 19051231   313.4
19060101 19061231   579.7
19070101 19071231   221.0
19080101 19081231   347.1
19090101 19091231   397.4
19100101 19101231   341.4
19110101 19111231   310.2
19120101 19121231   218.5
19130101 19131231   392.8
19140101 19141231   418.7
19150101 19151231   138.7
19160101 19161231   403.6
19170101 19171231   377.0
19180101 19181231   265.0
19190101 19191231   208.5
19200101 19201231   553.5
19210101 19211231   703.8
19220101 19221231   183.2
19230101 19231231   253.8
19240101 19241231   268.1
19250101 19251231   362.2
19260101 19261231   407.5
19270101 19271231   247.0
19280101 19281231   276.6
19290101 19291231   134.6
19300101 19301231   454.5
19310101 19311231   451.3
19320101 19321231   241.7
19330101 19331231   406.2
19340101 19341231   298.7
19350101 19351231   205.0
19360101 19361231   380.3
19370101 19371231   140.7
19380101 19381231   348.3
19390101 19391231   430.5
19400101 19401231   142.2
19410101 19411231   441.0
19420101 19421231   636.8
19430101 19431231   174.4
19440101 19441231   142.1
19450101 19451231   232.4
19460101 19461231   180.3
19470101 19471231   486.4
19480101 19481231   361.1
19490101 19491231   672.2
19500101 19501231   807.4
19510101 19511231   272.8
19520101 19521231   454.4
19530101 19531231   290.8
19540101 19541231   408.2
19550101 19551231   494.4
19560101 19561231   924.5
19570101 19571231   150.3
19580101 19581231   243.6
19590101 19591231   202.8
19600101 19601231   259.2
19610101 19611231   377.3
19620101 19621231   420.2
19630101 19631231   386.9
19640101 19641231   403.4
19650101 19651231   138.5
19660101 19661231   323.6
19670101 19671231   331.7
19680101 19681231   325.0
19690101 19691231   346.5
19700101 19701231   427.2
19710101 19711231   367.2
19720101 19721231   213.8
19730101 19731231   533.7
19740101 19741231   510.5
19750101 19751231   493.5
19760101 19761231   638.4
19770101 19771231   322.0
19780101 19781231   507.1
19790101 19791231   188.8
19800101 19801231   307.7
19810101 19811231   345.2
19820101 19821231   151.0
19830101 19831231   571.2
19840101 19841231   452.9
19850101 19851231   368.4
19860101 19861231   264.6
19870101 19871231   412.2
19880101 19881231   442.6
19890101 19891231   501.1
19900101 19901231   741.0
19910101 19911231   428.4
19920101 19921231   413.0
19930101 19931231   328.2
19940101 19941231   240.2
19950101 19951231   525.0
19960101 19961231   363.6
19970101 19971231   358.1
19980101 19981231   721.8
19990101 19991231   603.7
20000101 20001231   551.7
20010101 20011231   219.0
20020101 20021231   123.1
20030101 20031231   235.7
20040101 20041231   499.9
20050101 20051231   188.6
20060101 20061231   250.4
20070101 20071231   447.6
20080101 20081231   597.6
20090101 20091231   385.4
20100101 20101231   761.2
20110101 20111231   417.8
20120101 20121231   500.4
20130101 20131231   174.8
20140101 20141231   322.2
20150101 20151231   359.8
20160101 20161231   508.4
20170101 20171231   200.4
