PRCP       045017 18790101 20041231 missing_value=99999.9 THARGOMINDAH POST OFFICE                  
18790101 18791231   343.9
18800101 18801231   258.3
18810101 18811231   191.0
18820101 18821231   514.5
18830101 18831231   194.9
18840101 18841231   228.0
18850101 18851231   471.0
18860101 18861231   288.9
18870101 18871231   593.6
18880101 18881231   189.0
18890101 18891231   280.1
18900101 18901231   463.0
18910101 18911231   549.7
18920101 18921231   381.9
18930101 18931231   214.1
18940101 18941231   323.8
18950101 18951231   195.5
18960101 18961231   283.7
18970101 18971231   230.0
18980101 18981231   370.1
18990101 18991231   182.8
19000101 19001231   111.3
19010101 19011231   149.2
19020101 19021231   188.5
19030101 19031231   288.5
19040101 19041231   261.2
19050101 19051231   119.3
19060101 19061231   512.7
19070101 19071231   258.0
19080101 19081231   320.5
19090101 19091231   287.8
19100101 19101231   354.4
19110101 19111231   333.7
19120101 19121231   141.5
19130101 19131231   275.2
19140101 19141231   183.2
19150101 19151231   190.2
19160101 19161231   407.5
19170101 19171231   297.4
19180101 19181231   264.1
19190101 19191231   106.5
19200101 19201231   394.0
19210101 19211231   378.6
19220101 19221231    65.4
19230101 19231231   305.0
19240101 19241231   183.2
19250101 19251231   254.4
19260101 19261231   393.5
19270101 19271231    89.0
19280101 19281231    92.2
19290101 19291231    81.6
19300101 19301231   268.1
19310101 19311231   304.9
19320101 19321231   201.3
19330101 19331231   203.6
19340101 19341231   198.6
19350101 19351231   266.5
19360101 19361231   388.1
19370101 19371231    50.3
19380101 19381231   143.3
19390101 19391231   437.8
19400101 19401231    57.3
19410101 19411231   309.3
19420101 19421231   320.9
19430101 19431231   153.7
19440101 19441231   187.7
19450101 19451231   153.4
19460101 19461231    65.7
19470101 19471231   443.4
19480101 19481231   282.9
19490101 19491231   722.6
19500101 19501231   502.5
19510101 19511231   134.4
19520101 19521231   269.9
19530101 19531231   194.1
19540101 19541231   300.5
19550101 19551231   350.7
19560101 19561231   630.2
19570101 19571231   114.1
19580101 19581231   146.2
19590101 19591231   187.4
19600101 19601231   298.3
19610101 19611231   162.0
19620101 19621231   352.5
19630101 19631231   193.4
19640101 19641231   377.3
19650101 19651231    95.3
19660101 19661231   242.0
19670101 19671231   260.1
19680101 19681231   260.4
19690101 19691231   151.0
19700101 19701231   162.0
19710101 19711231   276.1
19720101 19721231   122.6
19730101 19731231   517.4
19740101 19741231   636.3
19750101 19751231   440.9
19760101 19761231   740.6
19770101 19771231   284.7
19780101 19781231   450.6
19790101 19791231   211.8
19800101 19801231   112.6
19810101 19811231   353.5
19820101 19821231   138.0
19830101 19831231   382.6
19840101 19841231   291.4
19850101 19851231   427.5
19860101 19861231   238.7
19870101 19871231   461.5
19880101 19881231   354.0
19890101 19891231   360.6
19900101 19901231   406.2
19910101 19911231   364.5
19920101 19921231   245.5
19930101 19931231   304.9
19940101 19941231   191.7
19950101 19951231   507.6
19960101 19961231   276.4
19970101 19971231   325.0
19980101 19981231   358.5
19990101 19991231   387.7
20000101 20001231   654.3
20010101 20011231   193.9
20020101 20021231    68.5
20030101 20031231   200.2
20040101 20041231   203.2
