PRCP       046037 18920101 20141231 missing_value=99999.9 TIBOOBURRA POST OFFICE                    
18920101 18921231   172.5
18930101 18931231   222.4
18940101 18941231   316.7
18950101 18951231   184.4
18960101 18961231   134.6
18970101 18971231   160.4
18980101 18981231   299.2
18990101 18991231   170.0
19000101 19001231   141.0
19010101 19011231   112.0
19020101 19021231   162.4
19030101 19031231   221.2
19040101 19041231   211.3
19050101 19051231    53.9
19060101 19061231   215.2
19070101 19071231   242.2
19080101 19081231   205.8
19090101 19091231   102.9
19100101 19101231   310.5
19110101 19111231   415.3
19120101 19121231   213.7
19130101 19131231   139.4
19140101 19141231   201.7
19150101 19151231   112.3
19160101 19161231   389.4
19170101 19171231   378.8
19180101 19181231   198.3
19190101 19191231    47.9
19200101 19201231   329.6
19210101 19211231   192.4
19220101 19221231    60.9
19230101 19231231   240.8
19240101 19241231   145.2
19250101 19251231   146.0
19260101 19261231   215.1
19270101 19271231   134.7
19280101 19281231    61.6
19290101 19291231    87.4
19300101 19301231   290.2
19310101 19311231   303.5
19320101 19321231   150.5
19330101 19331231   125.7
19340101 19341231   164.5
19350101 19351231   162.0
19360101 19361231   374.7
19370101 19371231   132.3
19380101 19381231   139.9
19390101 19391231   396.9
19400101 19401231    68.1
19410101 19411231   111.8
19420101 19421231   200.1
19430101 19431231   174.7
19440101 19441231   128.3
19450101 19451231   147.1
19460101 19461231   193.3
19470101 19471231   355.2
19480101 19481231   124.9
19490101 19491231   655.6
19500101 19501231   314.1
19510101 19511231   107.1
19520101 19521231   220.2
19530101 19531231   155.6
19540101 19541231   314.3
19550101 19551231   413.2
19560101 19561231   538.4
19570101 19571231   107.6
19580101 19581231   280.8
19590101 19591231   159.0
19600101 19601231   279.1
19610101 19611231   124.9
19620101 19621231   283.2
19630101 19631231   110.8
19640101 19641231    95.2
19650101 19651231    81.8
19660101 19661231   123.8
19670101 19671231   165.2
19680101 19681231   303.5
19690101 19691231   102.9
19700101 19701231    95.5
19710101 19711231   276.8
19720101 19721231    69.7
19730101 19731231   308.7
19740101 19741231   755.4
19750101 19751231   439.9
19760101 19761231   560.3
19770101 19771231   151.6
19780101 19781231   256.4
19790101 19791231   398.6
19800101 19801231   125.8
19810101 19811231   388.6
19820101 19821231   111.9
19830101 19831231   183.2
19840101 19841231   433.2
19850101 19851231   203.5
19860101 19861231   218.6
19870101 19871231   376.6
19880101 19881231   319.6
19890101 19891231   246.8
19900101 19901231   212.6
19910101 19911231   137.7
19920101 19921231   243.4
19930101 19931231   323.3
19940101 19941231    79.8
19950101 19951231   238.6
19960101 19961231   196.0
19970101 19971231   258.0
19980101 19981231   370.0
19990101 19991231   211.8
20000101 20001231   363.8
20010101 20011231   155.8
20020101 20021231    63.6
20030101 20031231   222.8
20040101 20041231   155.4
20050101 20051231   131.4
20060101 20061231   114.6
20070101 20071231   313.4
20080101 20081231   176.2
20090101 20091231   141.0
20100101 20101231   591.6
20110101 20111231   373.2
20120101 20121231   317.0
20130101 20131231   150.6
20140101 20141231   206.8
