PRCP       046042 19010101 20111231 missing_value=99999.9 WHITE CLIFFS POST OFFICE                  
19010101 19011231   168.2
19020101 19021231    86.5
19030101 19031231   291.6
19040101 19041231   222.6
19050101 19051231   129.2
19060101 19061231   308.3
19070101 19071231   293.1
19080101 19081231   194.1
19090101 19091231   137.0
19100101 19101231   197.5
19110101 19111231   407.3
19120101 19121231   193.0
19130101 19131231   168.4
19140101 19141231   278.5
19150101 19151231   153.2
19160101 19161231   314.0
19170101 19171231   376.6
19180101 19181231   234.6
19190101 19191231    91.6
19200101 19201231   235.9
19210101 19211231   327.4
19220101 19221231   194.4
19230101 19231231   176.1
19240101 19241231   160.4
19250101 19251231   221.8
19260101 19261231   188.3
19270101 19271231   114.9
19280101 19281231   289.5
19290101 19291231   110.2
19300101 19301231   349.3
19310101 19311231   347.6
19320101 19321231   303.4
19330101 19331231   225.6
19340101 19341231   181.1
19350101 19351231   152.9
19360101 19361231   408.2
19370101 19371231   133.8
19380101 19381231    64.9
19390101 19391231   327.4
19400101 19401231   103.1
19410101 19411231   175.6
19420101 19421231   281.1
19430101 19431231   140.2
19440101 19441231   139.7
19450101 19451231   203.3
19460101 19461231   222.9
19470101 19471231   305.8
19480101 19481231   177.3
19490101 19491231   369.7
19500101 19501231   365.9
19510101 19511231   121.1
19520101 19521231   395.9
19530101 19531231   165.0
19540101 19541231   353.6
19550101 19551231   412.1
19560101 19561231   488.7
19570101 19571231   115.2
19580101 19581231   196.4
19590101 19591231   224.7
19600101 19601231   314.8
19610101 19611231   303.9
19620101 19621231   280.6
19630101 19631231   194.5
19640101 19641231   128.0
19650101 19651231   105.7
19660101 19661231   136.6
19670101 19671231   136.1
19680101 19681231   362.9
19690101 19691231   227.5
19700101 19701231   208.5
19710101 19711231   528.3
19720101 19721231   109.1
19730101 19731231   536.7
19740101 19741231   721.2
19750101 19751231   421.5
19760101 19761231   656.3
19770101 19771231   161.0
19780101 19781231   360.2
19790101 19791231   281.4
19800101 19801231   163.0
19810101 19811231   357.4
19820101 19821231   140.4
19830101 19831231   267.4
19840101 19841231   380.2
19850101 19851231   201.9
19860101 19861231   156.4
19870101 19871231   353.8
19880101 19881231   313.6
19890101 19891231   231.2
19900101 19901231   221.6
19910101 19911231   175.6
19920101 19921231   356.6
19930101 19931231   433.6
19940101 19941231   118.4
19950101 19951231   201.6
19960101 19961231   241.0
19970101 19971231   304.0
19980101 19981231   309.8
19990101 19991231   326.5
20000101 20001231   292.6
20010101 20011231   175.1
20020101 20021231    97.9
20030101 20031231   297.2
20040101 20041231   169.8
20050101 20051231   230.6
20060101 20061231   140.9
20070101 20071231   247.0
20080101 20081231   331.3
20090101 20091231   146.9
20100101 20101231   604.5
20110101 20111231   441.5
