PRCP       047031 18920101 20171231 missing_value=99999.9 STEPHENS CREEK RESERVOIR                  
18920101 18921231   228.8
18930101 18931231   187.1
18940101 18941231   294.1
18950101 18951231   118.9
18960101 18961231   221.4
18970101 18971231   113.5
18980101 18981231   182.6
18990101 18991231   109.6
19000101 19001231   147.2
19010101 19011231   180.4
19020101 19021231    76.9
19030101 19031231   315.8
19040101 19041231   204.8
19050101 19051231   168.5
19060101 19061231   159.5
19070101 19071231   193.1
19080101 19081231   166.4
19090101 19091231   162.5
19100101 19101231   250.4
19110101 19111231   507.5
19120101 19121231   307.2
19130101 19131231   115.0
19140101 19141231   169.4
19150101 19151231   180.3
19160101 19161231   220.9
19170101 19171231   353.6
19180101 19181231   202.1
19190101 19191231   187.4
19200101 19201231   225.8
19210101 19211231   383.5
19220101 19221231   133.1
19230101 19231231   189.5
19240101 19241231   137.5
19250101 19251231   182.1
19260101 19261231   225.0
19270101 19271231    71.5
19280101 19281231   204.0
19290101 19291231    98.9
19300101 19301231   186.5
19310101 19311231   212.7
19320101 19321231   170.1
19330101 19331231   179.5
19340101 19341231   172.3
19350101 19351231   141.6
19360101 19361231   255.3
19370101 19371231   226.1
19380101 19381231   139.8
19390101 19391231   347.0
19400101 19401231    68.4
19410101 19411231   161.6
19420101 19421231   218.5
19430101 19431231   112.9
19440101 19441231   122.7
19450101 19451231   126.7
19460101 19461231   221.6
19470101 19471231   370.4
19480101 19481231   199.0
19490101 19491231   240.2
19500101 19501231   385.3
19510101 19511231   153.3
19520101 19521231   214.1
19530101 19531231   168.7
19540101 19541231   220.1
19550101 19551231   366.6
19560101 19561231   313.8
19570101 19571231   145.9
19580101 19581231   317.3
19590101 19591231   127.4
19600101 19601231   222.1
19610101 19611231   218.1
19620101 19621231   311.5
19630101 19631231   216.1
19640101 19641231   202.9
19650101 19651231   139.3
19660101 19661231   165.4
19670101 19671231    86.4
19680101 19681231   269.8
19690101 19691231   148.4
19700101 19701231   137.0
19710101 19711231   239.9
19720101 19721231   154.0
19730101 19731231   401.7
19740101 19741231   712.3
19750101 19751231   348.9
19760101 19761231   307.0
19770101 19771231   132.7
19780101 19781231   358.8
19790101 19791231   291.9
19800101 19801231   228.2
19810101 19811231   217.3
19820101 19821231    71.2
19830101 19831231   382.0
19840101 19841231   244.6
19850101 19851231   199.4
19860101 19861231   186.6
19870101 19871231   321.3
19880101 19881231   258.8
19890101 19891231   394.2
19900101 19901231   215.4
19910101 19911231 99999.9
19920101 19921231   466.2
19930101 19931231 99999.9
19940101 19941231   138.7
19950101 19951231   215.5
19960101 19961231   276.3
19970101 19971231   200.9
19980101 19981231   249.8
19990101 19991231   191.9
20000101 20001231   357.4
20010101 20011231   153.1
20020101 20021231    65.3
20030101 20031231   262.8
20040101 20041231   179.6
20050101 20051231   189.2
20060101 20061231    98.8
20070101 20071231   246.6
20080101 20081231   215.8
20090101 20091231   127.9
20100101 20101231   523.0
20110101 20111231   596.4
20120101 20121231   369.6
20130101 20131231   173.0
20140101 20141231   267.1
20150101 20151231   307.0
20160101 20161231   424.8
20170101 20171231   125.3
