PRCP       047033 18780101 20161231 missing_value=99999.9 POONCARIE (TARCOOLA)                      
18780101 18781231   306.5
18790101 18791231   341.8
18800101 18801231   216.6
18810101 18811231   348.2
18820101 18821231   267.9
18830101 18831231   185.6
18840101 18841231   196.8
18850101 18851231   161.3
18860101 18861231   337.7
18870101 18871231   412.0
18880101 18881231   209.9
18890101 18891231   503.6
18900101 18901231   348.9
18910101 18911231   322.9
18920101 18921231   273.2
18930101 18931231   235.1
18940101 18941231   493.6
18950101 18951231   203.7
18960101 18961231   187.9
18970101 18971231   138.9
18980101 18981231   183.2
18990101 18991231   214.1
19000101 19001231   217.2
19010101 19011231   189.9
19020101 19021231    91.1
19030101 19031231   285.4
19040101 19041231   246.8
19050101 19051231   257.9
19060101 19061231   400.7
19070101 19071231   236.9
19080101 19081231   181.0
19090101 19091231   211.8
19100101 19101231   270.8
19110101 19111231   352.4
19120101 19121231   267.3
19130101 19131231   178.9
19140101 19141231   182.5
19150101 19151231   201.0
19160101 19161231   301.6
19170101 19171231   489.2
19180101 19181231   288.9
19190101 19191231   186.3
19200101 19201231   318.8
19210101 19211231   379.6
19220101 19221231   153.6
19230101 19231231   320.7
19240101 19241231   301.2
19250101 19251231   226.6
19260101 19261231   534.8
19270101 19271231   110.3
19280101 19281231   144.8
19290101 19291231   172.5
19300101 19301231   215.5
19310101 19311231   295.3
19320101 19321231   247.0
19330101 19331231   205.5
19340101 19341231   183.5
19350101 19351231   132.1
19360101 19361231   246.2
19370101 19371231   256.7
19380101 19381231   176.6
19390101 19391231   359.1
19400101 19401231    83.1
19410101 19411231   217.2
19420101 19421231   236.8
19430101 19431231   112.7
19440101 19441231    81.5
19450101 19451231   190.4
19460101 19461231   337.3
19470101 19471231   328.6
19480101 19481231   185.9
19490101 19491231   249.1
19500101 19501231   265.6
19510101 19511231   214.9
19520101 19521231   305.0
19530101 19531231   174.9
19540101 19541231   279.9
19550101 19551231   330.3
19560101 19561231   418.4
19570101 19571231   244.1
19580101 19581231   334.7
19590101 19591231   175.5
19600101 19601231   362.0
19610101 19611231   184.2
19620101 19621231   473.4
19630101 19631231   237.0
19640101 19641231   190.7
19650101 19651231   184.6
19660101 19661231   197.3
19670101 19671231    80.2
19680101 19681231   279.0
19690101 19691231   199.7
19700101 19701231   203.3
19710101 19711231   181.8
19720101 19721231   124.8
19730101 19731231   579.5
19740101 19741231   537.6
19750101 19751231   332.2
19760101 19761231   266.0
19770101 19771231   159.7
19780101 19781231   374.6
19790101 19791231   287.8
19800101 19801231   319.4
19810101 19811231   257.4
19820101 19821231   160.0
19830101 19831231   258.0
19840101 19841231   317.0
19850101 19851231   205.2
19860101 19861231   240.2
19870101 19871231   290.9
19880101 19881231   354.8
19890101 19891231   431.2
19900101 19901231   247.0
19910101 19911231   208.8
19920101 19921231   379.7
19930101 19931231   414.5
19940101 19941231   146.9
19950101 19951231   347.4
19960101 19961231   263.8
19970101 19971231   159.7
19980101 19981231   155.2
19990101 19991231   305.6
20000101 20001231   457.5
20010101 20011231   222.4
20020101 20021231 99999.9
20030101 20031231   219.7
20040101 20041231   173.4
20050101 20051231   307.2
20060101 20061231   181.4
20070101 20071231   264.7
20080101 20081231   214.0
20090101 20091231   224.7
20100101 20101231   591.8
20110101 20111231   516.0
20120101 20121231   310.5
20130101 20131231   261.1
20140101 20141231   253.1
20150101 20151231   284.8
20160101 20161231   403.3
