PRCP       047045 19010101 20161231 missing_value=99999.9 WENTWORTH (WILLOW POINT)                  
19010101 19011231   175.3
19020101 19021231   122.2
19030101 19031231   282.4
19040101 19041231   264.9
19050101 19051231   230.4
19060101 19061231   300.2
19070101 19071231   180.8
19080101 19081231   161.5
19090101 19091231   277.4
19100101 19101231   357.2
19110101 19111231   279.5
19120101 19121231   236.5
19130101 19131231   168.1
19140101 19141231   140.6
19150101 19151231   178.6
19160101 19161231   351.8
19170101 19171231   429.9
19180101 19181231   302.6
19190101 19191231   198.9
19200101 19201231   388.2
19210101 19211231   438.4
19220101 19221231   177.0
19230101 19231231   320.3
19240101 19241231   239.5
19250101 19251231   183.6
19260101 19261231   317.0
19270101 19271231   122.0
19280101 19281231   164.1
19290101 19291231   152.5
19300101 19301231   206.9
19310101 19311231   316.4
19320101 19321231   244.8
19330101 19331231   238.8
19340101 19341231   170.4
19350101 19351231   147.0
19360101 19361231   343.9
19370101 19371231   338.5
19380101 19381231   129.4
19390101 19391231   307.2
19400101 19401231    56.4
19410101 19411231   255.1
19420101 19421231   229.1
19430101 19431231    99.0
19440101 19441231    85.7
19450101 19451231   144.4
19460101 19461231   288.7
19470101 19471231   350.3
19480101 19481231   161.6
19490101 19491231   283.9
19500101 19501231   326.4
19510101 19511231   244.4
19520101 19521231   289.7
19530101 19531231   195.4
19540101 19541231   321.5
19550101 19551231   310.6
19560101 19561231   433.5
19570101 19571231   224.8
19580101 19581231   355.4
19590101 19591231   134.1
19600101 19601231   310.3
19610101 19611231   252.5
19620101 19621231   290.8
19630101 19631231   312.7
19640101 19641231   236.3
19650101 19651231   191.6
19660101 19661231   259.6
19670101 19671231   122.6
19680101 19681231   325.2
19690101 19691231   306.4
19700101 19701231   215.5
19710101 19711231   267.5
19720101 19721231   192.0
19730101 19731231   481.9
19740101 19741231   525.1
19750101 19751231   345.9
19760101 19761231   291.8
19770101 19771231   105.4
19780101 19781231   282.2
19790101 19791231   278.0
19800101 19801231   340.4
19810101 19811231   260.0
19820101 19821231    90.0
19830101 19831231   274.1
19840101 19841231   309.2
19850101 19851231   179.0
19860101 19861231   244.0
19870101 19871231   223.6
19880101 19881231   346.2
19890101 19891231   367.2
19900101 19901231   188.4
19910101 19911231   285.2
19920101 19921231   474.6
19930101 19931231   433.6
19940101 19941231   175.4
19950101 19951231   287.6
19960101 19961231   213.8
19970101 19971231   219.0
19980101 19981231   136.8
19990101 19991231   251.8
20000101 20001231   382.8
20010101 20011231   206.0
20020101 20021231   141.0
20030101 20031231   209.8
20040101 20041231   183.8
20050101 20051231   243.8
20060101 20061231   130.4
20070101 20071231   230.6
20080101 20081231   181.6
20090101 20091231   243.4
20100101 20101231   578.6
20110101 20111231   453.4
20120101 20121231   203.2
20130101 20131231   207.6
20140101 20141231   274.8
20150101 20151231   213.1
20160101 20161231   337.4
