PRCP       047053 18680101 20101231 missing_value=99999.9 WENTWORTH POST OFFICE                     
18680101 18681231   216.9
18690101 18691231   269.0
18700101 18701231   705.1
18710101 18711231   392.4
18720101 18721231   400.8
18730101 18731231   328.7
18740101 18741231   279.2
18750101 18751231   323.6
18760101 18761231   227.4
18770101 18771231   218.1
18780101 18781231   239.0
18790101 18791231   328.0
18800101 18801231   204.9
18810101 18811231   352.6
18820101 18821231   234.8
18830101 18831231   228.2
18840101 18841231   214.4
18850101 18851231   261.9
18860101 18861231   290.0
18870101 18871231   377.5
18880101 18881231   117.1
18890101 18891231   500.7
18900101 18901231   376.4
18910101 18911231   290.4
18920101 18921231   328.1
18930101 18931231   311.9
18940101 18941231   594.8
18950101 18951231   214.6
18960101 18961231   199.2
18970101 18971231   191.6
18980101 18981231   243.0
18990101 18991231   264.7
19000101 19001231   267.1
19010101 19011231   238.6
19020101 19021231   171.1
19030101 19031231   357.1
19040101 19041231   329.8
19050101 19051231   263.9
19060101 19061231   391.6
19070101 19071231   246.6
19080101 19081231   318.1
19090101 19091231   291.2
19100101 19101231   443.9
19110101 19111231   516.5
19120101 19121231   286.5
19130101 19131231   360.7
19140101 19141231   204.6
19150101 19151231   220.6
19160101 19161231   406.5
19170101 19171231   477.6
19180101 19181231   289.6
19190101 19191231   207.6
19200101 19201231   394.5
19210101 19211231   317.8
19220101 19221231   222.7
19230101 19231231   260.7
19240101 19241231   251.1
19250101 19251231   196.5
19260101 19261231   235.1
19270101 19271231   152.8
19280101 19281231   310.2
19290101 19291231   182.5
19300101 19301231   283.5
19310101 19311231   346.0
19320101 19321231   299.6
19330101 19331231   305.4
19340101 19341231   195.4
19350101 19351231   153.0
19360101 19361231   325.9
19370101 19371231   296.1
19380101 19381231   127.3
19390101 19391231   301.1
19400101 19401231   113.7
19410101 19411231   240.8
19420101 19421231   249.9
19430101 19431231   126.6
19440101 19441231   113.8
19450101 19451231   186.2
19460101 19461231   309.9
19470101 19471231   316.9
19480101 19481231   196.1
19490101 19491231   277.4
19500101 19501231   418.0
19510101 19511231   252.9
19520101 19521231   341.6
19530101 19531231   268.7
19540101 19541231   257.6
19550101 19551231   322.0
19560101 19561231   406.5
19570101 19571231   319.1
19580101 19581231   370.5
19590101 19591231   127.2
19600101 19601231   331.5
19610101 19611231   307.9
19620101 19621231   275.6
19630101 19631231   296.0
19640101 19641231   268.8
19650101 19651231   259.9
19660101 19661231   303.6
19670101 19671231   126.5
19680101 19681231   232.5
19690101 19691231   346.4
19700101 19701231   272.0
19710101 19711231   227.8
19720101 19721231   179.6
19730101 19731231   530.8
19740101 19741231   650.4
19750101 19751231   390.1
19760101 19761231   274.3
19770101 19771231   236.9
19780101 19781231   293.3
19790101 19791231   334.8
19800101 19801231   268.4
19810101 19811231   304.2
19820101 19821231   102.9
19830101 19831231   275.9
19840101 19841231   320.2
19850101 19851231   204.6
19860101 19861231   298.6
19870101 19871231   260.1
19880101 19881231   301.9
19890101 19891231   325.2
19900101 19901231   238.9
19910101 19911231   314.6
19920101 19921231   378.6
19930101 19931231   410.8
19940101 19941231   157.7
19950101 19951231   264.8
19960101 19961231   257.2
19970101 19971231   258.3
19980101 19981231   149.8
19990101 19991231   377.5
20000101 20001231   348.9
20010101 20011231   191.0
20020101 20021231   182.2
20030101 20031231   239.0
20040101 20041231   169.3
20050101 20051231   326.8
20060101 20061231   144.7
20070101 20071231   227.8
20080101 20081231   219.5
20090101 20091231 99999.9
20100101 20101231   533.6
