PRCP       048031 18980101 20171231 missing_value=99999.9 COLLARENEBRI (VIEWPOINT)                  
18980101 18981231   267.3
18990101 18991231   318.8
19000101 19001231   218.1
19010101 19011231   413.3
19020101 19021231   173.6
19030101 19031231   705.6
19040101 19041231   479.7
19050101 19051231   434.2
19060101 19061231   548.1
19070101 19071231   638.1
19080101 19081231   560.3
19090101 19091231   496.6
19100101 19101231   515.7
19110101 19111231   478.5
19120101 19121231   438.2
19130101 19131231   541.1
19140101 19141231   610.2
19150101 19151231   308.3
19160101 19161231   561.1
19170101 19171231   543.0
19180101 19181231   302.9
19190101 19191231   304.2
19200101 19201231   582.1
19210101 19211231   851.8
19220101 19221231   369.7
19230101 19231231   251.7
19240101 19241231   545.9
19250101 19251231   514.0
19260101 19261231   521.7
19270101 19271231   319.0
19280101 19281231   363.5
19290101 19291231   308.3
19300101 19301231   453.4
19310101 19311231   597.7
19320101 19321231   355.5
19330101 19331231   511.0
19340101 19341231   544.0
19350101 19351231   260.9
19360101 19361231   412.7
19370101 19371231   413.3
19380101 19381231   388.9
19390101 19391231   639.7
19400101 19401231   284.1
19410101 19411231   380.5
19420101 19421231   752.5
19430101 19431231   383.9
19440101 19441231   217.2
19450101 19451231   436.2
19460101 19461231   239.4
19470101 19471231   832.8
19480101 19481231   577.8
19490101 19491231   606.9
19500101 19501231  1025.0
19510101 19511231   477.1
19520101 19521231   383.4
19530101 19531231   453.2
19540101 19541231   512.6
19550101 19551231   693.7
19560101 19561231   837.0
19570101 19571231   248.0
19580101 19581231   515.2
19590101 19591231   704.3
19600101 19601231   338.0
19610101 19611231   395.8
19620101 19621231   687.9
19630101 19631231   623.1
19640101 19641231   715.9
19650101 19651231   250.4
19660101 19661231   444.5
19670101 19671231   233.8
19680101 19681231   448.9
19690101 19691231   594.2
19700101 19701231   500.5
19710101 19711231   486.0
19720101 19721231   393.7
19730101 19731231   587.6
19740101 19741231   829.3
19750101 19751231   398.9
19760101 19761231  1003.1
19770101 19771231   541.0
19780101 19781231   784.0
19790101 19791231   364.6
19800101 19801231   340.6
19810101 19811231   390.6
19820101 19821231   320.1
19830101 19831231   827.1
19840101 19841231   739.3
19850101 19851231   463.0
19860101 19861231   331.8
19870101 19871231   637.8
19880101 19881231   638.1
19890101 19891231 99999.9
19900101 19901231   690.2
19910101 19911231   657.1
19920101 19921231   438.2
19930101 19931231   562.6
19940101 19941231   320.0
19950101 19951231   649.4
19960101 19961231   694.2
19970101 19971231   437.4
19980101 19981231   675.4
19990101 19991231   668.4
20000101 20001231   802.9
20010101 20011231   453.6
20020101 20021231   297.4
20030101 20031231   355.1
20040101 20041231   856.0
20050101 20051231   546.0
20060101 20061231   415.4
20070101 20071231   587.9
20080101 20081231   599.6
20090101 20091231   503.5
20100101 20101231   800.0
20110101 20111231   586.7
20120101 20121231   453.3
20130101 20131231   296.9
20140101 20141231   350.8
20150101 20151231   364.8
20160101 20161231   646.3
20170101 20171231   259.1
