PRCP       048039 18920101 20141231 missing_value=99999.9 ENNGONIA (SHEARER STREET)                 
18920101 18921231   367.1
18930101 18931231   344.1
18940101 18941231   425.4
18950101 18951231   330.5
18960101 18961231   421.1
18970101 18971231   356.6
18980101 18981231   370.9
18990101 18991231   182.4
19000101 19001231   202.8
19010101 19011231   237.2
19020101 19021231   205.8
19030101 19031231   364.5
19040101 19041231   440.4
19050101 19051231   295.0
19060101 19061231   443.0
19070101 19071231   364.8
19080101 19081231   309.3
19090101 19091231   408.9
19100101 19101231   385.5
19110101 19111231   374.2
19120101 19121231   196.2
19130101 19131231   334.1
19140101 19141231   253.8
19150101 19151231   150.3
19160101 19161231   447.2
19170101 19171231   388.4
19180101 19181231   355.4
19190101 19191231    75.9
19200101 19201231   569.1
19210101 19211231   439.1
19220101 19221231   166.8
19230101 19231231   277.8
19240101 19241231   333.2
19250101 19251231   420.8
19260101 19261231   517.5
19270101 19271231   230.2
19280101 19281231   216.4
19290101 19291231   111.2
19300101 19301231   400.4
19310101 19311231   483.7
19320101 19321231   177.8
19330101 19331231   399.2
19340101 19341231   262.7
19350101 19351231   142.2
19360101 19361231   514.5
19370101 19371231   169.5
19380101 19381231   337.0
19390101 19391231   450.1
19400101 19401231   162.9
19410101 19411231   278.6
19420101 19421231   390.8
19430101 19431231   197.2
19440101 19441231   231.9
19450101 19451231   234.1
19460101 19461231   237.9
19470101 19471231   450.0
19480101 19481231   311.5
19490101 19491231   443.9
19500101 19501231   933.3
19510101 19511231   156.3
19520101 19521231   317.6
19530101 19531231   329.1
19540101 19541231   290.5
19550101 19551231   544.6
19560101 19561231   633.6
19570101 19571231   127.8
19580101 19581231   365.3
19590101 19591231   339.5
19600101 19601231   266.7
19610101 19611231   397.5
19620101 19621231   371.2
19630101 19631231   538.9
19640101 19641231   304.0
19650101 19651231   138.3
19660101 19661231   286.2
19670101 19671231   348.7
19680101 19681231   376.9
19690101 19691231   286.6
19700101 19701231   298.9
19710101 19711231   390.4
19720101 19721231   243.8
19730101 19731231   525.5
19740101 19741231   615.0
19750101 19751231   453.3
19760101 19761231   712.1
19770101 19771231   456.0
19780101 19781231   416.0
19790101 19791231   189.2
19800101 19801231   162.8
19810101 19811231   351.4
19820101 19821231   116.8
19830101 19831231   674.8
19840101 19841231   394.0
19850101 19851231   294.6
19860101 19861231   409.8
19870101 19871231   366.5
19880101 19881231   459.5
19890101 19891231   290.7
19900101 19901231   552.4
19910101 19911231   288.2
19920101 19921231   325.1
19930101 19931231   221.7
19940101 19941231   227.4
19950101 19951231   503.2
19960101 19961231   352.6
19970101 19971231   360.8
19980101 19981231   606.6
19990101 19991231   662.4
20000101 20001231   730.8
20010101 20011231   214.4
20020101 20021231   146.8
20030101 20031231   227.0
20040101 20041231   391.4
20050101 20051231   205.4
20060101 20061231   143.3
20070101 20071231   477.1
20080101 20081231   416.7
20090101 20091231   424.6
20100101 20101231   710.9
20110101 20111231   518.9
20120101 20121231   437.0
20130101 20131231   171.0
20140101 20141231   298.2
