PRCP       049023 18780101 20151231 missing_value=99999.9 EUSTON ( BENINGTON)                       
18780101 18781231   367.2
18790101 18791231   349.8
18800101 18801231   355.9
18810101 18811231   453.0
18820101 18821231   257.0
18830101 18831231   276.6
18840101 18841231   232.6
18850101 18851231   295.6
18860101 18861231   326.8
18870101 18871231   526.8
18880101 18881231   162.0
18890101 18891231   568.8
18900101 18901231   408.5
18910101 18911231   343.4
18920101 18921231   327.9
18930101 18931231   285.6
18940101 18941231   620.0
18950101 18951231   212.5
18960101 18961231   173.2
18970101 18971231   195.0
18980101 18981231   327.2
18990101 18991231   284.7
19000101 19001231   337.5
19010101 19011231   246.7
19020101 19021231   227.3
19030101 19031231   368.3
19040101 19041231   243.9
19050101 19051231   340.6
19060101 19061231   452.6
19070101 19071231   254.7
19080101 19081231   275.5
19090101 19091231   411.9
19100101 19101231   467.1
19110101 19111231   405.0
19120101 19121231   268.7
19130101 19131231   259.2
19140101 19141231   196.8
19150101 19151231   267.9
19160101 19161231   431.6
19170101 19171231   556.9
19180101 19181231   374.0
19190101 19191231   238.2
19200101 19201231   403.2
19210101 19211231   371.4
19220101 19221231   266.3
19230101 19231231   423.4
19240101 19241231   391.2
19250101 19251231   282.4
19260101 19261231   331.1
19270101 19271231   192.0
19280101 19281231   277.8
19290101 19291231   214.4
19300101 19301231   346.5
19310101 19311231   405.1
19320101 19321231   501.5
19330101 19331231   363.8
19340101 19341231   288.6
19350101 19351231   217.9
19360101 19361231   391.6
19370101 19371231   366.4
19380101 19381231   151.9
19390101 19391231   388.5
19400101 19401231   169.9
19410101 19411231   308.0
19420101 19421231   371.7
19430101 19431231   190.0
19440101 19441231   176.4
19450101 19451231   212.1
19460101 19461231   427.8
19470101 19471231   415.8
19480101 19481231   219.5
19490101 19491231   335.0
19500101 19501231   381.8
19510101 19511231   287.4
19520101 19521231   362.9
19530101 19531231   268.3
19540101 19541231   345.0
19550101 19551231   453.5
19560101 19561231   534.6
19570101 19571231   268.3
19580101 19581231   406.3
19590101 19591231   251.1
19600101 19601231   499.1
19610101 19611231   406.5
19620101 19621231   273.8
19630101 19631231   471.7
19640101 19641231   327.7
19650101 19651231   264.1
19660101 19661231   311.0
19670101 19671231   109.0
19680101 19681231   272.0
19690101 19691231   356.4
19700101 19701231   345.3
19710101 19711231   348.6
19720101 19721231   241.9
19730101 19731231   613.2
19740101 19741231   569.8
19750101 19751231   492.0
19760101 19761231   332.5
19770101 19771231   238.0
19780101 19781231   423.0
19790101 19791231   394.8
19800101 19801231   283.0
19810101 19811231   390.4
19820101 19821231   122.0
19830101 19831231   356.0
19840101 19841231   330.5
19850101 19851231   232.0
19860101 19861231   322.5
19870101 19871231   284.5
19880101 19881231   357.5
19890101 19891231   349.0
19900101 19901231   304.0
19910101 19911231   251.0
19920101 19921231   437.0
19930101 19931231   372.0
19940101 19941231   189.0
19950101 19951231   334.0
19960101 19961231   244.2
19970101 19971231   229.0
19980101 19981231   278.0
19990101 19991231   326.0
20000101 20001231   412.0
20010101 20011231   214.0
20020101 20021231   151.0
20030101 20031231   306.0
20040101 20041231   172.0
20050101 20051231   350.0
20060101 20061231   186.0
20070101 20071231   228.0
20080101 20081231   221.0
20090101 20091231   303.0
20100101 20101231   494.0
20110101 20111231   607.0
20120101 20121231   215.0
20130101 20131231   300.0
20140101 20141231   251.0
20150101 20151231   248.0
