PRCP       050004 19120101 20071231 missing_value=99999.9 BOGAN GATE POST OFFICE                    
19120101 19121231   361.3
19130101 19131231   417.8
19140101 19141231   310.6
19150101 19151231   319.4
19160101 19161231   699.4
19170101 19171231   590.2
19180101 19181231   347.3
19190101 19191231   258.2
19200101 19201231   530.5
19210101 19211231   518.2
19220101 19221231   293.3
19230101 19231231   293.4
19240101 19241231   589.8
19250101 19251231   541.3
19260101 19261231   571.8
19270101 19271231   423.3
19280101 19281231   471.3
19290101 19291231   320.4
19300101 19301231   448.1
19310101 19311231   601.7
19320101 19321231   553.6
19330101 19331231   468.4
19340101 19341231   540.0
19350101 19351231   422.8
19360101 19361231   571.9
19370101 19371231   365.2
19380101 19381231   394.9
19390101 19391231   490.8
19400101 19401231   361.3
19410101 19411231   416.8
19420101 19421231   536.8
19430101 19431231   456.0
19440101 19441231   149.6
19450101 19451231   485.6
19460101 19461231   331.7
19470101 19471231   699.3
19480101 19481231   451.1
19490101 19491231   489.4
19500101 19501231  1078.1
19510101 19511231   392.3
19520101 19521231   536.4
19530101 19531231   359.5
19540101 19541231   637.2
19550101 19551231   751.6
19560101 19561231   834.2
19570101 19571231   253.1
19580101 19581231   556.6
19590101 19591231   710.8
19600101 19601231   446.8
19610101 19611231   575.4
19620101 19621231   507.4
19630101 19631231   665.0
19640101 19641231   422.1
19650101 19651231   345.0
19660101 19661231   635.9
19670101 19671231   354.3
19680101 19681231   600.5
19690101 19691231   647.9
19700101 19701231   570.8
19710101 19711231   675.0
19720101 19721231   446.2
19730101 19731231   726.7
19740101 19741231   700.8
19750101 19751231   469.9
19760101 19761231   781.8
19770101 19771231   446.0
19780101 19781231   827.5
19790101 19791231   323.8
19800101 19801231   354.8
19810101 19811231   500.8
19820101 19821231   204.8
19830101 19831231   688.4
19840101 19841231   577.1
19850101 19851231   434.8
19860101 19861231   323.6
19870101 19871231   473.4
19880101 19881231   622.3
19890101 19891231   520.6
19900101 19901231   765.6
19910101 19911231   376.3
19920101 19921231   859.0
19930101 19931231   502.2
19940101 19941231   355.6
19950101 19951231   474.6
19960101 19961231   580.8
19970101 19971231   313.7
19980101 19981231   711.2
19990101 19991231   599.7
20000101 20001231   515.0
20010101 20011231   469.5
20020101 20021231   339.0
20030101 20031231   314.0
20040101 20041231   431.8
20050101 20051231   507.0
20060101 20061231   175.0
20070101 20071231   515.0
