PRCP       050031 18910101 20171231 missing_value=99999.9 PEAK HILL POST OFFICE                     
18910101 18911231   819.7
18920101 18921231   694.8
18930101 18931231   558.8
18940101 18941231   721.7
18950101 18951231   554.4
18960101 18961231   459.4
18970101 18971231   405.6
18980101 18981231   539.0
18990101 18991231   401.3
19000101 19001231   619.4
19010101 19011231   508.2
19020101 19021231   325.4
19030101 19031231   387.0
19040101 19041231   444.9
19050101 19051231   549.2
19060101 19061231   544.9
19070101 19071231   511.9
19080101 19081231   340.9
19090101 19091231   518.2
19100101 19101231   591.2
19110101 19111231   676.8
19120101 19121231   385.8
19130101 19131231   415.2
19140101 19141231   558.8
19150101 19151231   416.7
19160101 19161231   982.0
19170101 19171231   629.8
19180101 19181231   374.1
19190101 19191231   328.0
19200101 19201231   588.0
19210101 19211231   537.6
19220101 19221231   255.6
19230101 19231231   360.8
19240101 19241231   581.2
19250101 19251231   635.7
19260101 19261231   551.0
19270101 19271231   519.1
19280101 19281231   569.0
19290101 19291231   343.0
19300101 19301231   522.9
19310101 19311231   755.4
19320101 19321231   448.1
19330101 19331231   594.9
19340101 19341231   656.7
19350101 19351231   361.6
19360101 19361231   546.4
19370101 19371231   366.6
19380101 19381231   517.0
19390101 19391231   512.0
19400101 19401231   363.0
19410101 19411231   420.4
19420101 19421231   588.7
19430101 19431231   520.4
19440101 19441231   232.6
19450101 19451231   535.5
19460101 19461231   377.5
19470101 19471231   708.1
19480101 19481231   469.5
19490101 19491231   596.8
19500101 19501231  1217.1
19510101 19511231   459.3
19520101 19521231   676.9
19530101 19531231   391.4
19540101 19541231   625.3
19550101 19551231   740.5
19560101 19561231  1130.4
19570101 19571231   311.7
19580101 19581231   564.9
19590101 19591231   702.2
19600101 19601231   561.6
19610101 19611231   631.2
19620101 19621231   615.2
19630101 19631231   693.3
19640101 19641231   483.0
19650101 19651231   389.2
19660101 19661231   531.5
19670101 19671231   306.9
19680101 19681231   661.6
19690101 19691231   802.4
19700101 19701231   699.7
19710101 19711231   775.5
19720101 19721231   476.0
19730101 19731231  1066.9
19740101 19741231   617.5
19750101 19751231   460.2
19760101 19761231   816.8
19770101 19771231   498.1
19780101 19781231   823.8
19790101 19791231   454.9
19800101 19801231   446.6
19810101 19811231   496.8
19820101 19821231   270.4
19830101 19831231   648.2
19840101 19841231   771.7
19850101 19851231   612.0
19860101 19861231   445.6
19870101 19871231   704.1
19880101 19881231   763.2
19890101 19891231   569.8
19900101 19901231   814.6
19910101 19911231   505.9
19920101 19921231   820.2
19930101 19931231   739.8
19940101 19941231   394.4
19950101 19951231   497.8
19960101 19961231   644.4
19970101 19971231   345.0
19980101 19981231   830.4
19990101 19991231   711.8
20000101 20001231   667.2
20010101 20011231   479.6
20020101 20021231   430.4
20030101 20031231   512.2
20040101 20041231   566.7
20050101 20051231   580.4
20060101 20061231   261.0
20070101 20071231   560.3
20080101 20081231   508.0
20090101 20091231   475.5
20100101 20101231   968.7
20110101 20111231   560.5
20120101 20121231   435.9
20130101 20131231   416.2
20140101 20141231   678.6
20150101 20151231   538.8
20160101 20161231   974.2
20170101 20171231   450.1
