PRCP       050052 18810101 20171231 missing_value=99999.9 CONDOBOLIN AG RESEARCH STN                
18810101 18811231   333.6
18820101 18821231   340.7
18830101 18831231   309.8
18840101 18841231   296.5
18850101 18851231   458.5
18860101 18861231   479.5
18870101 18871231   616.9
18880101 18881231   200.6
18890101 18891231   471.8
18900101 18901231   674.8
18910101 18911231   572.5
18920101 18921231   397.3
18930101 18931231   418.7
18940101 18941231   597.6
18950101 18951231   308.2
18960101 18961231   347.7
18970101 18971231   330.8
18980101 18981231   321.9
18990101 18991231   282.1
19000101 19001231   377.5
19010101 19011231   307.0
19020101 19021231   230.0
19030101 19031231   357.8
19040101 19041231   397.7
19050101 19051231   411.3
19060101 19061231   506.4
19070101 19071231   327.8
19080101 19081231   318.9
19090101 19091231   389.9
19100101 19101231   476.6
19110101 19111231   467.0
19120101 19121231   331.6
19130101 19131231   337.2
19140101 19141231   274.0
19150101 19151231   283.1
19160101 19161231   616.6
19170101 19171231   576.8
19180101 19181231   286.5
19190101 19191231   284.2
19200101 19201231   412.8
19210101 19211231   477.5
19220101 19221231   305.4
19230101 19231231   351.5
19240101 19241231   562.8
19250101 19251231   446.1
19260101 19261231   508.4
19270101 19271231   307.3
19280101 19281231   519.8
19290101 19291231   306.6
19300101 19301231   404.4
19310101 19311231   575.0
19320101 19321231   409.1
19330101 19331231   376.9
19340101 19341231   558.2
19350101 19351231   282.4
19360101 19361231   521.2
19370101 19371231   323.3
19380101 19381231   300.6
19390101 19391231   405.0
19400101 19401231   202.6
19410101 19411231   374.9
19420101 19421231   409.0
19430101 19431231   358.6
19440101 19441231   201.6
19450101 19451231   345.8
19460101 19461231   313.1
19470101 19471231   529.1
19480101 19481231   328.2
19490101 19491231   512.7
19500101 19501231   872.1
19510101 19511231   253.6
19520101 19521231   331.2
19530101 19531231   337.4
19540101 19541231   490.8
19550101 19551231   604.6
19560101 19561231   823.1
19570101 19571231   213.3
19580101 19581231   390.8
19590101 19591231   416.4
19600101 19601231   420.1
19610101 19611231   581.1
19620101 19621231   479.5
19630101 19631231   619.6
19640101 19641231   346.8
19650101 19651231   350.3
19660101 19661231   493.7
19670101 19671231   258.0
19680101 19681231   464.9
19690101 19691231   694.5
19700101 19701231   387.4
19710101 19711231   423.6
19720101 19721231   287.3
19730101 19731231   597.7
19740101 19741231   642.0
19750101 19751231   408.9
19760101 19761231   721.6
19770101 19771231   315.4
19780101 19781231   677.4
19790101 19791231   239.2
19800101 19801231   273.8
19810101 19811231   421.6
19820101 19821231   276.2
19830101 19831231   604.8
19840101 19841231   669.6
19850101 19851231   477.4
19860101 19861231   268.7
19870101 19871231   461.6
19880101 19881231   602.2
19890101 19891231   428.7
19900101 19901231   627.2
19910101 19911231   391.2
19920101 19921231   711.4
19930101 19931231   467.4
19940101 19941231   260.6
19950101 19951231   541.4
19960101 19961231 99999.9
19970101 19971231   316.2
19980101 19981231   566.0
19990101 19991231   568.4
20000101 20001231   504.8
20010101 20011231   340.2
20020101 20021231   307.0
20030101 20031231   346.9
20040101 20041231   399.7
20050101 20051231   399.2
20060101 20061231   179.3
20070101 20071231   498.1
20080101 20081231   349.3
20090101 20091231   397.9
20100101 20101231   648.9
20110101 20111231   573.7
20120101 20121231   456.3
20130101 20131231   346.4
20140101 20141231   459.6
20150101 20151231   454.7
20160101 20161231   698.6
20170101 20171231   490.6
