PRCP       051033 19230101 20171231 missing_value=99999.9 NYNGAN (MUDALL)                           
19230101 19231231   299.5
19240101 19241231   451.4
19250101 19251231   559.0
19260101 19261231   451.2
19270101 19271231   370.7
19280101 19281231   566.2
19290101 19291231   237.1
19300101 19301231   498.8
19310101 19311231   468.9
19320101 19321231   375.5
19330101 19331231   319.6
19340101 19341231   497.6
19350101 19351231   220.0
19360101 19361231   671.8
19370101 19371231   210.0
19380101 19381231   286.9
19390101 19391231   467.3
19400101 19401231   177.6
19410101 19411231   304.9
19420101 19421231   411.4
19430101 19431231   370.1
19440101 19441231   278.9
19450101 19451231   381.5
19460101 19461231   222.3
19470101 19471231   571.4
19480101 19481231   389.7
19490101 19491231   493.3
19500101 19501231  1028.1
19510101 19511231   358.2
19520101 19521231   458.5
19530101 19531231   317.4
19540101 19541231   370.3
19550101 19551231   635.8
19560101 19561231   819.3
19570101 19571231   148.1
19580101 19581231   400.6
19590101 19591231   626.7
19600101 19601231   409.4
19610101 19611231   722.3
19620101 19621231   518.5
19630101 19631231   555.1
19640101 19641231   435.3
19650101 19651231   109.7
19660101 19661231   406.0
19670101 19671231   206.4
19680101 19681231   522.4
19690101 19691231   583.7
19700101 19701231   430.3
19710101 19711231   467.5
19720101 19721231   282.9
19730101 19731231   783.3
19740101 19741231   694.7
19750101 19751231   436.0
19760101 19761231   897.0
19770101 19771231   419.3
19780101 19781231   745.6
19790101 19791231   360.8
19800101 19801231   333.0
19810101 19811231   464.8
19820101 19821231   264.2
19830101 19831231   626.8
19840101 19841231   608.0
19850101 19851231   373.2
19860101 19861231   230.4
19870101 19871231   373.7
19880101 19881231   521.9
19890101 19891231   462.6
19900101 19901231   755.4
19910101 19911231   312.3
19920101 19921231   783.6
19930101 19931231   443.8
19940101 19941231   294.3
19950101 19951231   536.1
19960101 19961231   432.0
19970101 19971231   322.2
19980101 19981231   587.4
19990101 19991231   683.8
20000101 20001231   688.8
20010101 20011231   431.4
20020101 20021231   284.2
20030101 20031231   387.8
20040101 20041231   468.6
20050101 20051231   338.1
20060101 20061231   238.9
20070101 20071231   476.6
20080101 20081231   374.6
20090101 20091231   444.1
20100101 20101231   767.8
20110101 20111231   471.9
20120101 20121231   545.8
20130101 20131231   351.2
20140101 20141231   620.4
20150101 20151231   456.2
20160101 20161231   705.2
20170101 20171231   347.2
