PRCP       051049 19100101 20171231 missing_value=99999.9 TRANGIE RESEARCH STATION AWS              
19100101 19101231   481.9
19110101 19111231   518.7
19120101 19121231   322.2
19130101 19131231   458.7
19140101 19141231   428.2
19150101 19151231   300.8
19160101 19161231   624.1
19170101 19171231   487.9
19180101 19181231   263.3
19190101 19191231   224.8
19200101 19201231   509.6
19210101 19211231   550.9
19220101 19221231   215.5
19230101 19231231   252.9
19240101 19241231   575.0
19250101 19251231   525.8
19260101 19261231   441.9
19270101 19271231   333.6
19280101 19281231   467.6
19290101 19291231   228.9
19300101 19301231   407.0
19310101 19311231   710.8
19320101 19321231   389.9
19330101 19331231   441.7
19340101 19341231   607.2
19350101 19351231   242.9
19360101 19361231   494.3
19370101 19371231   219.4
19380101 19381231   350.6
19390101 19391231   529.7
19400101 19401231   247.4
19410101 19411231   464.9
19420101 19421231   516.1
19430101 19431231   392.0
19440101 19441231   307.8
19450101 19451231   581.0
19460101 19461231   305.0
19470101 19471231   578.6
19480101 19481231   520.4
19490101 19491231   573.0
19500101 19501231  1209.3
19510101 19511231   336.3
19520101 19521231   596.2
19530101 19531231   405.7
19540101 19541231   452.5
19550101 19551231   871.3
19560101 19561231  1035.0
19570101 19571231   263.9
19580101 19581231   538.9
19590101 19591231   700.9
19600101 19601231   551.6
19610101 19611231   474.2
19620101 19621231   461.6
19630101 19631231   717.3
19640101 19641231   453.1
19650101 19651231   273.5
19660101 19661231   473.3
19670101 19671231   228.2
19680101 19681231   439.2
19690101 19691231   785.3
19700101 19701231   516.2
19710101 19711231   494.8
19720101 19721231   304.1
19730101 19731231   891.9
19740101 19741231   602.0
19750101 19751231   416.5
19760101 19761231   687.8
19770101 19771231   393.7
19780101 19781231   659.1
19790101 19791231   364.6
19800101 19801231   361.1
19810101 19811231   429.8
19820101 19821231   265.0
19830101 19831231   612.2
19840101 19841231   543.2
19850101 19851231   440.8
19860101 19861231   353.1
19870101 19871231   457.2
19880101 19881231   636.1
19890101 19891231   625.5
19900101 19901231   726.1
19910101 19911231   455.3
19920101 19921231   629.4
19930101 19931231   504.9
19940101 19941231   238.7
19950101 19951231   434.6
19960101 19961231   567.3
19970101 19971231   375.1
19980101 19981231   676.3
19990101 19991231   537.0
20000101 20001231   653.3
20010101 20011231   416.4
20020101 20021231   331.9
20030101 20031231   550.1
20040101 20041231   339.8
20050101 20051231   510.6
20060101 20061231   207.5
20070101 20071231   522.7
20080101 20081231   512.2
20090101 20091231   408.2
20100101 20101231   885.8
20110101 20111231   585.0
20120101 20121231   421.2
20130101 20131231   335.6
20140101 20141231   431.4
20150101 20151231   540.2
20160101 20161231   751.0
20170101 20171231   349.6
