PRCP       054003 18930101 20171231 missing_value=99999.9 BARRABA POST OFFICE                       
18930101 18931231   804.3
18940101 18941231   906.8
18950101 18951231   700.7
18960101 18961231   598.0
18970101 18971231   547.0
18980101 18981231   457.7
18990101 18991231   574.0
19000101 19001231   602.5
19010101 19011231   514.9
19020101 19021231   430.9
19030101 19031231   831.4
19040101 19041231   628.1
19050101 19051231   554.2
19060101 19061231   557.0
19070101 19071231   748.9
19080101 19081231   832.0
19090101 19091231   743.8
19100101 19101231   757.3
19110101 19111231   656.3
19120101 19121231   453.5
19130101 19131231   662.4
19140101 19141231   616.5
19150101 19151231   474.8
19160101 19161231   839.6
19170101 19171231   781.0
19180101 19181231   465.9
19190101 19191231   414.9
19200101 19201231   780.7
19210101 19211231   907.0
19220101 19221231   558.9
19230101 19231231   433.6
19240101 19241231   836.3
19250101 19251231   491.0
19260101 19261231   449.6
19270101 19271231   547.7
19280101 19281231   817.9
19290101 19291231   562.2
19300101 19301231   643.3
19310101 19311231   814.9
19320101 19321231   523.2
19330101 19331231   801.3
19340101 19341231   734.8
19350101 19351231   471.2
19360101 19361231   586.5
19370101 19371231   637.9
19380101 19381231   522.5
19390101 19391231   591.3
19400101 19401231   450.3
19410101 19411231   702.4
19420101 19421231   811.9
19430101 19431231   619.4
19440101 19441231   500.9
19450101 19451231   662.5
19460101 19461231   460.0
19470101 19471231   809.0
19480101 19481231   718.8
19490101 19491231   879.8
19500101 19501231  1174.4
19510101 19511231   538.8
19520101 19521231   854.3
19530101 19531231   525.0
19540101 19541231   744.7
19550101 19551231  1128.5
19560101 19561231   995.6
19570101 19571231   342.9
19580101 19581231   573.8
19590101 19591231   788.9
19600101 19601231   499.0
19610101 19611231   675.1
19620101 19621231   776.1
19630101 19631231   896.1
19640101 19641231   942.3
19650101 19651231   351.2
19660101 19661231   571.3
19670101 19671231   526.0
19680101 19681231   958.1
19690101 19691231   836.5
19700101 19701231   799.0
19710101 19711231   920.0
19720101 19721231   611.1
19730101 19731231   846.4
19740101 19741231   666.9
19750101 19751231   858.0
19760101 19761231   905.0
19770101 19771231   726.3
19780101 19781231  1016.0
19790101 19791231   563.0
19800101 19801231   394.9
19810101 19811231   570.4
19820101 19821231   551.8
19830101 19831231   947.4
19840101 19841231   870.2
19850101 19851231   684.8
19860101 19861231   574.8
19870101 19871231   763.8
19880101 19881231   787.3
19890101 19891231   740.2
19900101 19901231   617.4
19910101 19911231   727.2
19920101 19921231   576.6
19930101 19931231   648.4
19940101 19941231   419.6
19950101 19951231   767.9
19960101 19961231   979.6
19970101 19971231   877.1
19980101 19981231   944.9
19990101 19991231   790.5
20000101 20001231   692.0
20010101 20011231   686.1
20020101 20021231   337.7
20030101 20031231   659.4
20040101 20041231   850.4
20050101 20051231   727.1
20060101 20061231   453.2
20070101 20071231   721.0
20080101 20081231   683.5
20090101 20091231   626.0
20100101 20101231   859.0
20110101 20111231   873.3
20120101 20121231   695.8
20130101 20131231   645.9
20140101 20141231   523.0
20150101 20151231   664.5
20160101 20161231   864.3
20170101 20171231   516.8
