PRCP       054036 18830101 20171231 missing_value=99999.9 WALLANGRA (WALLANGRA STATION)             
18830101 18831231   736.0
18840101 18841231   564.1
18850101 18851231   613.4
18860101 18861231  1145.5
18870101 18871231   871.9
18880101 18881231   418.4
18890101 18891231   843.7
18900101 18901231  1094.7
18910101 18911231   887.0
18920101 18921231   926.9
18930101 18931231   896.3
18940101 18941231   848.5
18950101 18951231   594.4
18960101 18961231   833.2
18970101 18971231   752.3
18980101 18981231   545.8
18990101 18991231   823.2
19000101 19001231   699.0
19010101 19011231   530.0
19020101 19021231   344.5
19030101 19031231   906.8
19040101 19041231   693.1
19050101 19051231   680.5
19060101 19061231   821.5
19070101 19071231   741.1
19080101 19081231   640.6
19090101 19091231   689.1
19100101 19101231   854.4
19110101 19111231   677.1
19120101 19121231   756.3
19130101 19131231   682.8
19140101 19141231   695.4
19150101 19151231   445.2
19160101 19161231  1025.2
19170101 19171231   859.5
19180101 19181231   412.2
19190101 19191231   276.6
19200101 19201231   659.5
19210101 19211231  1108.9
19220101 19221231   481.0
19230101 19231231   441.4
19240101 19241231   817.7
19250101 19251231   600.0
19260101 19261231   444.6
19270101 19271231   591.6
19280101 19281231   672.1
19290101 19291231   623.5
19300101 19301231   783.3
19310101 19311231   883.2
19320101 19321231   600.0
19330101 19331231   888.4
19340101 19341231   934.0
19350101 19351231   633.6
19360101 19361231   640.8
19370101 19371231   651.2
19380101 19381231   694.1
19390101 19391231   582.7
19400101 19401231   608.0
19410101 19411231   560.3
19420101 19421231   743.4
19430101 19431231   638.9
19440101 19441231   494.4
19450101 19451231   658.9
19460101 19461231   587.1
19470101 19471231   787.0
19480101 19481231   705.7
19490101 19491231   733.0
19500101 19501231  1188.7
19510101 19511231   531.9
19520101 19521231   898.3
19530101 19531231   670.8
19540101 19541231   809.4
19550101 19551231   780.4
19560101 19561231   943.0
19570101 19571231   455.0
19580101 19581231   699.0
19590101 19591231   917.8
19600101 19601231   626.9
19610101 19611231   750.9
19620101 19621231   803.3
19630101 19631231   742.2
19640101 19641231   653.5
19650101 19651231   431.2
19660101 19661231   668.2
19670101 19671231   557.7
19680101 19681231   674.9
19690101 19691231   780.3
19700101 19701231  1022.8
19710101 19711231   858.5
19720101 19721231   718.2
19730101 19731231   817.4
19740101 19741231   583.2
19750101 19751231   968.5
19760101 19761231  1004.4
19770101 19771231   722.2
19780101 19781231  1067.2
19790101 19791231   560.2
19800101 19801231   650.6
19810101 19811231   741.4
19820101 19821231   658.4
19830101 19831231  1153.8
19840101 19841231   904.0
19850101 19851231   724.8
19860101 19861231   719.8
19870101 19871231   758.4
19880101 19881231   988.6
19890101 19891231   808.4
19900101 19901231   673.8
19910101 19911231   709.8
19920101 19921231   709.2
19930101 19931231   663.0
19940101 19941231   616.8
19950101 19951231   806.0
19960101 19961231  1206.6
19970101 19971231   739.2
19980101 19981231   909.5
19990101 19991231   853.0
20000101 20001231   876.9
20010101 20011231   839.7
20020101 20021231   440.8
20030101 20031231   684.6
20040101 20041231   870.7
20050101 20051231   554.5
20060101 20061231   512.0
20070101 20071231   585.4
20080101 20081231   803.7
20090101 20091231   713.2
20100101 20101231   801.9
20110101 20111231 99999.9
20120101 20121231   533.8
20130101 20131231   609.9
20140101 20141231   659.5
20150101 20151231   928.3
20160101 20161231   765.4
20170101 20171231   655.8
