PRCP       055055 18910101 20071231 missing_value=99999.9 CARROLL (THE RANCH)                       
18910101 18911231   680.7
18920101 18921231   826.9
18930101 18931231   770.1
18940101 18941231   708.7
18950101 18951231   600.4
18960101 18961231   557.5
18970101 18971231   442.4
18980101 18981231   581.1
18990101 18991231   503.9
19000101 19001231   512.1
19010101 19011231   456.4
19020101 19021231   296.6
19030101 19031231   749.6
19040101 19041231   702.8
19050101 19051231   678.3
19060101 19061231   586.9
19070101 19071231   661.7
19080101 19081231   858.0
19090101 19091231   825.4
19100101 19101231   735.7
19110101 19111231   710.8
19120101 19121231   417.8
19130101 19131231   675.6
19140101 19141231   548.5
19150101 19151231   508.2
19160101 19161231   782.6
19170101 19171231   708.7
19180101 19181231   448.9
19190101 19191231   346.7
19200101 19201231   773.7
19210101 19211231   727.4
19220101 19221231   546.7
19230101 19231231   385.9
19240101 19241231   803.0
19250101 19251231   454.9
19260101 19261231   623.4
19270101 19271231   445.9
19280101 19281231   625.6
19290101 19291231   497.5
19300101 19301231   515.6
19310101 19311231   688.4
19320101 19321231   528.1
19330101 19331231   788.4
19340101 19341231   657.1
19350101 19351231   430.8
19360101 19361231   533.5
19370101 19371231   607.4
19380101 19381231   539.5
19390101 19391231   427.7
19400101 19401231   496.6
19410101 19411231   646.1
19420101 19421231   637.8
19430101 19431231   532.4
19440101 19441231   420.5
19450101 19451231   613.5
19460101 19461231   238.9
19470101 19471231   711.9
19480101 19481231   603.2
19490101 19491231   914.9
19500101 19501231  1193.6
19510101 19511231   387.3
19520101 19521231   681.3
19530101 19531231   516.9
19540101 19541231   569.4
19550101 19551231   963.1
19560101 19561231   805.7
19570101 19571231   383.0
19580101 19581231   585.1
19590101 19591231   588.0
19600101 19601231   487.6
19610101 19611231   714.3
19620101 19621231   730.6
19630101 19631231   744.0
19640101 19641231   708.2
19650101 19651231   344.7
19660101 19661231   486.8
19670101 19671231   442.2
19680101 19681231   765.0
19690101 19691231   847.8
19700101 19701231   716.0
19710101 19711231   704.6
19720101 19721231   545.2
19730101 19731231   703.8
19740101 19741231   548.2
19750101 19751231   582.4
19760101 19761231   819.4
19770101 19771231   796.8
19780101 19781231   988.8
19790101 19791231   491.4
19800101 19801231   390.8
19810101 19811231   580.3
19820101 19821231   421.2
19830101 19831231   782.6
19840101 19841231   852.6
19850101 19851231   550.8
19860101 19861231   500.6
19870101 19871231   732.0
19880101 19881231   791.0
19890101 19891231   628.6
19900101 19901231   718.6
19910101 19911231   810.4
19920101 19921231   583.2
19930101 19931231   748.4
19940101 19941231   351.6
19950101 19951231   634.4
19960101 19961231   758.0
19970101 19971231   600.0
19980101 19981231   904.0
19990101 19991231   743.9
20000101 20001231   599.4
20010101 20011231   634.0
20020101 20021231   309.0
20030101 20031231   533.4
20040101 20041231   775.0
20050101 20051231   547.4
20060101 20061231   397.8
20070101 20071231   522.2
