PRCP       056023 19130101 20171231 missing_value=99999.9 OLD KOREELAH (MCPHERSON)                  
19130101 19131231   824.3
19140101 19141231   910.4
19150101 19151231   480.1
19160101 19161231   967.7
19170101 19171231  1033.7
19180101 19181231   525.2
19190101 19191231   551.4
19200101 19201231   863.4
19210101 19211231  1028.3
19220101 19221231   631.5
19230101 19231231   510.6
19240101 19241231   935.3
19250101 19251231  1106.7
19260101 19261231   495.7
19270101 19271231  1073.6
19280101 19281231  1338.1
19290101 19291231   965.6
19300101 19301231   935.7
19310101 19311231  1022.9
19320101 19321231   627.7
19330101 19331231   962.6
19340101 19341231   952.1
19350101 19351231   722.6
19360101 19361231   698.0
19370101 19371231   889.2
19380101 19381231   862.5
19390101 19391231   836.6
19400101 19401231   813.2
19410101 19411231   784.9
19420101 19421231   929.5
19430101 19431231   893.7
19440101 19441231   717.0
19450101 19451231   888.8
19460101 19461231   929.5
19470101 19471231  1196.7
19480101 19481231   907.0
19490101 19491231   989.3
19500101 19501231  1316.8
19510101 19511231   759.0
19520101 19521231   723.8
19530101 19531231   547.2
19540101 19541231  1151.5
19550101 19551231  1010.4
19560101 19561231  1159.7
19570101 19571231   530.1
19580101 19581231   745.2
19590101 19591231  1321.0
19600101 19601231   591.2
19610101 19611231   959.2
19620101 19621231  1036.2
19630101 19631231   934.3
19640101 19641231   795.0
19650101 19651231   857.1
19660101 19661231   537.0
19670101 19671231  1152.3
19680101 19681231   789.1
19690101 19691231   605.5
19700101 19701231   650.4
19710101 19711231   956.0
19720101 19721231  1053.4
19730101 19731231  1015.7
19740101 19741231   929.5
19750101 19751231  1189.2
19760101 19761231  1049.7
19770101 19771231   571.0
19780101 19781231   903.1
19790101 19791231   752.0
19800101 19801231   615.9
19810101 19811231   913.1
19820101 19821231   785.9
19830101 19831231  1185.7
19840101 19841231   920.0
19850101 19851231   849.3
19860101 19861231   649.2
19870101 19871231  1097.3
19880101 19881231  1272.7
19890101 19891231  1181.4
19900101 19901231   897.4
19910101 19911231   701.6
19920101 19921231   749.0
19930101 19931231   615.1
19940101 19941231   647.2
19950101 19951231   712.9
19960101 19961231  1162.6
19970101 19971231   964.8
19980101 19981231   854.6
19990101 19991231  1261.4
20000101 20001231   508.0
20010101 20011231   850.8
20020101 20021231   628.2
20030101 20031231   695.2
20040101 20041231  1010.6
20050101 20051231   584.0
20060101 20061231   625.0
20070101 20071231   785.8
20080101 20081231  1114.4
20090101 20091231   881.4
20100101 20101231  1213.6
20110101 20111231  1256.8
20120101 20121231 99999.9
20130101 20131231  1021.8
20140101 20141231   678.4
20150101 20151231   964.6
20160101 20161231   791.2
20170101 20171231   931.2
