PRCP       058012 18820101 20171231 missing_value=99999.9 YAMBA PILOT STATION                       
18820101 18821231  1135.6
18830101 18831231  1479.0
18840101 18841231  1564.4
18850101 18851231   816.7
18860101 18861231  1678.5
18870101 18871231  1930.4
18880101 18881231   976.4
18890101 18891231  1989.1
18900101 18901231  2004.9
18910101 18911231  1843.8
18920101 18921231  1761.6
18930101 18931231  1619.2
18940101 18941231  1733.4
18950101 18951231  1304.5
18960101 18961231  1407.2
18970101 18971231  1596.2
18980101 18981231  1407.5
18990101 18991231  2046.7
19000101 19001231  1269.8
19010101 19011231  1319.5
19020101 19021231   880.3
19030101 19031231  1347.3
19040101 19041231  1274.2
19050101 19051231   994.1
19060101 19061231  1385.1
19070101 19071231  1277.9
19080101 19081231  1242.5
19090101 19091231  1391.9
19100101 19101231  1446.7
19110101 19111231  1235.9
19120101 19121231  1256.3
19130101 19131231  1373.3
19140101 19141231  1896.6
19150101 19151231   679.0
19160101 19161231  1554.2
19170101 19171231  1671.0
19180101 19181231  1054.4
19190101 19191231  1341.2
19200101 19201231  1348.9
19210101 19211231  2389.1
19220101 19221231  1287.3
19230101 19231231  1263.8
19240101 19241231  1533.5
19250101 19251231  1777.3
19260101 19261231  1156.1
19270101 19271231  1412.4
19280101 19281231  1078.9
19290101 19291231  1781.9
19300101 19301231  1752.5
19310101 19311231  1242.1
19320101 19321231   736.0
19330101 19331231  1738.9
19340101 19341231  1580.1
19350101 19351231  1327.8
19360101 19361231  1139.5
19370101 19371231  1674.6
19380101 19381231  1425.4
19390101 19391231  1184.6
19400101 19401231  1180.7
19410101 19411231  1137.1
19420101 19421231  1167.6
19430101 19431231  1471.0
19440101 19441231  1394.2
19450101 19451231  1367.2
19460101 19461231  1131.7
19470101 19471231  1510.3
19480101 19481231  1168.3
19490101 19491231  1544.7
19500101 19501231  2716.8
19510101 19511231  1239.9
19520101 19521231  1326.2
19530101 19531231  1212.9
19540101 19541231  2178.8
19550101 19551231  1446.3
19560101 19561231  1499.6
19570101 19571231  1065.9
19580101 19581231  1694.7
19590101 19591231  1986.8
19600101 19601231  1009.2
19610101 19611231  1709.3
19620101 19621231  2438.5
19630101 19631231  2192.4
19640101 19641231  1610.1
19650101 19651231  1301.0
19660101 19661231  1219.9
19670101 19671231  1912.2
19680101 19681231   824.6
19690101 19691231  1268.1
19700101 19701231  1273.5
19710101 19711231  1302.6
19720101 19721231  1961.6
19730101 19731231  1467.1
19740101 19741231  1894.1
19750101 19751231  1887.7
19760101 19761231  1934.9
19770101 19771231  1402.5
19780101 19781231  1451.8
19790101 19791231  1266.6
19800101 19801231  1214.8
19810101 19811231  1407.4
19820101 19821231  1513.4
19830101 19831231  2035.8
19840101 19841231  1444.1
19850101 19851231  1731.7
19860101 19861231  1007.0
19870101 19871231  1715.4
19880101 19881231  2176.7
19890101 19891231  1581.1
19900101 19901231  1600.2
19910101 19911231  1027.7
19920101 19921231  1430.6
19930101 19931231  1138.4
19940101 19941231  1336.8
19950101 19951231  1229.5
19960101 19961231  1808.1
19970101 19971231  1348.8
19980101 19981231  1259.8
19990101 19991231  2400.0
20000101 20001231  1015.9
20010101 20011231  1416.8
20020101 20021231   948.9
20030101 20031231  1477.6
20040101 20041231  1112.0
20050101 20051231  1375.6
20060101 20061231  1508.3
20070101 20071231  1202.7
20080101 20081231  1507.8
20090101 20091231  1775.3
20100101 20101231  1775.9
20110101 20111231  2187.6
20120101 20121231  1728.6
20130101 20131231  1517.9
20140101 20141231  1171.3
20150101 20151231  1388.1
20160101 20161231  1070.8
20170101 20171231  1983.6
