PRCP       058063 18790101 20111231 missing_value=99999.9 CASINO AIRPORT                            
18790101 18791231  1528.4
18800101 18801231  1057.2
18810101 18811231   901.8
18820101 18821231   917.7
18830101 18831231   853.9
18840101 18841231  1015.3
18850101 18851231   649.9
18860101 18861231  1288.1
18870101 18871231  1614.1
18880101 18881231   811.1
18890101 18891231  1392.4
18900101 18901231  1955.7
18910101 18911231  1266.8
18920101 18921231  1502.2
18930101 18931231  1844.5
18940101 18941231  1340.7
18950101 18951231   992.7
18960101 18961231  1008.8
18970101 18971231  1043.4
18980101 18981231  1284.2
18990101 18991231  1298.8
19000101 19001231   817.5
19010101 19011231   981.3
19020101 19021231   490.2
19030101 19031231  1162.3
19040101 19041231  1076.7
19050101 19051231   775.6
19060101 19061231  1216.5
19070101 19071231   872.4
19080101 19081231  1139.7
19090101 19091231   856.2
19100101 19101231  1305.6
19110101 19111231   865.9
19120101 19121231  1044.9
19130101 19131231  1041.8
19140101 19141231  1008.1
19150101 19151231   501.3
19160101 19161231  1129.4
19170101 19171231  1229.3
19180101 19181231   848.5
19190101 19191231   876.2
19200101 19201231  1286.9
19210101 19211231  1528.3
19220101 19221231   854.2
19230101 19231231   805.6
19240101 19241231   958.4
19250101 19251231  1689.5
19260101 19261231   783.2
19270101 19271231  1242.8
19280101 19281231  1077.7
19290101 19291231  1254.6
19300101 19301231  1165.6
19310101 19311231  1334.3
19320101 19321231   773.7
19330101 19331231  1274.5
19340101 19341231  1163.7
19350101 19351231   920.6
19360101 19361231   866.5
19370101 19371231  1372.8
19380101 19381231  1342.9
19390101 19391231  1101.6
19400101 19401231   769.3
19410101 19411231   852.1
19420101 19421231   978.6
19430101 19431231   888.9
19440101 19441231   731.4
19450101 19451231  1106.4
19460101 19461231  1050.0
19470101 19471231  1206.4
19480101 19481231  1081.0
19490101 19491231  1142.6
19500101 19501231  1593.3
19510101 19511231   950.0
19520101 19521231   885.8
19530101 19531231  1128.0
19540101 19541231  1488.3
19550101 19551231  1365.3
19560101 19561231  1270.6
19570101 19571231   617.2
19580101 19581231  1107.4
19590101 19591231  1666.5
19600101 19601231   632.9
19610101 19611231  1231.2
19620101 19621231  1533.4
19630101 19631231  1443.3
19640101 19641231  1052.2
19650101 19651231  1020.0
19660101 19661231   685.3
19670101 19671231  1407.6
19680101 19681231  1122.7
19690101 19691231   966.2
19700101 19701231  1060.9
19710101 19711231  1047.5
19720101 19721231  1464.7
19730101 19731231  1095.8
19740101 19741231  1576.6
19750101 19751231  1400.1
19760101 19761231  1352.1
19770101 19771231   853.9
19780101 19781231   934.7
19790101 19791231  1000.4
19800101 19801231  1003.5
19810101 19811231  1048.6
19820101 19821231   915.3
19830101 19831231  1245.8
19840101 19841231  1186.5
19850101 19851231  1179.7
19860101 19861231   687.2
19870101 19871231  1484.8
19880101 19881231  1733.9
19890101 19891231  1545.2
19900101 19901231  1056.8
19910101 19911231   789.6
19920101 19921231   828.5
19930101 19931231   726.0
19940101 19941231   771.3
19950101 19951231   829.9
19960101 19961231  1379.3
19970101 19971231   947.1
19980101 19981231   913.3
19990101 19991231  1325.6
20000101 20001231   686.7
20010101 20011231  1193.3
20020101 20021231   559.3
20030101 20031231   717.6
20040101 20041231  1064.7
20050101 20051231   883.2
20060101 20061231  1291.9
20070101 20071231   872.4
20080101 20081231  1235.6
20090101 20091231  1213.0
20100101 20101231  1452.6
20110101 20111231  1003.1
