PRCP       060027 19100101 20151231 missing_value=99999.9 LORNE (LORNE ROAD)                        
19100101 19101231   996.3
19110101 19111231  1288.3
19120101 19121231  1262.8
19130101 19131231  1501.2
19140101 19141231  2084.6
19150101 19151231   902.2
19160101 19161231  1433.0
19170101 19171231  1056.7
19180101 19181231   877.1
19190101 19191231  1147.8
19200101 19201231  1037.2
19210101 19211231  1855.1
19220101 19221231  1726.4
19230101 19231231   951.1
19240101 19241231  1145.5
19250101 19251231  1305.9
19260101 19261231  1200.2
19270101 19271231  1527.7
19280101 19281231  1155.7
19290101 19291231  2530.1
19300101 19301231  2003.6
19310101 19311231  1542.6
19320101 19321231  1194.1
19330101 19331231  1818.2
19340101 19341231  1921.2
19350101 19351231  1138.7
19360101 19361231  1117.5
19370101 19371231  1761.3
19380101 19381231  1439.9
19390101 19391231  1157.5
19400101 19401231   841.0
19410101 19411231   723.8
19420101 19421231  1366.7
19430101 19431231  1527.1
19440101 19441231   808.0
19450101 19451231  1371.5
19460101 19461231  1013.5
19470101 19471231  1617.5
19480101 19481231  1246.5
19490101 19491231  1803.0
19500101 19501231  2740.7
19510101 19511231  1398.7
19520101 19521231  1557.1
19530101 19531231  1083.0
19540101 19541231  1940.6
19550101 19551231  1926.4
19560101 19561231  2076.6
19570101 19571231   925.0
19580101 19581231  1310.1
19590101 19591231  2096.2
19600101 19601231  1183.0
19610101 19611231  1474.6
19620101 19621231  2015.0
19630101 19631231  2806.6
19640101 19641231  1039.3
19650101 19651231   847.5
19660101 19661231   927.1
19670101 19671231  2275.9
19680101 19681231  1178.6
19690101 19691231  1416.9
19700101 19701231  1239.2
19710101 19711231  1305.6
19720101 19721231  1800.5
19730101 19731231  1154.3
19740101 19741231  2041.6
19750101 19751231  1701.7
19760101 19761231  1649.4
19770101 19771231  1545.5
19780101 19781231  1841.2
19790101 19791231   994.5
19800101 19801231   893.6
19810101 19811231  1166.1
19820101 19821231  1206.8
19830101 19831231  1440.1
19840101 19841231  1600.7
19850101 19851231  1919.1
19860101 19861231  1073.0
19870101 19871231  1117.2
19880101 19881231  1832.4
19890101 19891231  1863.5
19900101 19901231  1863.5
19910101 19911231   802.4
19920101 19921231  1241.1
19930101 19931231   956.0
19940101 19941231   729.0
19950101 19951231  2020.5
19960101 19961231  1873.0
19970101 19971231  1496.5
19980101 19981231  1496.0
19990101 19991231  2010.0
20000101 20001231  1266.0
20010101 20011231  1403.0
20020101 20021231  1047.0
20030101 20031231  1214.0
20040101 20041231  1405.0
20050101 20051231  1345.0
20060101 20061231  1257.0
20070101 20071231  1509.0
20080101 20081231  1659.0
20090101 20091231  2104.0
20100101 20101231  1274.0
20110101 20111231  1812.0
20120101 20121231  1347.0
20130101 20131231  2001.0
20140101 20141231 99999.9
20150101 20151231  1646.0
