PRCP       061000 18950101 20061231 missing_value=99999.9 ABERDEEN (MAIN RD)                        
18950101 18951231   560.4
18960101 18961231   570.2
18970101 18971231   487.8
18980101 18981231   599.2
18990101 18991231   545.9
19000101 19001231   505.7
19010101 19011231   368.0
19020101 19021231   425.6
19030101 19031231   766.5
19040101 19041231   815.5
19050101 19051231   364.7
19060101 19061231   457.9
19070101 19071231   570.9
19080101 19081231   632.4
19090101 19091231   733.8
19100101 19101231   628.9
19110101 19111231   694.0
19120101 19121231   535.3
19130101 19131231   730.1
19140101 19141231   839.8
19150101 19151231   438.4
19160101 19161231   735.0
19170101 19171231   586.7
19180101 19181231   310.5
19190101 19191231   337.7
19200101 19201231   702.2
19210101 19211231   884.3
19220101 19221231   461.5
19230101 19231231   352.7
19240101 19241231   686.5
19250101 19251231   380.4
19260101 19261231   721.8
19270101 19271231   503.3
19280101 19281231   601.8
19290101 19291231   532.9
19300101 19301231   562.2
19310101 19311231   855.4
19320101 19321231   652.8
19330101 19331231   576.6
19340101 19341231   631.4
19350101 19351231   386.6
19360101 19361231   502.1
19370101 19371231   498.3
19380101 19381231   403.0
19390101 19391231   379.5
19400101 19401231   361.4
19410101 19411231   405.0
19420101 19421231   605.2
19430101 19431231   628.1
19440101 19441231   425.5
19450101 19451231   728.1
19460101 19461231   429.0
19470101 19471231   614.9
19480101 19481231   676.7
19490101 19491231   866.3
19500101 19501231  1187.9
19510101 19511231   618.2
19520101 19521231   646.5
19530101 19531231   637.8
19540101 19541231   752.2
19550101 19551231  1017.7
19560101 19561231   771.8
19570101 19571231   401.1
19580101 19581231   542.8
19590101 19591231   640.7
19600101 19601231   594.7
19610101 19611231   786.6
19620101 19621231   795.8
19630101 19631231   942.6
19640101 19641231   693.2
19650101 19651231   367.7
19660101 19661231   422.5
19670101 19671231   557.1
19680101 19681231   699.3
19690101 19691231   675.5
19700101 19701231   635.6
19710101 19711231   645.8
19720101 19721231   609.8
19730101 19731231   599.6
19740101 19741231   570.7
19750101 19751231   511.0
19760101 19761231   792.9
19770101 19771231   588.4
19780101 19781231   775.4
19790101 19791231   511.4
19800101 19801231   321.4
19810101 19811231   568.8
19820101 19821231   361.8
19830101 19831231   585.0
19840101 19841231   759.5
19850101 19851231   627.4
19860101 19861231   451.5
19870101 19871231   636.0
19880101 19881231   775.7
19890101 19891231   621.8
19900101 19901231   873.7
19910101 19911231   466.1
19920101 19921231   606.5
19930101 19931231   692.6
19940101 19941231   417.6
19950101 19951231   610.1
19960101 19961231   567.2
19970101 19971231   392.8
19980101 19981231   790.0
19990101 19991231   695.8
20000101 20001231   727.6
20010101 20011231   334.1
20020101 20021231   442.9
20030101 20031231   448.6
20040101 20041231   472.3
20050101 20051231   564.0
20060101 20061231   331.5
