PRCP       061010 18960101 20171231 missing_value=99999.9 CLARENCE TOWN (GREY ST)                   
18960101 18961231   964.8
18970101 18971231  1032.9
18980101 18981231  1057.8
18990101 18991231  1342.0
19000101 19001231   903.1
19010101 19011231   770.9
19020101 19021231   765.4
19030101 19031231  1278.7
19040101 19041231   921.4
19050101 19051231   605.6
19060101 19061231   668.7
19070101 19071231   874.0
19080101 19081231  1279.9
19090101 19091231  1002.9
19100101 19101231  1126.2
19110101 19111231  1074.2
19120101 19121231  1277.9
19130101 19131231  1459.7
19140101 19141231  1240.3
19150101 19151231   903.2
19160101 19161231  1152.5
19170101 19171231  1235.5
19180101 19181231   857.6
19190101 19191231  1141.5
19200101 19201231   979.2
19210101 19211231  1578.1
19220101 19221231  1062.3
19230101 19231231   896.8
19240101 19241231  1328.7
19250101 19251231  1184.7
19260101 19261231  1265.4
19270101 19271231  1734.2
19280101 19281231  1272.7
19290101 19291231  1158.1
19300101 19301231  1224.3
19310101 19311231  1158.1
19320101 19321231  1011.9
19330101 19331231   915.7
19340101 19341231  1148.4
19350101 19351231   665.4
19360101 19361231   879.8
19370101 19371231  1021.7
19380101 19381231   794.7
19390101 19391231  1001.4
19400101 19401231   733.9
19410101 19411231   742.1
19420101 19421231  1149.9
19430101 19431231  1210.0
19440101 19441231   587.0
19450101 19451231   875.6
19460101 19461231  1163.0
19470101 19471231   974.6
19480101 19481231   893.4
19490101 19491231  1540.3
19500101 19501231  1673.3
19510101 19511231  1304.6
19520101 19521231  1070.6
19530101 19531231   904.9
19540101 19541231  1095.0
19550101 19551231  1206.8
19560101 19561231  1310.1
19570101 19571231   723.5
19580101 19581231   856.7
19590101 19591231  1232.3
19600101 19601231  1077.6
19610101 19611231  1001.4
19620101 19621231  1316.3
19630101 19631231  1630.3
19640101 19641231   751.5
19650101 19651231   524.2
19660101 19661231   769.0
19670101 19671231  1380.3
19680101 19681231  1197.5
19690101 19691231  1066.1
19700101 19701231   919.0
19710101 19711231  1472.3
19720101 19721231  1298.8
19730101 19731231   806.0
19740101 19741231  1348.3
19750101 19751231   988.0
19760101 19761231  1240.6
19770101 19771231  1043.8
19780101 19781231  1489.8
19790101 19791231   697.8
19800101 19801231   450.0
19810101 19811231  1047.7
19820101 19821231   847.7
19830101 19831231   937.9
19840101 19841231  1050.5
19850101 19851231  1149.9
19860101 19861231   810.5
19870101 19871231  1269.6
19880101 19881231  1240.8
19890101 19891231  1194.6
19900101 19901231  1390.4
19910101 19911231   675.2
19920101 19921231  1049.0
19930101 19931231   814.4
19940101 19941231   821.9
19950101 19951231  1163.2
19960101 19961231   823.8
19970101 19971231   874.6
19980101 19981231  1464.2
19990101 19991231  1285.6
20000101 20001231   958.6
20010101 20011231  1361.6
20020101 20021231   891.2
20030101 20031231   836.4
20040101 20041231   997.2
20050101 20051231   940.0
20060101 20061231   835.6
20070101 20071231  1238.2
20080101 20081231  1350.2
20090101 20091231  1282.8
20100101 20101231   857.8
20110101 20111231  1467.6
20120101 20121231   909.7
20130101 20131231  1216.4
20140101 20141231   799.3
20150101 20151231  1436.0
20160101 20161231  1094.0
20170101 20171231   816.2
