PRCP       063005 19090101 20171231 missing_value=99999.9 BATHURST AGRICULTURAL STATION             
19090101 19091231   558.9
19100101 19101231   571.2
19110101 19111231   622.0
19120101 19121231   435.3
19130101 19131231   503.4
19140101 19141231   572.4
19150101 19151231   483.4
19160101 19161231   903.9
19170101 19171231   715.3
19180101 19181231   471.7
19190101 19191231   347.1
19200101 19201231   702.2
19210101 19211231   906.8
19220101 19221231   540.6
19230101 19231231   436.8
19240101 19241231   651.9
19250101 19251231   454.3
19260101 19261231   800.8
19270101 19271231   436.6
19280101 19281231   626.5
19290101 19291231   496.8
19300101 19301231   621.0
19310101 19311231   643.4
19320101 19321231   645.4
19330101 19331231   472.8
19340101 19341231   649.9
19350101 19351231   504.2
19360101 19361231   585.2
19370101 19371231   442.8
19380101 19381231   405.6
19390101 19391231   539.4
19400101 19401231   425.5
19410101 19411231   551.8
19420101 19421231   707.0
19430101 19431231   683.2
19440101 19441231   279.6
19450101 19451231   673.5
19460101 19461231   519.6
19470101 19471231   720.2
19480101 19481231   627.2
19490101 19491231   687.3
19500101 19501231  1275.2
19510101 19511231   603.6
19520101 19521231   782.6
19530101 19531231   555.8
19540101 19541231   668.8
19550101 19551231   873.8
19560101 19561231   960.9
19570101 19571231   391.0
19580101 19581231   772.4
19590101 19591231   679.2
19600101 19601231   859.4
19610101 19611231   665.6
19620101 19621231   630.7
19630101 19631231   758.2
19640101 19641231   784.4
19650101 19651231   348.3
19660101 19661231   780.0
19670101 19671231   503.3
19680101 19681231   626.9
19690101 19691231   819.4
19700101 19701231   788.4
19710101 19711231   852.6
19720101 19721231   585.2
19730101 19731231   989.1
19740101 19741231   667.6
19750101 19751231   622.0
19760101 19761231   786.6
19770101 19771231   421.1
19780101 19781231   941.0
19790101 19791231   443.6
19800101 19801231   446.3
19810101 19811231   596.0
19820101 19821231   214.2
19830101 19831231   685.3
19840101 19841231   749.7
19850101 19851231   558.8
19860101 19861231   636.6
19870101 19871231   777.4
19880101 19881231   687.8
19890101 19891231   727.0
19900101 19901231   734.0
19910101 19911231   510.4
19920101 19921231   840.4
19930101 19931231   626.8
19940101 19941231   461.6
19950101 19951231   587.5
19960101 19961231   712.2
19970101 19971231   444.4
19980101 19981231   929.0
19990101 19991231   747.9
20000101 20001231   762.8
20010101 20011231   540.4
20020101 20021231   457.9
20030101 20031231   727.1
20040101 20041231   594.4
20050101 20051231   778.5
20060101 20061231   420.1
20070101 20071231   667.9
20080101 20081231   787.9
20090101 20091231   530.2
20100101 20101231  1087.9
20110101 20111231   738.2
20120101 20121231   702.9
20130101 20131231   603.0
20140101 20141231   537.1
20150101 20151231   614.5
20160101 20161231   794.9
20170101 20171231   458.7
