PRCP       064008 18800101 20171231 missing_value=99999.9 COONABARABRAN (NAMOI STREET)              
18800101 18801231   706.9
18810101 18811231   547.0
18820101 18821231   731.3
18830101 18831231   596.7
18840101 18841231   479.7
18850101 18851231   543.0
18860101 18861231  1102.3
18870101 18871231  1221.0
18880101 18881231   496.3
18890101 18891231  1238.9
18900101 18901231  1089.4
18910101 18911231  1059.5
18920101 18921231   963.9
18930101 18931231   786.4
18940101 18941231   813.9
18950101 18951231   735.3
18960101 18961231   860.8
18970101 18971231   626.2
18980101 18981231   684.4
18990101 18991231   501.3
19000101 19001231   524.4
19010101 19011231   579.4
19020101 19021231   391.0
19030101 19031231   712.4
19040101 19041231   776.1
19050101 19051231   626.3
19060101 19061231   892.0
19070101 19071231   620.6
19080101 19081231   836.5
19090101 19091231   845.0
19100101 19101231   751.5
19110101 19111231   811.5
19120101 19121231   425.9
19130101 19131231   634.6
19140101 19141231   609.2
19150101 19151231   384.3
19160101 19161231   907.3
19170101 19171231   685.6
19180101 19181231   496.7
19190101 19191231   383.8
19200101 19201231  1042.0
19210101 19211231   855.1
19220101 19221231   382.3
19230101 19231231   498.9
19240101 19241231   780.8
19250101 19251231   587.1
19260101 19261231   885.6
19270101 19271231   474.5
19280101 19281231   571.0
19290101 19291231   486.7
19300101 19301231   790.0
19310101 19311231   849.2
19320101 19321231   558.7
19330101 19331231   828.1
19340101 19341231   882.7
19350101 19351231   468.2
19360101 19361231   691.2
19370101 19371231   616.3
19380101 19381231   467.4
19390101 19391231   702.4
19400101 19401231   321.2
19410101 19411231   765.6
19420101 19421231   697.4
19430101 19431231   517.0
19440101 19441231   444.7
19450101 19451231   630.2
19460101 19461231   350.6
19470101 19471231   970.7
19480101 19481231   697.6
19490101 19491231   767.0
19500101 19501231  1596.7
19510101 19511231   628.8
19520101 19521231   759.5
19530101 19531231   626.5
19540101 19541231   773.2
19550101 19551231  1113.5
19560101 19561231   994.6
19570101 19571231   451.6
19580101 19581231   731.0
19590101 19591231   986.4
19600101 19601231   651.6
19610101 19611231   764.4
19620101 19621231   688.9
19630101 19631231   962.5
19640101 19641231   753.1
19650101 19651231   552.2
19660101 19661231   746.4
19670101 19671231   505.3
19680101 19681231   886.0
19690101 19691231   946.2
19700101 19701231   847.7
19710101 19711231  1029.7
19720101 19721231   681.5
19730101 19731231  1358.5
19740101 19741231   765.2
19750101 19751231   665.6
19760101 19761231  1041.1
19770101 19771231   905.1
19780101 19781231  1035.4
19790101 19791231   603.6
19800101 19801231   667.4
19810101 19811231   758.2
19820101 19821231   414.0
19830101 19831231  1106.8
19840101 19841231   853.2
19850101 19851231   750.6
19860101 19861231   544.2
19870101 19871231   787.6
19880101 19881231   852.6
19890101 19891231   955.8
19900101 19901231   916.8
19910101 19911231   899.2
19920101 19921231   870.4
19930101 19931231   901.4
19940101 19941231   418.6
19950101 19951231   755.3
19960101 19961231   976.0
19970101 19971231   810.0
19980101 19981231  1190.8
19990101 19991231   885.0
20000101 20001231  1081.2
20010101 20011231   691.2
20020101 20021231   439.0
20030101 20031231   666.0
20040101 20041231   896.7
20050101 20051231   728.6
20060101 20061231   461.2
20070101 20071231   971.6
20080101 20081231   893.6
20090101 20091231   729.2
20100101 20101231  1451.2
20110101 20111231   663.4
20120101 20121231   798.8
20130101 20131231   540.8
20140101 20141231   527.4
20150101 20151231 99999.9
20160101 20161231 99999.9
20170101 20171231   539.1
