PRCP       065022 18890101 20171231 missing_value=99999.9 MANILDRA (HAZELDALE)                      
18890101 18891231   744.4
18900101 18901231   958.6
18910101 18911231   915.4
18920101 18921231   785.2
18930101 18931231   733.6
18940101 18941231   854.2
18950101 18951231   483.5
18960101 18961231   512.8
18970101 18971231   438.3
18980101 18981231   583.2
18990101 18991231   406.1
19000101 19001231   690.9
19010101 19011231   549.3
19020101 19021231   326.0
19030101 19031231   667.4
19040101 19041231   493.4
19050101 19051231   593.0
19060101 19061231   726.5
19070101 19071231   617.3
19080101 19081231   549.6
19090101 19091231   654.0
19100101 19101231   595.1
19110101 19111231   674.3
19120101 19121231   480.2
19130101 19131231   557.6
19140101 19141231   538.1
19150101 19151231   504.2
19160101 19161231  1027.0
19170101 19171231   777.9
19180101 19181231   501.5
19190101 19191231   365.3
19200101 19201231   796.3
19210101 19211231   766.0
19220101 19221231   481.0
19230101 19231231   548.3
19240101 19241231   609.1
19250101 19251231   609.3
19260101 19261231   780.6
19270101 19271231   597.7
19280101 19281231   772.8
19290101 19291231   517.0
19300101 19301231   671.9
19310101 19311231   806.3
19320101 19321231   591.2
19330101 19331231   618.4
19340101 19341231   875.6
19350101 19351231   608.7
19360101 19361231   686.8
19370101 19371231   641.9
19380101 19381231   526.3
19390101 19391231   632.6
19400101 19401231   441.5
19410101 19411231   710.1
19420101 19421231   698.0
19430101 19431231   708.6
19440101 19441231   254.2
19450101 19451231   591.6
19460101 19461231   411.8
19470101 19471231   817.6
19480101 19481231   587.9
19490101 19491231   747.5
19500101 19501231  1314.4
19510101 19511231   648.4
19520101 19521231   839.2
19530101 19531231   486.1
19540101 19541231   738.7
19550101 19551231   893.6
19560101 19561231  1169.6
19570101 19571231   315.4
19580101 19581231   668.7
19590101 19591231   817.2
19600101 19601231   843.3
19610101 19611231   724.2
19620101 19621231   876.2
19630101 19631231   808.7
19640101 19641231   677.1
19650101 19651231   495.6
19660101 19661231   735.1
19670101 19671231   465.3
19680101 19681231   750.0
19690101 19691231   951.6
19700101 19701231   745.3
19710101 19711231   734.4
19720101 19721231   566.4
19730101 19731231  1117.4
19740101 19741231   843.4
19750101 19751231   592.8
19760101 19761231   829.2
19770101 19771231   490.8
19780101 19781231   987.2
19790101 19791231   415.4
19800101 19801231   441.8
19810101 19811231   673.8
19820101 19821231   239.0
19830101 19831231   798.4
19840101 19841231   884.6
19850101 19851231   645.4
19860101 19861231   514.2
19870101 19871231   687.8
19880101 19881231   724.6
19890101 19891231   660.2
19900101 19901231   930.0
19910101 19911231   645.8
19920101 19921231   932.0
19930101 19931231   776.8
19940101 19941231 99999.9
19950101 19951231   622.2
19960101 19961231   726.2
19970101 19971231   419.4
19980101 19981231   824.4
19990101 19991231   813.6
20000101 20001231   768.0
20010101 20011231   637.6
20020101 20021231   596.4
20030101 20031231   508.7
20040101 20041231   667.4
20050101 20051231   781.8
20060101 20061231   309.0
20070101 20071231   624.9
20080101 20081231   641.8
20090101 20091231   489.6
20100101 20101231  1110.2
20110101 20111231   714.0
20120101 20121231   710.4
20130101 20131231   520.0
20140101 20141231 99999.9
20150101 20151231   560.0
20160101 20161231   940.4
20170101 20171231   588.0
