PRCP       068016 19040101 20061231 missing_value=99999.9 CATARACT DAM                              
19040101 19041231  1448.0
19050101 19051231   734.8
19060101 19061231   622.7
19070101 19071231   659.4
19080101 19081231   880.6
19090101 19091231   635.6
19100101 19101231   900.6
19110101 19111231  1069.7
19120101 19121231  1089.9
19130101 19131231  1113.2
19140101 19141231  1351.3
19150101 19151231   621.8
19160101 19161231  1029.5
19170101 19171231   869.3
19180101 19181231   834.5
19190101 19191231  1070.9
19200101 19201231   874.8
19210101 19211231  1028.4
19220101 19221231  1030.5
19230101 19231231   744.8
19240101 19241231   771.0
19250101 19251231  1152.0
19260101 19261231   721.1
19270101 19271231   848.1
19280101 19281231   901.8
19290101 19291231  1115.9
19300101 19301231   794.9
19310101 19311231  1002.7
19320101 19321231   780.3
19330101 19331231  1115.5
19340101 19341231  1233.6
19350101 19351231   670.9
19360101 19361231   606.8
19370101 19371231   893.7
19380101 19381231   915.8
19390101 19391231   584.6
19400101 19401231   561.7
19410101 19411231   562.1
19420101 19421231  1365.4
19430101 19431231  1333.5
19440101 19441231   480.5
19450101 19451231  1183.4
19460101 19461231   820.4
19470101 19471231  1039.7
19480101 19481231   887.3
19490101 19491231  1632.2
19500101 19501231  2293.1
19510101 19511231  1810.9
19520101 19521231  1733.3
19530101 19531231   892.5
19540101 19541231  1076.2
19550101 19551231  1156.5
19560101 19561231  1792.4
19570101 19571231   805.3
19580101 19581231  1159.8
19590101 19591231  1260.5
19600101 19601231  1204.8
19610101 19611231  1617.7
19620101 19621231  1298.6
19630101 19631231  2142.5
19640101 19641231  1291.9
19650101 19651231   691.6
19660101 19661231   912.5
19670101 19671231  1211.4
19680101 19681231   564.7
19690101 19691231  1461.9
19700101 19701231   894.6
19710101 19711231   958.8
19720101 19721231  1312.0
19730101 19731231  1097.3
19740101 19741231  1683.5
19750101 19751231  1363.9
19760101 19761231  1472.8
19770101 19771231   934.0
19780101 19781231  2020.1
19790101 19791231   565.2
19800101 19801231   648.9
19810101 19811231  1116.8
19820101 19821231   583.9
19830101 19831231  1010.9
19840101 19841231  1481.6
19850101 19851231  1346.0
19860101 19861231  1284.6
19870101 19871231  1512.2
19880101 19881231  1751.0
19890101 19891231  1157.6
19900101 19901231  1544.8
19910101 19911231  1140.6
19920101 19921231  1059.0
19930101 19931231   766.9
19940101 19941231   567.4
19950101 19951231  1290.0
19960101 19961231   928.4
19970101 19971231   778.8
19980101 19981231  1253.7
19990101 19991231  1185.0
20000101 20001231   792.4
20010101 20011231 99999.9
20020101 20021231   665.9
20030101 20031231   907.0
20040101 20041231   893.1
20050101 20051231   807.9
20060101 20061231   671.2
