PRCP       068034 19000101 20031231 missing_value=99999.9 POINT PERPENDICULAR LIGHTHOUSE COMPARISON 
19000101 19001231  2111.1
19010101 19011231  1421.9
19020101 19021231  1293.8
19030101 19031231  1383.5
19040101 19041231  1198.3
19050101 19051231   944.4
19060101 19061231   642.8
19070101 19071231   826.9
19080101 19081231  1069.5
19090101 19091231   913.3
19100101 19101231   881.6
19110101 19111231  1253.0
19120101 19121231  1020.5
19130101 19131231  1187.0
19140101 19141231  1767.1
19150101 19151231  1179.9
19160101 19161231  1437.5
19170101 19171231  1297.1
19180101 19181231  1626.9
19190101 19191231  1347.9
19200101 19201231   910.5
19210101 19211231  1340.7
19220101 19221231  1206.0
19230101 19231231  1055.7
19240101 19241231  1033.9
19250101 19251231  1371.4
19260101 19261231   957.9
19270101 19271231   937.4
19280101 19281231  1323.1
19290101 19291231  1363.9
19300101 19301231   864.5
19310101 19311231  1180.1
19320101 19321231   936.5
19330101 19331231   833.1
19340101 19341231  2250.1
19350101 19351231   957.2
19360101 19361231   931.3
19370101 19371231  1174.8
19380101 19381231   888.0
19390101 19391231   865.1
19400101 19401231   585.9
19410101 19411231   847.0
19420101 19421231   774.6
19430101 19431231  1267.8
19440101 19441231   656.4
19450101 19451231  1001.2
19460101 19461231   686.6
19470101 19471231  1045.4
19480101 19481231   987.9
19490101 19491231  1390.0
19500101 19501231  2170.5
19510101 19511231  1537.4
19520101 19521231  1921.5
19530101 19531231   996.9
19540101 19541231  1000.1
19550101 19551231  1420.1
19560101 19561231  1751.2
19570101 19571231   782.0
19580101 19581231  1705.2
19590101 19591231  2137.0
19600101 19601231  1641.1
19610101 19611231  2493.6
19620101 19621231  1273.8
19630101 19631231  2198.7
19640101 19641231  1144.6
19650101 19651231   917.5
19660101 19661231  1338.1
19670101 19671231   849.0
19680101 19681231   607.2
19690101 19691231  1728.0
19700101 19701231  1025.3
19710101 19711231   845.5
19720101 19721231   983.7
19730101 19731231  1582.0
19740101 19741231  2352.8
19750101 19751231  1591.3
19760101 19761231  2306.4
19770101 19771231  1089.3
19780101 19781231  1552.8
19790101 19791231   814.6
19800101 19801231   699.8
19810101 19811231  1099.9
19820101 19821231   770.1
19830101 19831231  1191.2
19840101 19841231  1551.9
19850101 19851231  1516.8
19860101 19861231  1060.2
19870101 19871231  1121.7
19880101 19881231  1137.0
19890101 19891231  2103.0
19900101 19901231  1735.3
19910101 19911231  1088.8
19920101 19921231  1289.0
19930101 19931231  1027.6
19940101 19941231 99999.9
19950101 19951231  1277.2
19960101 19961231   936.6
19970101 19971231  1161.0
19980101 19981231  1560.2
19990101 19991231  1225.5
20000101 20001231   892.1
20010101 20011231  1132.0
20020101 20021231  1003.5
20030101 20031231  1346.0
