PRCP       069018 18760101 20171231 missing_value=99999.9 MORUYA HEADS PILOT STATION                
18760101 18761231   993.6
18770101 18771231   861.9
18780101 18781231  1010.3
18790101 18791231  1620.3
18800101 18801231  1137.2
18810101 18811231   964.0
18820101 18821231   867.7
18830101 18831231   624.3
18840101 18841231   655.8
18850101 18851231   500.2
18860101 18861231   683.9
18870101 18871231  1081.0
18880101 18881231   550.6
18890101 18891231   825.5
18900101 18901231  1247.5
18910101 18911231  1311.7
18920101 18921231  1303.0
18930101 18931231  1312.0
18940101 18941231  1137.3
18950101 18951231   640.7
18960101 18961231   886.4
18970101 18971231   875.2
18980101 18981231   876.6
18990101 18991231   978.1
19000101 19001231  1197.5
19010101 19011231   670.0
19020101 19021231   687.9
19030101 19031231   824.4
19040101 19041231   686.0
19050101 19051231   591.2
19060101 19061231   733.8
19070101 19071231   600.9
19080101 19081231   653.9
19090101 19091231   637.9
19100101 19101231   780.5
19110101 19111231  1110.2
19120101 19121231   872.3
19130101 19131231  1002.0
19140101 19141231  1076.0
19150101 19151231   544.2
19160101 19161231  1168.8
19170101 19171231   596.6
19180101 19181231   607.3
19190101 19191231   949.9
19200101 19201231   876.7
19210101 19211231  1011.3
19220101 19221231  1027.5
19230101 19231231   619.9
19240101 19241231   827.0
19250101 19251231  1440.5
19260101 19261231   656.7
19270101 19271231   728.5
19280101 19281231   788.4
19290101 19291231  1146.6
19300101 19301231   775.2
19310101 19311231   742.7
19320101 19321231   700.6
19330101 19331231   974.7
19340101 19341231  1822.2
19350101 19351231   893.8
19360101 19361231   954.7
19370101 19371231   977.5
19380101 19381231   920.8
19390101 19391231   859.5
19400101 19401231   546.1
19410101 19411231   774.4
19420101 19421231   831.8
19430101 19431231  1119.1
19440101 19441231   582.3
19450101 19451231   939.3
19460101 19461231   716.5
19470101 19471231   805.9
19480101 19481231   882.6
19490101 19491231  1193.5
19500101 19501231  1662.7
19510101 19511231  1123.6
19520101 19521231  1702.4
19530101 19531231   891.9
19540101 19541231   714.3
19550101 19551231  1087.3
19560101 19561231  1579.9
19570101 19571231   794.9
19580101 19581231   949.9
19590101 19591231  1557.2
19600101 19601231  1010.3
19610101 19611231  1511.3
19620101 19621231   907.1
19630101 19631231  1449.7
19640101 19641231   863.0
19650101 19651231   546.5
19660101 19661231   897.4
19670101 19671231   650.6
19680101 19681231   583.6
19690101 19691231  1166.4
19700101 19701231   938.3
19710101 19711231   991.3
19720101 19721231   822.0
19730101 19731231  1021.4
19740101 19741231  1755.4
19750101 19751231  1737.9
19760101 19761231  1547.6
19770101 19771231  1109.7
19780101 19781231  1310.6
19790101 19791231   858.1
19800101 19801231   472.0
19810101 19811231   993.7
19820101 19821231   467.8
19830101 19831231  1231.6
19840101 19841231  1311.3
19850101 19851231  1159.5
19860101 19861231   972.5
19870101 19871231   673.3
19880101 19881231  1224.1
19890101 19891231  1486.9
19900101 19901231  1111.6
19910101 19911231  1476.0
19920101 19921231  1415.6
19930101 19931231   828.2
19940101 19941231   965.6
19950101 19951231   907.8
19960101 19961231   814.1
19970101 19971231   749.3
19980101 19981231  1018.3
19990101 19991231  1046.8
20000101 20001231   721.6
20010101 20011231   913.5
20020101 20021231   778.6
20030101 20031231   870.0
20040101 20041231   772.5
20050101 20051231   806.8
20060101 20061231   676.3
20070101 20071231   904.0
20080101 20081231   701.4
20090101 20091231   505.1
20100101 20101231  1042.3
20110101 20111231   903.1
20120101 20121231   880.4
20130101 20131231  1077.8
20140101 20141231  1080.4
20150101 20151231  1026.4
20160101 20161231   935.5
20170101 20171231   844.5
