PRCP       070027 18900101 20171231 missing_value=99999.9 DELEGATE (WEEWALLA)                       
18900101 18901231   790.9
18910101 18911231   989.6
18920101 18921231   794.4
18930101 18931231   989.0
18940101 18941231   619.3
18950101 18951231   551.9
18960101 18961231   667.8
18970101 18971231   679.0
18980101 18981231   490.5
18990101 18991231   586.8
19000101 19001231   701.7
19010101 19011231   520.6
19020101 19021231   673.7
19030101 19031231   635.3
19040101 19041231   623.4
19050101 19051231   708.5
19060101 19061231   570.1
19070101 19071231   532.4
19080101 19081231   556.8
19090101 19091231   507.0
19100101 19101231   555.6
19110101 19111231   745.6
19120101 19121231   530.8
19130101 19131231   748.9
19140101 19141231   493.9
19150101 19151231   452.7
19160101 19161231   619.0
19170101 19171231   524.0
19180101 19181231   603.9
19190101 19191231   930.7
19200101 19201231   638.5
19210101 19211231   757.4
19220101 19221231   502.6
19230101 19231231   547.6
19240101 19241231   672.2
19250101 19251231   647.1
19260101 19261231   450.6
19270101 19271231   532.9
19280101 19281231   595.5
19290101 19291231   648.4
19300101 19301231   572.2
19310101 19311231   543.9
19320101 19321231   568.0
19330101 19331231   655.5
19340101 19341231  1104.7
19350101 19351231   678.4
19360101 19361231   642.3
19370101 19371231   578.6
19380101 19381231   548.1
19390101 19391231   668.1
19400101 19401231   516.5
19410101 19411231   500.0
19420101 19421231   461.4
19430101 19431231   529.3
19440101 19441231   426.4
19450101 19451231   513.5
19460101 19461231   707.9
19470101 19471231   629.7
19480101 19481231   649.1
19490101 19491231   703.0
19500101 19501231   794.9
19510101 19511231   765.2
19520101 19521231   969.4
19530101 19531231   586.7
19540101 19541231   500.0
19550101 19551231   514.7
19560101 19561231   917.5
19570101 19571231   652.7
19580101 19581231   673.9
19590101 19591231   932.8
19600101 19601231   761.3
19610101 19611231   854.1
19620101 19621231   539.4
19630101 19631231   763.5
19640101 19641231   615.3
19650101 19651231   410.1
19660101 19661231   770.6
19670101 19671231   364.2
19680101 19681231   594.9
19690101 19691231   721.6
19700101 19701231   734.4
19710101 19711231   786.2
19720101 19721231   492.9
19730101 19731231   615.7
19740101 19741231   995.2
19750101 19751231   659.6
19760101 19761231   602.0
19770101 19771231   590.4
19780101 19781231   887.1
19790101 19791231   395.1
19800101 19801231   471.8
19810101 19811231   483.4
19820101 19821231   388.2
19830101 19831231   734.5
19840101 19841231   762.2
19850101 19851231   812.8
19860101 19861231   385.0
19870101 19871231   472.0
19880101 19881231   630.6
19890101 19891231   778.6
19900101 19901231   551.4
19910101 19911231   709.2
19920101 19921231   719.0
19930101 19931231   630.4
19940101 19941231   610.0
19950101 19951231   718.0
19960101 19961231   492.6
19970101 19971231 99999.9
19980101 19981231 99999.9
19990101 19991231   469.6
20000101 20001231   627.3
20010101 20011231   686.8
20020101 20021231   582.7
20030101 20031231   583.3
20040101 20041231   571.1
20050101 20051231   669.0
20060101 20061231   477.4
20070101 20071231   700.5
20080101 20081231   437.1
20090101 20091231   418.6
20100101 20101231   700.0
20110101 20111231   696.2
20120101 20121231   819.9
20130101 20131231   620.1
20140101 20141231   767.4
20150101 20151231   705.8
20160101 20161231   654.2
20170101 20171231   459.0
