PRCP       070028 18990101 20151231 missing_value=99999.9 YASS (DERRINGULLEN)                       
18990101 18991231   594.6
19000101 19001231   899.7
19010101 19011231   668.0
19020101 19021231   488.6
19030101 19031231   671.4
19040101 19041231   609.7
19050101 19051231   685.7
19060101 19061231   842.4
19070101 19071231   485.9
19080101 19081231   590.7
19090101 19091231   681.4
19100101 19101231   691.5
19110101 19111231   764.4
19120101 19121231   560.7
19130101 19131231   525.1
19140101 19141231   568.9
19150101 19151231   655.6
19160101 19161231   930.1
19170101 19171231   871.0
19180101 19181231   526.2
19190101 19191231   400.3
19200101 19201231   763.2
19210101 19211231   648.5
19220101 19221231   767.5
19230101 19231231   902.9
19240101 19241231   702.0
19250101 19251231   733.6
19260101 19261231   712.7
19270101 19271231   530.7
19280101 19281231   624.9
19290101 19291231   619.0
19300101 19301231   624.1
19310101 19311231   959.8
19320101 19321231   538.5
19330101 19331231   505.1
19340101 19341231   963.6
19350101 19351231   611.0
19360101 19361231   809.9
19370101 19371231   605.6
19380101 19381231   566.0
19390101 19391231   713.3
19400101 19401231   427.1
19410101 19411231   712.6
19420101 19421231   753.1
19430101 19431231   727.6
19440101 19441231   255.1
19450101 19451231   535.1
19460101 19461231   585.5
19470101 19471231   801.4
19480101 19481231   740.6
19490101 19491231   831.8
19500101 19501231  1325.6
19510101 19511231   753.4
19520101 19521231  1273.9
19530101 19531231   580.3
19540101 19541231   576.3
19550101 19551231   927.6
19560101 19561231  1251.8
19570101 19571231   430.9
19580101 19581231   828.7
19590101 19591231   812.6
19600101 19601231   989.2
19610101 19611231   962.3
19620101 19621231   748.6
19630101 19631231   620.0
19640101 19641231   710.3
19650101 19651231   511.7
19660101 19661231   712.1
19670101 19671231   383.8
19680101 19681231   775.5
19690101 19691231   870.4
19700101 19701231   852.4
19710101 19711231   706.0
19720101 19721231   538.0
19730101 19731231   929.3
19740101 19741231  1109.4
19750101 19751231   747.1
19760101 19761231   608.2
19770101 19771231   566.6
19780101 19781231   949.2
19790101 19791231   460.6
19800101 19801231   557.0
19810101 19811231   795.1
19820101 19821231   325.5
19830101 19831231   868.6
19840101 19841231   889.8
19850101 19851231   678.4
19860101 19861231   684.4
19870101 19871231   584.8
19880101 19881231   829.2
19890101 19891231   812.8
19900101 19901231   807.2
19910101 19911231   738.2
19920101 19921231   886.2
19930101 19931231   874.8
19940101 19941231   525.4
19950101 19951231   900.8
19960101 19961231   882.0
19970101 19971231   477.2
19980101 19981231   814.2
19990101 19991231   774.4
20000101 20001231   685.4
20010101 20011231   585.0
20020101 20021231   507.4
20030101 20031231   842.4
20040101 20041231   604.2
20050101 20051231   700.6
20060101 20061231   415.9
20070101 20071231   655.0
20080101 20081231   611.1
20090101 20091231   694.1
20100101 20101231   944.8
20110101 20111231   733.9
20120101 20121231   810.1
20130101 20131231   547.8
20140101 20141231   697.8
20150101 20151231   677.5
