PRCP       072150 18880101 20171231 missing_value=99999.9 WAGGA WAGGA AMO                           
18880101 18881231   334.2
18890101 18891231   707.6
18900101 18901231   705.0
18910101 18911231   795.4
18920101 18921231   555.4
18930101 18931231   679.4
18940101 18941231   783.5
18950101 18951231   463.0
18960101 18961231   457.3
18970101 18971231   440.3
18980101 18981231   364.1
18990101 18991231   455.5
19000101 19001231   677.6
19010101 19011231   431.1
19020101 19021231   314.3
19030101 19031231   551.0
19040101 19041231   445.3
19050101 19051231   503.7
19060101 19061231   725.4
19070101 19071231   388.3
19080101 19081231   437.2
19090101 19091231   520.8
19100101 19101231   508.6
19110101 19111231   725.1
19120101 19121231   371.5
19130101 19131231   419.2
19140101 19141231   300.4
19150101 19151231   466.0
19160101 19161231   755.2
19170101 19171231   784.4
19180101 19181231   547.0
19190101 19191231   434.4
19200101 19201231   651.5
19210101 19211231   570.9
19220101 19221231   492.1
19230101 19231231   630.4
19240101 19241231   609.9
19250101 19251231   595.0
19260101 19261231   529.9
19270101 19271231   413.0
19280101 19281231   600.5
19290101 19291231   384.4
19300101 19301231   463.5
19310101 19311231   695.7
19320101 19321231   504.1
19330101 19331231   479.7
19340101 19341231   766.4
19350101 19351231   473.5
19360101 19361231   693.4
19370101 19371231   461.8
19380101 19381231   423.7
19390101 19391231   774.8
19400101 19401231   291.8
19410101 19411231   484.8
19420101 19421231   619.4
19430101 19431231   508.3
19440101 19441231   225.1
19450101 19451231   448.4
19460101 19461231   383.5
19470101 19471231   565.8
19480101 19481231   480.4
19490101 19491231   565.3
19500101 19501231   818.7
19510101 19511231   489.0
19520101 19521231   707.3
19530101 19531231   574.5
19540101 19541231   552.9
19550101 19551231   693.3
19560101 19561231   988.4
19570101 19571231   451.4
19580101 19581231   575.1
19590101 19591231   461.7
19600101 19601231   637.4
19610101 19611231   534.2
19620101 19621231   530.1
19630101 19631231   625.8
19640101 19641231   639.9
19650101 19651231   416.4
19660101 19661231   643.9
19670101 19671231   244.4
19680101 19681231   582.2
19690101 19691231   755.5
19700101 19701231   728.7
19710101 19711231   692.6
19720101 19721231   417.9
19730101 19731231   692.9
19740101 19741231   926.8
19750101 19751231   684.8
19760101 19761231   486.2
19770101 19771231   425.2
19780101 19781231   780.6
19790101 19791231   418.0
19800101 19801231   488.4
19810101 19811231   528.2
19820101 19821231   297.8
19830101 19831231   771.2
19840101 19841231   619.6
19850101 19851231   587.2
19860101 19861231   586.6
19870101 19871231   445.4
19880101 19881231   668.8
19890101 19891231   704.6
19900101 19901231   599.8
19910101 19911231   432.4
19920101 19921231   923.2
19930101 19931231   718.1
19940101 19941231   468.6
19950101 19951231   714.4
19960101 19961231   680.8
19970101 19971231   407.8
19980101 19981231   561.0
19990101 19991231   693.4
20000101 20001231   653.4
20010101 20011231   488.2
20020101 20021231   376.8
20030101 20031231   450.2
20040101 20041231   494.4
20050101 20051231   513.0
20060101 20061231   267.2
20070101 20071231   466.4
20080101 20081231   477.4
20090101 20091231   361.6
20100101 20101231  1019.2
20110101 20111231   721.2
20120101 20121231   628.2
20130101 20131231   398.2
20140101 20141231   478.2
20150101 20151231   648.0
20160101 20161231   778.8
20170101 20171231   447.0
