PRCP       073038 19080101 20081231 missing_value=99999.9 TEMORA A.R.S.                             
19080101 19081231   444.0
19090101 19091231   428.4
19100101 19101231   493.6
19110101 19111231   551.3
19120101 19121231   369.3
19130101 19131231   326.7
19140101 19141231   306.1
19150101 19151231   381.7
19160101 19161231   723.4
19170101 19171231   650.5
19180101 19181231   364.5
19190101 19191231   291.8
19200101 19201231   657.5
19210101 19211231   520.9
19220101 19221231   356.9
19230101 19231231   573.6
19240101 19241231   580.7
19250101 19251231   502.9
19260101 19261231   517.8
19270101 19271231   302.6
19280101 19281231   519.2
19290101 19291231   313.6
19300101 19301231   494.4
19310101 19311231   697.9
19320101 19321231   440.9
19330101 19331231   399.1
19340101 19341231   604.4
19350101 19351231   393.1
19360101 19361231   595.4
19370101 19371231   375.7
19380101 19381231   392.7
19390101 19391231   740.7
19400101 19401231   253.2
19410101 19411231   409.0
19420101 19421231   524.0
19430101 19431231   499.7
19440101 19441231   198.7
19450101 19451231   424.4
19460101 19461231   365.9
19470101 19471231   538.5
19480101 19481231   450.2
19490101 19491231   573.0
19500101 19501231   836.6
19510101 19511231   463.3
19520101 19521231   672.9
19530101 19531231   530.1
19540101 19541231   514.0
19550101 19551231   644.4
19560101 19561231   928.2
19570101 19571231   282.6
19580101 19581231   475.8
19590101 19591231   542.2
19600101 19601231   601.7
19610101 19611231   575.2
19620101 19621231   557.3
19630101 19631231   520.3
19640101 19641231   501.2
19650101 19651231   322.8
19660101 19661231   602.8
19670101 19671231   221.7
19680101 19681231   593.0
19690101 19691231   814.2
19700101 19701231   612.0
19710101 19711231   496.5
19720101 19721231   396.2
19730101 19731231   716.1
19740101 19741231   916.5
19750101 19751231   545.3
19760101 19761231   547.7
19770101 19771231   304.1
19780101 19781231   717.4
19790101 19791231   333.6
19800101 19801231   438.0
19810101 19811231   520.2
19820101 19821231   320.5
19830101 19831231   662.1
19840101 19841231   650.8
19850101 19851231   639.3
19860101 19861231   497.6
19870101 19871231   473.1
19880101 19881231   623.8
19890101 19891231   649.5
19900101 19901231   632.8
19910101 19911231   518.0
19920101 19921231   720.5
19930101 19931231   625.5
19940101 19941231   358.1
19950101 19951231   714.8
19960101 19961231   544.9
19970101 19971231   346.8
19980101 19981231   565.8
19990101 19991231   701.4
20000101 20001231   531.4
20010101 20011231   373.2
20020101 20021231 99999.9
20030101 20031231   442.4
20040101 20041231   379.3
20050101 20051231   581.5
20060101 20061231   197.1
20070101 20071231   500.0
20080101 20081231   446.7
