PRCP       074128 18700101 20171231 missing_value=99999.9 DENILIQUIN POST OFFICE                    
18700101 18701231   626.1
18710101 18711231   527.7
18720101 18721231   441.5
18730101 18731231   572.4
18740101 18741231   464.0
18750101 18751231   594.9
18760101 18761231   347.3
18770101 18771231   321.0
18780101 18781231   714.4
18790101 18791231   362.7
18800101 18801231   370.7
18810101 18811231   345.8
18820101 18821231   385.5
18830101 18831231   376.7
18840101 18841231   276.7
18850101 18851231   424.0
18860101 18861231   354.3
18870101 18871231   558.1
18880101 18881231   224.7
18890101 18891231   662.5
18900101 18901231   458.6
18910101 18911231   546.0
18920101 18921231   429.6
18930101 18931231   386.1
18940101 18941231   612.0
18950101 18951231   319.8
18960101 18961231   302.9
18970101 18971231   326.2
18980101 18981231   353.4
18990101 18991231   353.6
19000101 19001231   342.8
19010101 19011231   281.1
19020101 19021231   282.6
19030101 19031231   407.8
19040101 19041231   369.3
19050101 19051231   348.1
19060101 19061231   694.6
19070101 19071231   283.8
19080101 19081231   275.7
19090101 19091231   387.0
19100101 19101231   453.8
19110101 19111231   383.5
19120101 19121231   495.6
19130101 19131231   318.8
19140101 19141231   141.2
19150101 19151231   334.7
19160101 19161231   491.6
19170101 19171231   637.7
19180101 19181231   516.6
19190101 19191231   379.3
19200101 19201231   420.4
19210101 19211231   443.4
19220101 19221231   206.4
19230101 19231231   417.0
19240101 19241231   539.8
19250101 19251231   339.5
19260101 19261231   402.5
19270101 19271231   223.3
19280101 19281231   367.6
19290101 19291231   363.6
19300101 19301231   441.0
19310101 19311231   479.2
19320101 19321231   425.3
19330101 19331231   384.5
19340101 19341231   476.0
19350101 19351231   364.3
19360101 19361231   446.2
19370101 19371231   290.6
19380101 19381231   183.4
19390101 19391231   662.8
19400101 19401231   217.3
19410101 19411231   428.7
19420101 19421231   354.1
19430101 19431231   191.4
19440101 19441231   208.3
19450101 19451231   297.0
19460101 19461231   450.6
19470101 19471231   412.5
19480101 19481231   403.5
19490101 19491231   395.4
19500101 19501231   531.4
19510101 19511231   444.2
19520101 19521231   534.8
19530101 19531231   341.4
19540101 19541231   456.0
19550101 19551231   494.8
19560101 19561231   730.4
19570101 19571231   233.8
19580101 19581231   438.5
19590101 19591231   426.7
19600101 19601231   542.9
19610101 19611231   325.7
19620101 19621231   382.5
19630101 19631231   511.3
19640101 19641231   427.3
19650101 19651231   370.1
19660101 19661231   415.4
19670101 19671231   166.8
19680101 19681231   350.5
19690101 19691231   445.6
19700101 19701231   458.4
19710101 19711231   478.6
19720101 19721231   241.0
19730101 19731231   801.3
19740101 19741231   803.9
19750101 19751231   584.1
19760101 19761231   234.2
19770101 19771231   236.1
19780101 19781231   578.6
19790101 19791231   352.4
19800101 19801231   273.0
19810101 19811231   520.8
19820101 19821231   232.8
19830101 19831231   494.2
19840101 19841231   379.2
19850101 19851231   358.0
19860101 19861231   369.6
19870101 19871231   303.0
19880101 19881231   463.6
19890101 19891231   405.8
19900101 19901231   388.0
19910101 19911231   236.6
19920101 19921231   551.6
19930101 19931231   523.0
19940101 19941231   297.4
19950101 19951231   380.6
19960101 19961231   379.0
19970101 19971231   330.0
19980101 19981231   391.9
19990101 19991231   466.0
20000101 20001231   451.8
20010101 20011231   296.8
20020101 20021231   181.4
20030101 20031231   438.0
20040101 20041231   308.2
20050101 20051231   477.4
20060101 20061231   203.8
20070101 20071231   366.2
20080101 20081231   334.6
20090101 20091231   224.3
20100101 20101231   708.6
20110101 20111231   456.8
20120101 20121231   305.6
20130101 20131231   343.0
20140101 20141231   327.7
20150101 20151231 99999.9
20160101 20161231 99999.9
20170101 20171231   387.9
