PRCP       075012 18960101 20171231 missing_value=99999.9 WAKOOL (CALIMO)                           
18960101 18961231   317.4
18970101 18971231   310.3
18980101 18981231   370.4
18990101 18991231   297.2
19000101 19001231   309.1
19010101 19011231   213.3
19020101 19021231   191.6
19030101 19031231   376.2
19040101 19041231   326.0
19050101 19051231   362.1
19060101 19061231   719.3
19070101 19071231   297.5
19080101 19081231   265.4
19090101 19091231   360.3
19100101 19101231   378.9
19110101 19111231   428.7
19120101 19121231   349.2
19130101 19131231   273.6
19140101 19141231   130.6
19150101 19151231   323.1
19160101 19161231   539.3
19170101 19171231   597.1
19180101 19181231   405.1
19190101 19191231   361.9
19200101 19201231   419.3
19210101 19211231   399.2
19220101 19221231   240.7
19230101 19231231   407.9
19240101 19241231   462.4
19250101 19251231   318.8
19260101 19261231   359.2
19270101 19271231   194.0
19280101 19281231   283.8
19290101 19291231   262.8
19300101 19301231   352.9
19310101 19311231   512.3
19320101 19321231   435.8
19330101 19331231   468.7
19340101 19341231   368.7
19350101 19351231   314.2
19360101 19361231   432.1
19370101 19371231   251.0
19380101 19381231   202.2
19390101 19391231   623.9
19400101 19401231   177.8
19410101 19411231   380.9
19420101 19421231   303.2
19430101 19431231   172.7
19440101 19441231   187.0
19450101 19451231   285.3
19460101 19461231   413.4
19470101 19471231   462.5
19480101 19481231   305.7
19490101 19491231   364.3
19500101 19501231   471.7
19510101 19511231   439.0
19520101 19521231   492.1
19530101 19531231   422.1
19540101 19541231   485.4
19550101 19551231   545.4
19560101 19561231   873.5
19570101 19571231   283.3
19580101 19581231   541.1
19590101 19591231   412.0
19600101 19601231   580.9
19610101 19611231   324.2
19620101 19621231   374.8
19630101 19631231   472.8
19640101 19641231   415.5
19650101 19651231   289.1
19660101 19661231   363.0
19670101 19671231   142.1
19680101 19681231   310.4
19690101 19691231   387.2
19700101 19701231   438.1
19710101 19711231   435.8
19720101 19721231   192.4
19730101 19731231   765.8
19740101 19741231   677.5
19750101 19751231   544.9
19760101 19761231   288.0
19770101 19771231   230.2
19780101 19781231   546.6
19790101 19791231   367.7
19800101 19801231   264.5
19810101 19811231   490.0
19820101 19821231   166.7
19830101 19831231   489.6
19840101 19841231   394.6
19850101 19851231   323.5
19860101 19861231   408.7
19870101 19871231   335.1
19880101 19881231   498.7
19890101 19891231   488.6
19900101 19901231   367.6
19910101 19911231   307.7
19920101 19921231   634.1
19930101 19931231   506.5
19940101 19941231   237.2
19950101 19951231   420.6
19960101 19961231   395.4
19970101 19971231   345.2
19980101 19981231   433.2
19990101 19991231   484.5
20000101 20001231   450.4
20010101 20011231   351.6
20020101 20021231   183.1
20030101 20031231   446.2
20040101 20041231   322.2
20050101 20051231   466.0
20060101 20061231   186.1
20070101 20071231   321.5
20080101 20081231   368.2
20090101 20091231   305.8
20100101 20101231   658.5
20110101 20111231   561.8
20120101 20121231   339.2
20130101 20131231   311.8
20140101 20141231   304.8
20150101 20151231   298.9
20160101 20161231   489.5
20170101 20171231   385.6
