PRCP       075050 19100101 20121231 missing_value=99999.9 NARADHAN (URALBA)                         
19100101 19101231   352.6
19110101 19111231   468.5
19120101 19121231   388.9
19130101 19131231   465.4
19140101 19141231   179.9
19150101 19151231   286.9
19160101 19161231   496.7
19170101 19171231   487.2
19180101 19181231   269.5
19190101 19191231   225.4
19200101 19201231   434.2
19210101 19211231   480.9
19220101 19221231   289.3
19230101 19231231   361.9
19240101 19241231   552.5
19250101 19251231   515.4
19260101 19261231   427.1
19270101 19271231   267.8
19280101 19281231   585.5
19290101 19291231   274.8
19300101 19301231   492.5
19310101 19311231   552.2
19320101 19321231   371.5
19330101 19331231   364.2
19340101 19341231   429.7
19350101 19351231   309.3
19360101 19361231   516.6
19370101 19371231   260.8
19380101 19381231   257.4
19390101 19391231   662.2
19400101 19401231   189.6
19410101 19411231   295.9
19420101 19421231   307.9
19430101 19431231   389.1
19440101 19441231   300.8
19450101 19451231   277.4
19460101 19461231   320.7
19470101 19471231   623.1
19480101 19481231   393.1
19490101 19491231   461.4
19500101 19501231   619.9
19510101 19511231   319.7
19520101 19521231   535.4
19530101 19531231   340.1
19540101 19541231   496.6
19550101 19551231   593.6
19560101 19561231   883.1
19570101 19571231   236.6
19580101 19581231   413.2
19590101 19591231   424.1
19600101 19601231   474.3
19610101 19611231   558.8
19620101 19621231   476.5
19630101 19631231   574.2
19640101 19641231   447.8
19650101 19651231   377.2
19660101 19661231   484.7
19670101 19671231   197.2
19680101 19681231   544.9
19690101 19691231   631.1
19700101 19701231   518.9
19710101 19711231   553.2
19720101 19721231   393.1
19730101 19731231   585.5
19740101 19741231   743.3
19750101 19751231   423.7
19760101 19761231   501.2
19770101 19771231   303.0
19780101 19781231   634.0
19790101 19791231   379.3
19800101 19801231   359.4
19810101 19811231   464.4
19820101 19821231   194.2
19830101 19831231   586.5
19840101 19841231   641.8
19850101 19851231   416.0
19860101 19861231   357.9
19870101 19871231   427.1
19880101 19881231   598.8
19890101 19891231   564.4
19900101 19901231   550.1
19910101 19911231   314.1
19920101 19921231   546.9
19930101 19931231   648.8
19940101 19941231   331.6
19950101 19951231   507.6
19960101 19961231   419.4
19970101 19971231   320.9
19980101 19981231   528.6
19990101 19991231   629.2
20000101 20001231   522.9
20010101 20011231   314.4
20020101 20021231   178.8
20030101 20031231   451.7
20040101 20041231   278.2
20050101 20051231   394.2
20060101 20061231   160.9
20070101 20071231   389.1
20080101 20081231   333.6
20090101 20091231   316.5
20100101 20101231   743.6
20110101 20111231   623.2
20120101 20121231   613.4
