PRCP       075056 18780101 20151231 missing_value=99999.9 RAMSAY                                    
18780101 18781231   556.5
18790101 18791231   355.4
18800101 18801231   274.4
18810101 18811231   475.5
18820101 18821231   301.4
18830101 18831231   284.6
18840101 18841231   222.5
18850101 18851231   285.8
18860101 18861231   390.2
18870101 18871231   524.6
18880101 18881231   154.1
18890101 18891231   625.6
18900101 18901231   494.9
18910101 18911231   449.0
18920101 18921231   393.8
18930101 18931231   355.2
18940101 18941231   506.0
18950101 18951231   277.7
18960101 18961231   230.0
18970101 18971231   209.4
18980101 18981231   320.7
18990101 18991231   299.7
19000101 19001231   359.8
19010101 19011231   205.9
19020101 19021231   167.3
19030101 19031231   345.7
19040101 19041231   246.7
19050101 19051231   345.5
19060101 19061231   582.1
19070101 19071231   223.6
19080101 19081231   238.9
19090101 19091231   295.7
19100101 19101231   312.0
19110101 19111231   369.5
19120101 19121231   311.6
19130101 19131231   254.7
19140101 19141231   175.7
19150101 19151231   274.5
19160101 19161231   471.5
19170101 19171231   552.4
19180101 19181231   372.4
19190101 19191231   297.7
19200101 19201231   393.8
19210101 19211231   344.6
19220101 19221231   204.8
19230101 19231231   323.2
19240101 19241231   356.7
19250101 19251231   235.4
19260101 19261231   340.8
19270101 19271231   161.6
19280101 19281231   296.9
19290101 19291231   340.2
19300101 19301231   443.2
19310101 19311231   416.6
19320101 19321231   428.3
19330101 19331231   343.9
19340101 19341231   390.0
19350101 19351231   228.4
19360101 19361231   379.9
19370101 19371231   213.5
19380101 19381231   151.2
19390101 19391231   480.6
19400101 19401231   126.2
19410101 19411231   290.3
19420101 19421231   314.1
19430101 19431231   181.4
19440101 19441231   114.7
19450101 19451231   204.5
19460101 19461231   311.2
19470101 19471231   293.0
19480101 19481231   430.2
19490101 19491231   244.9
19500101 19501231   491.6
19510101 19511231   317.4
19520101 19521231   458.1
19530101 19531231   254.7
19540101 19541231   352.6
19550101 19551231   393.3
19560101 19561231   765.2
19570101 19571231   317.5
19580101 19581231   340.7
19590101 19591231   374.9
19600101 19601231   437.3
19610101 19611231   333.9
19620101 19621231   354.9
19630101 19631231   460.3
19640101 19641231   314.8
19650101 19651231   275.4
19660101 19661231   341.3
19670101 19671231   135.6
19680101 19681231   300.9
19690101 19691231   423.4
19700101 19701231   372.1
19710101 19711231   421.1
19720101 19721231   236.6
19730101 19731231   781.2
19740101 19741231   819.0
19750101 19751231   468.2
19760101 19761231   244.6
19770101 19771231   190.2
19780101 19781231   430.8
19790101 19791231   328.8
19800101 19801231   275.4
19810101 19811231   417.6
19820101 19821231   170.6
19830101 19831231   440.2
19840101 19841231   356.4
19850101 19851231   325.6
19860101 19861231   347.6
19870101 19871231   251.4
19880101 19881231   497.0
19890101 19891231   470.4
19900101 19901231   384.0
19910101 19911231   282.8
19920101 19921231   543.8
19930101 19931231   438.6
19940101 19941231   234.2
19950101 19951231   405.8
19960101 19961231   309.0
19970101 19971231   250.8
19980101 19981231   376.4
19990101 19991231   459.6
20000101 20001231   385.0
20010101 20011231   252.6
20020101 20021231   164.8
20030101 20031231   453.2
20040101 20041231   309.4
20050101 20051231   380.1
20060101 20061231   209.8
20070101 20071231   219.8
20080101 20081231   224.2
20090101 20091231   253.8
20100101 20101231   744.8
20110101 20111231   695.6
20120101 20121231   331.2
20130101 20131231   290.4
20140101 20141231   297.0
20150101 20151231   292.6
