PRCP       076031 19090101 20171231 missing_value=99999.9 MILDURA AIRPORT                           
19090101 19091231   326.9
19100101 19101231   354.9
19110101 19111231   375.8
19120101 19121231   244.6
19130101 19131231   299.6
19140101 19141231   134.4
19150101 19151231   227.0
19160101 19161231   427.6
19170101 19171231   536.5
19180101 19181231   306.3
19190101 19191231   197.0
19200101 19201231   344.7
19210101 19211231   338.9
19220101 19221231   202.4
19230101 19231231   260.3
19240101 19241231   297.0
19250101 19251231   170.9
19260101 19261231   231.0
19270101 19271231   133.0
19280101 19281231   198.1
19290101 19291231   158.5
19300101 19301231   292.6
19310101 19311231   302.7
19320101 19321231   336.8
19330101 19331231   228.9
19340101 19341231   201.1
19350101 19351231   134.0
19360101 19361231   303.7
19370101 19371231   291.7
19380101 19381231   118.2
19390101 19391231   312.4
19400101 19401231   143.8
19410101 19411231   314.7
19420101 19421231   304.5
19430101 19431231   144.4
19440101 19441231    96.3
19450101 19451231   171.0
19460101 19461231   298.0
19470101 19471231   347.3
19480101 19481231   220.8
19490101 19491231   253.7
19500101 19501231   355.5
19510101 19511231   233.9
19520101 19521231   319.4
19530101 19531231   253.0
19540101 19541231   284.8
19550101 19551231   321.1
19560101 19561231   442.2
19570101 19571231   268.5
19580101 19581231   395.7
19590101 19591231   168.8
19600101 19601231   344.3
19610101 19611231   310.4
19620101 19621231   289.7
19630101 19631231   310.2
19640101 19641231   243.6
19650101 19651231   250.4
19660101 19661231   256.0
19670101 19671231   134.9
19680101 19681231   264.1
19690101 19691231   315.4
19700101 19701231   253.4
19710101 19711231   267.1
19720101 19721231   150.4
19730101 19731231   536.4
19740101 19741231   524.6
19750101 19751231   402.0
19760101 19761231   289.4
19770101 19771231   202.1
19780101 19781231   333.4
19790101 19791231   302.8
19800101 19801231   273.2
19810101 19811231   308.0
19820101 19821231   121.6
19830101 19831231   285.4
19840101 19841231   297.0
19850101 19851231   204.0
19860101 19861231   293.2
19870101 19871231   262.6
19880101 19881231   300.6
19890101 19891231   359.0
19900101 19901231   244.6
19910101 19911231   325.6
19920101 19921231   495.8
19930101 19931231   386.2
19940101 19941231   161.6
19950101 19951231   302.8
19960101 19961231   256.4
19970101 19971231   215.6
19980101 19981231   162.8
19990101 19991231   339.0
20000101 20001231   330.2
20010101 20011231   186.8
20020101 20021231   192.2
20030101 20031231   303.8
20040101 20041231   173.2
20050101 20051231   277.8
20060101 20061231   123.2
20070101 20071231   222.8
20080101 20081231   202.0
20090101 20091231   233.0
20100101 20101231   591.2
20110101 20111231   657.4
20120101 20121231   214.6
20130101 20131231   216.4
20140101 20141231   257.2
20150101 20151231   245.2
20160101 20161231   358.6
20170101 20171231   269.6
