PRCP       076063 19130101 20151231 missing_value=99999.9 DANYO                                     
19130101 19131231   372.7
19140101 19141231   199.4
19150101 19151231   319.3
19160101 19161231   471.2
19170101 19171231   510.6
19180101 19181231   255.6
19190101 19191231   359.5
19200101 19201231   414.7
19210101 19211231   502.4
19220101 19221231   341.8
19230101 19231231   445.1
19240101 19241231   447.2
19250101 19251231   274.7
19260101 19261231   339.8
19270101 19271231   219.5
19280101 19281231   318.1
19290101 19291231   203.7
19300101 19301231   385.5
19310101 19311231   328.4
19320101 19321231   425.8
19330101 19331231   320.3
19340101 19341231   305.9
19350101 19351231   264.3
19360101 19361231   527.1
19370101 19371231   338.7
19380101 19381231   231.6
19390101 19391231   271.6
19400101 19401231   243.9
19410101 19411231   375.7
19420101 19421231   339.7
19430101 19431231   275.1
19440101 19441231   169.6
19450101 19451231   260.2
19460101 19461231   342.5
19470101 19471231   340.5
19480101 19481231   254.2
19490101 19491231   225.5
19500101 19501231   352.9
19510101 19511231   260.4
19520101 19521231   338.3
19530101 19531231   234.8
19540101 19541231   332.1
19550101 19551231   446.6
19560101 19561231   447.9
19570101 19571231   142.4
19580101 19581231   247.1
19590101 19591231   193.3
19600101 19601231   346.3
19610101 19611231   343.4
19620101 19621231   283.0
19630101 19631231   375.0
19640101 19641231   329.0
19650101 19651231   242.7
19660101 19661231   362.9
19670101 19671231   137.8
19680101 19681231   348.5
19690101 19691231   357.6
19700101 19701231   308.4
19710101 19711231   327.6
19720101 19721231   188.0
19730101 19731231   536.0
19740101 19741231   475.5
19750101 19751231   301.8
19760101 19761231   256.3
19770101 19771231   158.4
19780101 19781231   407.0
19790101 19791231   386.6
19800101 19801231   206.6
19810101 19811231   332.3
19820101 19821231   117.7
19830101 19831231   370.3
19840101 19841231   247.2
19850101 19851231   236.4
19860101 19861231   274.9
19870101 19871231   348.1
19880101 19881231   284.6
19890101 19891231   210.9
19900101 19901231   222.7
19910101 19911231   249.5
19920101 19921231   453.3
19930101 19931231   333.0
19940101 19941231   147.2
19950101 19951231   334.5
19960101 19961231   307.7
19970101 19971231   230.9
19980101 19981231   324.7
19990101 19991231   276.0
20000101 20001231   440.1
20010101 20011231   206.8
20020101 20021231   175.2
20030101 20031231   310.2
20040101 20041231   240.4
20050101 20051231   303.7
20060101 20061231   149.6
20070101 20071231   294.6
20080101 20081231   225.2
20090101 20091231   339.5
20100101 20101231   403.2
20110101 20111231   374.3
20120101 20121231   175.6
20130101 20131231   223.4
20140101 20141231 99999.9
20150101 20151231   217.0
