PRCP       077039 19100101 20171231 missing_value=99999.9 SEA LAKE (POST OFFICE)                    
19100101 19101231   423.7
19110101 19111231   460.8
19120101 19121231   327.6
19130101 19131231   316.0
19140101 19141231   145.5
19150101 19151231   251.6
19160101 19161231   418.7
19170101 19171231   470.6
19180101 19181231   310.1
19190101 19191231   246.4
19200101 19201231   337.3
19210101 19211231   426.0
19220101 19221231   259.3
19230101 19231231   332.9
19240101 19241231   422.7
19250101 19251231   241.4
19260101 19261231   336.7
19270101 19271231   160.9
19280101 19281231   321.7
19290101 19291231   274.8
19300101 19301231   314.0
19310101 19311231   363.4
19320101 19321231   347.3
19330101 19331231   338.6
19340101 19341231   364.9
19350101 19351231   266.5
19360101 19361231   345.1
19370101 19371231   356.5
19380101 19381231   157.8
19390101 19391231   383.5
19400101 19401231   169.4
19410101 19411231   273.6
19420101 19421231   333.2
19430101 19431231   211.1
19440101 19441231   181.0
19450101 19451231   279.8
19460101 19461231   334.1
19470101 19471231   402.6
19480101 19481231   272.1
19490101 19491231   342.1
19500101 19501231   444.9
19510101 19511231   328.1
19520101 19521231   425.3
19530101 19531231   265.0
19540101 19541231   349.6
19550101 19551231   529.5
19560101 19561231   565.0
19570101 19571231   293.2
19580101 19581231   450.0
19590101 19591231   248.5
19600101 19601231   494.4
19610101 19611231   436.2
19620101 19621231   296.2
19630101 19631231   467.6
19640101 19641231   433.5
19650101 19651231   339.0
19660101 19661231   302.4
19670101 19671231   131.7
19680101 19681231   338.6
19690101 19691231   518.8
19700101 19701231   311.9
19710101 19711231   409.8
19720101 19721231   324.9
19730101 19731231   668.5
19740101 19741231   473.3
19750101 19751231   404.8
19760101 19761231   263.9
19770101 19771231   284.6
19780101 19781231   462.8
19790101 19791231   391.8
19800101 19801231   287.7
19810101 19811231   297.8
19820101 19821231   120.8
19830101 19831231   335.7
19840101 19841231   272.8
19850101 19851231   281.4
19860101 19861231   379.6
19870101 19871231   311.5
19880101 19881231   328.7
19890101 19891231   425.9
19900101 19901231   283.8
19910101 19911231   253.8
19920101 19921231   569.4
19930101 19931231   325.6
19940101 19941231   146.8
19950101 19951231   361.4
19960101 19961231 99999.9
19970101 19971231   220.2
19980101 19981231   275.0
19990101 19991231   359.3
20000101 20001231   374.4
20010101 20011231   228.2
20020101 20021231   174.9
20030101 20031231   310.4
20040101 20041231   358.0
20050101 20051231   302.8
20060101 20061231   198.4
20070101 20071231   286.6
20080101 20081231   283.6
20090101 20091231   334.4
20100101 20101231   605.6
20110101 20111231   434.6
20120101 20121231   233.2
20130101 20131231   262.0
20140101 20141231   266.2
20150101 20151231   204.6
20160101 20161231   427.1
20170101 20171231   312.7
