PRCP       078043 18980101 20171231 missing_value=99999.9 YANAC NORTH                               
18980101 18981231   390.0
18990101 18991231   359.6
19000101 19001231   395.3
19010101 19011231   385.1
19020101 19021231   314.5
19030101 19031231   489.5
19040101 19041231   371.2
19050101 19051231   437.9
19060101 19061231   519.8
19070101 19071231   396.4
19080101 19081231   457.9
19090101 19091231   589.3
19100101 19101231   741.7
19110101 19111231   406.2
19120101 19121231   487.1
19130101 19131231   455.3
19140101 19141231   233.3
19150101 19151231   433.9
19160101 19161231   476.5
19170101 19171231   424.3
19180101 19181231   303.6
19190101 19191231   277.2
19200101 19201231   330.9
19210101 19211231   352.2
19220101 19221231   367.2
19230101 19231231   443.2
19240101 19241231   413.3
19250101 19251231   311.1
19260101 19261231   279.8
19270101 19271231   282.2
19280101 19281231   400.1
19290101 19291231   362.5
19300101 19301231   478.5
19310101 19311231   358.0
19320101 19321231   433.7
19330101 19331231   539.5
19340101 19341231   347.7
19350101 19351231   361.9
19360101 19361231   459.9
19370101 19371231   381.6
19380101 19381231   276.2
19390101 19391231   382.4
19400101 19401231   306.0
19410101 19411231   507.2
19420101 19421231   527.5
19430101 19431231   331.1
19440101 19441231   214.7
19450101 19451231   310.4
19460101 19461231   495.0
19470101 19471231   573.9
19480101 19481231   428.4
19490101 19491231   330.8
19500101 19501231   418.6
19510101 19511231   427.7
19520101 19521231   448.5
19530101 19531231   458.5
19540101 19541231   427.4
19550101 19551231   499.9
19560101 19561231   561.1
19570101 19571231   265.4
19580101 19581231   339.6
19590101 19591231   259.2
19600101 19601231   477.4
19610101 19611231   376.8
19620101 19621231   342.4
19630101 19631231   369.1
19640101 19641231   515.5
19650101 19651231   244.7
19660101 19661231   311.8
19670101 19671231   159.0
19680101 19681231   386.2
19690101 19691231   356.3
19700101 19701231   443.6
19710101 19711231   440.2
19720101 19721231   283.5
19730101 19731231   764.5
19740101 19741231   725.0
19750101 19751231   435.4
19760101 19761231   310.7
19770101 19771231   264.4
19780101 19781231   434.0
19790101 19791231   504.2
19800101 19801231   394.6
19810101 19811231   463.4
19820101 19821231   186.6
19830101 19831231   463.4
19840101 19841231   361.6
19850101 19851231   358.8
19860101 19861231   422.6
19870101 19871231   372.0
19880101 19881231   514.3
19890101 19891231   393.4
19900101 19901231   299.6
19910101 19911231   430.6
19920101 19921231   581.6
19930101 19931231   438.4
19940101 19941231   210.2
19950101 19951231   444.0
19960101 19961231   384.8
19970101 19971231   311.1
19980101 19981231   359.6
19990101 19991231   435.6
20000101 20001231   418.0
20010101 20011231   401.6
20020101 20021231   306.2
20030101 20031231   501.6
20040101 20041231   355.2
20050101 20051231   340.8
20060101 20061231   193.4
20070101 20071231   405.4
20080101 20081231   283.0
20090101 20091231   380.6
20100101 20101231   511.6
20110101 20111231   470.2
20120101 20121231   301.0
20130101 20131231   382.0
20140101 20141231   277.8
20150101 20151231   284.2
20160101 20161231   521.0
20170101 20171231   437.0
