PRCP       078078 18830101 20171231 missing_value=99999.9 KANIVA                                    
18830101 18831231   656.9
18840101 18841231   610.6
18850101 18851231   485.9
18860101 18861231   517.3
18870101 18871231   629.5
18880101 18881231   379.8
18890101 18891231   789.0
18900101 18901231   639.7
18910101 18911231   395.6
18920101 18921231   462.4
18930101 18931231   502.9
18940101 18941231   488.4
18950101 18951231   389.7
18960101 18961231   372.6
18970101 18971231   269.9
18980101 18981231   386.8
18990101 18991231   344.7
19000101 19001231   472.4
19010101 19011231   372.6
19020101 19021231   326.9
19030101 19031231   405.6
19040101 19041231   292.9
19050101 19051231   396.8
19060101 19061231   464.5
19070101 19071231   429.6
19080101 19081231   415.1
19090101 19091231   467.0
19100101 19101231   549.8
19110101 19111231   350.6
19120101 19121231   382.7
19130101 19131231   396.6
19140101 19141231   230.2
19150101 19151231   461.1
19160101 19161231   591.4
19170101 19171231   554.0
19180101 19181231   431.7
19190101 19191231   405.5
19200101 19201231   468.5
19210101 19211231   513.4
19220101 19221231   483.4
19230101 19231231   543.6
19240101 19241231   458.9
19250101 19251231   373.4
19260101 19261231   414.3
19270101 19271231   406.8
19280101 19281231   433.5
19290101 19291231   429.0
19300101 19301231   485.2
19310101 19311231   385.3
19320101 19321231   468.5
19330101 19331231   416.7
19340101 19341231   428.6
19350101 19351231   496.7
19360101 19361231   583.2
19370101 19371231   468.0
19380101 19381231   304.5
19390101 19391231   478.7
19400101 19401231   363.9
19410101 19411231   546.8
19420101 19421231   555.3
19430101 19431231   436.3
19440101 19441231   252.1
19450101 19451231   378.5
19460101 19461231   616.6
19470101 19471231   672.2
19480101 19481231   528.8
19490101 19491231   386.9
19500101 19501231   422.3
19510101 19511231   531.4
19520101 19521231   535.8
19530101 19531231   513.0
19540101 19541231   387.4
19550101 19551231   600.8
19560101 19561231   569.2
19570101 19571231   363.7
19580101 19581231   488.3
19590101 19591231   313.5
19600101 19601231   589.6
19610101 19611231   454.2
19620101 19621231   492.9
19630101 19631231   417.0
19640101 19641231   616.2
19650101 19651231   324.3
19660101 19661231   382.0
19670101 19671231   229.5
19680101 19681231   513.8
19690101 19691231   413.5
19700101 19701231   507.3
19710101 19711231   526.6
19720101 19721231   346.7
19730101 19731231   704.7
19740101 19741231   719.4
19750101 19751231   524.1
19760101 19761231   389.0
19770101 19771231   320.8
19780101 19781231   462.8
19790101 19791231   550.0
19800101 19801231   427.4
19810101 19811231   544.8
19820101 19821231   231.4
19830101 19831231   537.0
19840101 19841231   449.6
19850101 19851231   392.6
19860101 19861231   506.8
19870101 19871231   447.2
19880101 19881231   541.2
19890101 19891231   443.2
19900101 19901231   431.0
19910101 19911231   510.8
19920101 19921231   612.8
19930101 19931231 99999.9
19940101 19941231   286.6
19950101 19951231   428.8
19960101 19961231   467.6
19970101 19971231   312.4
19980101 19981231   415.8
19990101 19991231   421.2
20000101 20001231   473.4
20010101 20011231   418.6
20020101 20021231   290.4
20030101 20031231   485.4
20040101 20041231   334.6
20050101 20051231   391.2
20060101 20061231   187.2
20070101 20071231   472.6
20080101 20081231   298.2
20090101 20091231   389.8
20100101 20101231 99999.9
20110101 20111231   491.8
20120101 20121231   413.4
20130101 20131231   423.7
20140101 20141231   272.2
20150101 20151231   292.4
20160101 20161231   577.8
20170101 20171231   460.4
