PRCP       079010 19060101 20121231 missing_value=99999.9 DRUNG DRUNG                               
19060101 19061231   581.1
19070101 19071231   424.1
19080101 19081231   417.3
19090101 19091231   501.2
19100101 19101231   520.4
19110101 19111231   469.3
19120101 19121231   438.9
19130101 19131231   387.6
19140101 19141231   259.8
19150101 19151231   495.4
19160101 19161231   558.1
19170101 19171231   446.9
19180101 19181231   410.6
19190101 19191231   291.6
19200101 19201231   439.1
19210101 19211231   516.3
19220101 19221231   429.1
19230101 19231231   429.0
19240101 19241231   547.9
19250101 19251231   320.4
19260101 19261231   384.8
19270101 19271231   265.8
19280101 19281231   393.2
19290101 19291231   383.2
19300101 19301231   511.3
19310101 19311231   446.5
19320101 19321231   383.1
19330101 19331231   465.3
19340101 19341231   370.8
19350101 19351231   364.3
19360101 19361231   445.9
19370101 19371231   383.7
19380101 19381231   256.1
19390101 19391231   523.0
19400101 19401231   256.6
19410101 19411231   526.7
19420101 19421231   553.9
19430101 19431231   326.3
19440101 19441231   255.5
19450101 19451231   384.6
19460101 19461231   542.5
19470101 19471231   598.6
19480101 19481231   471.2
19490101 19491231   399.3
19500101 19501231   448.9
19510101 19511231   466.0
19520101 19521231   578.9
19530101 19531231   501.9
19540101 19541231   450.9
19550101 19551231   619.0
19560101 19561231   607.6
19570101 19571231   403.3
19580101 19581231   443.2
19590101 19591231   394.8
19600101 19601231   666.3
19610101 19611231   395.3
19620101 19621231   370.0
19630101 19631231   415.1
19640101 19641231   590.0
19650101 19651231   340.2
19660101 19661231   370.4
19670101 19671231   226.2
19680101 19681231   435.0
19690101 19691231   409.0
19700101 19701231   449.1
19710101 19711231   560.9
19720101 19721231   360.9
19730101 19731231   807.2
19740101 19741231   712.1
19750101 19751231   541.4
19760101 19761231   381.5
19770101 19771231   326.8
19780101 19781231   444.2
19790101 19791231   545.4
19800101 19801231   470.6
19810101 19811231   503.2
19820101 19821231   198.8
19830101 19831231   576.6
19840101 19841231   485.6
19850101 19851231   346.9
19860101 19861231   455.8
19870101 19871231   443.2
19880101 19881231   522.2
19890101 19891231   439.7
19900101 19901231   333.0
19910101 19911231   467.6
19920101 19921231   654.4
19930101 19931231   578.4
19940101 19941231   262.6
19950101 19951231   459.0
19960101 19961231   484.8
19970101 19971231   376.0
19980101 19981231   393.4
19990101 19991231 99999.9
20000101 20001231   408.8
20010101 20011231   415.4
20020101 20021231   262.2
20030101 20031231   442.0
20040101 20041231   340.6
20050101 20051231   411.8
20060101 20061231   223.0
20070101 20071231   401.6
20080101 20081231   325.6
20090101 20091231   444.4
20100101 20101231   642.4
20110101 20111231   548.0
20120101 20121231   350.8
