PRCP       082001 18760101 20171231 missing_value=99999.9 BEECHWORTH COMPOSITE                      
18760101 18761231   843.5
18770101 18771231   671.7
18780101 18781231  1028.4
18790101 18791231   793.8
18800101 18801231   845.7
18810101 18811231   722.1
18820101 18821231   738.2
18830101 18831231   711.6
18840101 18841231   590.6
18850101 18851231   717.1
18860101 18861231   806.7
18870101 18871231  1139.0
18880101 18881231   689.7
18890101 18891231  1166.0
18900101 18901231   943.4
18910101 18911231   757.5
18920101 18921231   798.2
18930101 18931231  1043.7
18940101 18941231  1152.5
18950101 18951231   691.3
18960101 18961231   788.7
18970101 18971231   672.6
18980101 18981231   781.9
18990101 18991231   750.7
19000101 19001231   825.1
19010101 19011231   621.0
19020101 19021231   493.9
19030101 19031231   860.2
19040101 19041231  1006.6
19050101 19051231   918.5
19060101 19061231  1224.3
19070101 19071231   713.3
19080101 19081231   793.6
19090101 19091231  1147.5
19100101 19101231   939.8
19110101 19111231  1012.3
19120101 19121231   930.9
19130101 19131231   792.8
19140101 19141231   514.8
19150101 19151231   959.9
19160101 19161231  1343.9
19170101 19171231  1828.3
19180101 19181231  1112.4
19190101 19191231   759.8
19200101 19201231  1058.6
19210101 19211231  1155.2
19220101 19221231   762.1
19230101 19231231  1017.8
19240101 19241231  1165.6
19250101 19251231   766.7
19260101 19261231  1066.2
19270101 19271231   702.8
19280101 19281231  1053.7
19290101 19291231   786.3
19300101 19301231   965.9
19310101 19311231  1394.9
19320101 19321231  1037.6
19330101 19331231   966.7
19340101 19341231  1330.8
19350101 19351231  1001.8
19360101 19361231  1009.4
19370101 19371231   712.5
19380101 19381231   529.1
19390101 19391231  1630.6
19400101 19401231   569.8
19410101 19411231   775.5
19420101 19421231  1129.4
19430101 19431231   759.3
19440101 19441231   541.4
19450101 19451231   725.1
19460101 19461231  1137.2
19470101 19471231  1088.9
19480101 19481231   904.5
19490101 19491231   922.4
19500101 19501231   861.8
19510101 19511231  1101.0
19520101 19521231  1282.0
19530101 19531231  1012.2
19540101 19541231   928.7
19550101 19551231  1219.0
19560101 19561231  1520.9
19570101 19571231   785.3
19580101 19581231  1087.5
19590101 19591231   720.9
19600101 19601231  1142.6
19610101 19611231   765.3
19620101 19621231   974.1
19630101 19631231   991.9
19640101 19641231  1098.3
19650101 19651231   698.4
19660101 19661231  1143.7
19670101 19671231   477.9
19680101 19681231  1197.5
19690101 19691231  1050.2
19700101 19701231  1114.0
19710101 19711231  1100.1
19720101 19721231   631.4
19730101 19731231  1535.4
19740101 19741231  1346.2
19750101 19751231  1157.0
19760101 19761231   752.8
19770101 19771231   723.9
19780101 19781231  1182.9
19790101 19791231   998.6
19800101 19801231   935.0
19810101 19811231  1342.3
19820101 19821231   471.2
19830101 19831231  1225.9
19840101 19841231   963.8
19850101 19851231  1040.8
19860101 19861231  1029.3
19870101 19871231 99999.9
19880101 19881231  1262.4
19890101 19891231  1197.6
19900101 19901231  1231.8
19910101 19911231   975.6
19920101 19921231  1437.0
19930101 19931231  1248.8
19940101 19941231   827.4
19950101 19951231  1183.0
19960101 19961231  1312.8
19970101 19971231   652.8
19980101 19981231   981.4
19990101 19991231  1052.6
20000101 20001231  1146.6
20010101 20011231   820.0
20020101 20021231   647.6
20030101 20031231  1040.8
20040101 20041231   965.4
20050101 20051231  1215.6
20060101 20061231   413.2
20070101 20071231   777.8
20080101 20081231   787.4
20090101 20091231   755.0
20100101 20101231  1443.6
20110101 20111231  1240.2
20120101 20121231  1023.4
20130101 20131231   830.6
20140101 20141231   947.4
20150101 20151231   964.6
20160101 20161231  1429.6
20170101 20171231   978.0
