PRCP       082068 19090101 20171231 missing_value=99999.9 MITTA MITTA FORESTRY                      
19090101 19091231  1161.3
19100101 19101231   958.5
19110101 19111231  1032.8
19120101 19121231  1097.2
19130101 19131231   876.1
19140101 19141231   535.1
19150101 19151231  1128.8
19160101 19161231  1460.4
19170101 19171231  1785.4
19180101 19181231  1296.4
19190101 19191231   718.8
19200101 19201231  1064.6
19210101 19211231  1203.8
19220101 19221231   674.3
19230101 19231231  1067.5
19240101 19241231  1006.3
19250101 19251231   837.8
19260101 19261231  1092.2
19270101 19271231   727.4
19280101 19281231  1109.8
19290101 19291231   731.4
19300101 19301231  1120.3
19310101 19311231  1210.1
19320101 19321231  1069.2
19330101 19331231   998.9
19340101 19341231  1216.0
19350101 19351231   970.1
19360101 19361231   987.6
19370101 19371231   645.9
19380101 19381231   592.1
19390101 19391231  1488.0
19400101 19401231   553.1
19410101 19411231  1018.2
19420101 19421231  1107.7
19430101 19431231   643.5
19440101 19441231   479.3
19450101 19451231   741.3
19460101 19461231  1030.7
19470101 19471231  1218.3
19480101 19481231   899.1
19490101 19491231   889.9
19500101 19501231  1057.3
19510101 19511231  1056.9
19520101 19521231  1291.3
19530101 19531231  1109.9
19540101 19541231  1080.4
19550101 19551231  1553.2
19560101 19561231  1733.3
19570101 19571231   798.4
19580101 19581231  1253.3
19590101 19591231   909.8
19600101 19601231  1290.3
19610101 19611231   937.3
19620101 19621231  1068.5
19630101 19631231   968.5
19640101 19641231  1350.8
19650101 19651231   775.7
19660101 19661231  1203.1
19670101 19671231   521.6
19680101 19681231  1095.3
19690101 19691231  1002.1
19700101 19701231  1223.3
19710101 19711231  1136.4
19720101 19721231   641.8
19730101 19731231  1532.4
19740101 19741231  1443.1
19750101 19751231  1324.6
19760101 19761231   723.7
19770101 19771231   765.9
19780101 19781231  1276.2
19790101 19791231   853.2
19800101 19801231  1006.0
19810101 19811231  1245.7
19820101 19821231   489.9
19830101 19831231  1243.1
19840101 19841231   989.7
19850101 19851231   916.4
19860101 19861231  1044.5
19870101 19871231   939.4
19880101 19881231  1104.6
19890101 19891231  1083.8
19900101 19901231  1109.5
19910101 19911231   984.4
19920101 19921231  1327.4
19930101 19931231  1358.6
19940101 19941231   827.4
19950101 19951231  1259.6
19960101 19961231  1222.0
19970101 19971231   665.8
19980101 19981231   973.0
19990101 19991231  1144.2
20000101 20001231  1304.8
20010101 20011231   950.8
20020101 20021231   687.0
20030101 20031231  1006.6
20040101 20041231   899.4
20050101 20051231  1092.8
20060101 20061231   407.4
20070101 20071231   766.0
20080101 20081231   765.0
20090101 20091231   793.4
20100101 20101231  1406.8
20110101 20111231  1182.2
20120101 20121231  1062.9
20130101 20131231   930.8
20140101 20141231   963.2
20150101 20151231   833.6
20160101 20161231  1470.4
20170101 20171231  1024.3
