PRCP       083032 18900101 20151231 missing_value=99999.9 WHITLANDS (BURDER'S LANE)                 
18900101 18901231  1884.4
18910101 18911231  1523.3
18920101 18921231  1495.6
18930101 18931231  1809.5
18940101 18941231  2074.0
18950101 18951231  1299.6
18960101 18961231  1304.0
18970101 18971231  1389.5
18980101 18981231  1449.4
18990101 18991231  1332.9
19000101 19001231  1425.6
19010101 19011231  1301.4
19020101 19021231   978.7
19030101 19031231  1643.9
19040101 19041231  1519.8
19050101 19051231  1356.5
19060101 19061231  1807.7
19070101 19071231  1295.2
19080101 19081231  1262.6
19090101 19091231  1672.6
19100101 19101231  1336.1
19110101 19111231  1476.2
19120101 19121231  1290.0
19130101 19131231  1291.1
19140101 19141231   867.5
19150101 19151231  1379.9
19160101 19161231  1832.3
19170101 19171231  2137.5
19180101 19181231  1774.9
19190101 19191231  1018.6
19200101 19201231  1202.3
19210101 19211231  1497.5
19220101 19221231  1060.6
19230101 19231231  1417.6
19240101 19241231  1778.0
19250101 19251231  1183.4
19260101 19261231  1362.3
19270101 19271231  1008.1
19280101 19281231  1668.0
19290101 19291231  1053.3
19300101 19301231  1343.5
19310101 19311231  1611.9
19320101 19321231  1510.2
19330101 19331231  1341.0
19340101 19341231  1574.3
19350101 19351231  1523.2
19360101 19361231  1325.1
19370101 19371231  1087.9
19380101 19381231   789.2
19390101 19391231  1984.7
19400101 19401231  1121.7
19410101 19411231  1643.5
19420101 19421231  1978.8
19430101 19431231  1106.5
19440101 19441231   988.7
19450101 19451231  1447.5
19460101 19461231  1465.6
19470101 19471231  1789.2
19480101 19481231  1440.5
19490101 19491231  1597.7
19500101 19501231  1529.4
19510101 19511231  1403.4
19520101 19521231  1559.3
19530101 19531231  1351.7
19540101 19541231  1223.6
19550101 19551231  1850.8
19560101 19561231  2197.7
19570101 19571231  1047.6
19580101 19581231  1580.4
19590101 19591231  1109.1
19600101 19601231  1585.4
19610101 19611231  1005.0
19620101 19621231  1373.5
19630101 19631231   524.2
19640101 19641231  1361.1
19650101 19651231  1136.1
19660101 19661231  1708.9
19670101 19671231   689.8
19680101 19681231  1759.5
19690101 19691231  1184.3
19700101 19701231  1334.6
19710101 19711231  1408.5
19720101 19721231   827.3
19730101 19731231  2204.1
19740101 19741231  2160.4
19750101 19751231  1906.8
19760101 19761231   953.0
19770101 19771231   858.0
19780101 19781231  1670.4
19790101 19791231  1326.4
19800101 19801231  1306.6
19810101 19811231  1989.6
19820101 19821231   614.9
19830101 19831231  1670.0
19840101 19841231  1400.8
19850101 19851231  1189.4
19860101 19861231  1669.4
19870101 19871231  1249.6
19880101 19881231  1619.2
19890101 19891231  1598.2
19900101 19901231  1385.4
19910101 19911231  1209.6
19920101 19921231  1755.6
19930101 19931231  1789.4
19940101 19941231   905.0
19950101 19951231  1509.8
19960101 19961231  1765.2
19970101 19971231   865.0
19980101 19981231  1435.0
19990101 19991231  1362.0
20000101 20001231  1593.2
20010101 20011231  1135.8
20020101 20021231   905.4
20030101 20031231  1499.2
20040101 20041231  1172.2
20050101 20051231  1614.0
20060101 20061231   521.4
20070101 20071231  1144.8
20080101 20081231  1035.2
20090101 20091231  1035.4
20100101 20101231  2219.6
20110101 20111231  1525.6
20120101 20121231  1336.8
20130101 20131231  1232.6
20140101 20141231  1238.2
20150101 20151231   956.6
