PRCP       084016 18710101 20171231 missing_value=99999.9 GABO ISLAND LIGHTHOUSE                    
18710101 18711231  1047.2
18720101 18721231   936.1
18730101 18731231  1155.9
18740101 18741231  1135.2
18750101 18751231   930.4
18760101 18761231   835.7
18770101 18771231   769.2
18780101 18781231   508.4
18790101 18791231  1319.9
18800101 18801231  1312.5
18810101 18811231   932.3
18820101 18821231   875.9
18830101 18831231   842.5
18840101 18841231   830.6
18850101 18851231   622.4
18860101 18861231  1008.4
18870101 18871231  1157.8
18880101 18881231   801.6
18890101 18891231  1092.0
18900101 18901231  1088.0
18910101 18911231  1217.8
18920101 18921231  1074.0
18930101 18931231  1306.7
18940101 18941231   928.3
18950101 18951231   727.4
18960101 18961231  1225.3
18970101 18971231   786.6
18980101 18981231   712.5
18990101 18991231  1022.3
19000101 19001231  1040.5
19010101 19011231   687.6
19020101 19021231   863.4
19030101 19031231   891.2
19040101 19041231   790.9
19050101 19051231  1038.2
19060101 19061231   760.4
19070101 19071231   748.0
19080101 19081231   812.0
19090101 19091231   981.6
19100101 19101231  1033.0
19110101 19111231  1456.7
19120101 19121231   965.5
19130101 19131231  1429.9
19140101 19141231   882.1
19150101 19151231   782.5
19160101 19161231  1109.4
19170101 19171231   745.1
19180101 19181231  1037.7
19190101 19191231  1091.7
19200101 19201231   896.9
19210101 19211231   813.9
19220101 19221231   856.3
19230101 19231231   666.0
19240101 19241231   819.8
19250101 19251231   856.7
19260101 19261231   865.5
19270101 19271231   875.5
19280101 19281231   698.7
19290101 19291231   912.4
19300101 19301231   801.1
19310101 19311231   793.2
19320101 19321231   897.1
19330101 19331231   849.4
19340101 19341231  1282.7
19350101 19351231  1035.1
19360101 19361231   907.5
19370101 19371231  1034.4
19380101 19381231   900.6
19390101 19391231   952.9
19400101 19401231   714.9
19410101 19411231   792.9
19420101 19421231   742.9
19430101 19431231   760.9
19440101 19441231   731.6
19450101 19451231   671.3
19460101 19461231  1148.3
19470101 19471231   863.9
19480101 19481231   857.3
19490101 19491231  1242.7
19500101 19501231  1537.0
19510101 19511231  1089.6
19520101 19521231  1299.9
19530101 19531231   772.8
19540101 19541231   811.8
19550101 19551231   585.9
19560101 19561231  1305.1
19570101 19571231   721.3
19580101 19581231   778.4
19590101 19591231  1099.8
19600101 19601231   990.9
19610101 19611231  1376.7
19620101 19621231   906.3
19630101 19631231  1278.6
19640101 19641231   745.2
19650101 19651231   707.1
19660101 19661231  1118.2
19670101 19671231   693.9
19680101 19681231   945.0
19690101 19691231   942.6
19700101 19701231  1232.2
19710101 19711231   766.9
19720101 19721231   658.5
19730101 19731231   722.7
19740101 19741231  1232.5
19750101 19751231  1052.5
19760101 19761231  1173.3
19770101 19771231   722.8
19780101 19781231  1503.2
19790101 19791231   630.0
19800101 19801231   743.5
19810101 19811231   886.5
19820101 19821231   584.1
19830101 19831231   846.3
19840101 19841231  1010.2
19850101 19851231  1474.0
19860101 19861231   650.5
19870101 19871231   782.1
19880101 19881231  1193.9
19890101 19891231  1371.3
19900101 19901231  1014.8
19910101 19911231  1084.6
19920101 19921231  1090.9
19930101 19931231   867.0
19940101 19941231 99999.9
19950101 19951231  1226.1
19960101 19961231 99999.9
19970101 19971231   741.0
19980101 19981231   876.9
19990101 19991231   975.4
20000101 20001231   843.0
20010101 20011231   862.4
20020101 20021231   955.4
20030101 20031231   772.4
20040101 20041231   771.1
20050101 20051231   866.6
20060101 20061231   713.7
20070101 20071231  1047.8
20080101 20081231   795.4
20090101 20091231   562.1
20100101 20101231   809.2
20110101 20111231   844.3
20120101 20121231  1000.0
20130101 20131231   802.6
20140101 20141231   931.2
20150101 20151231   790.2
20160101 20161231  1028.4
20170101 20171231   674.2
