PRCP       084030 18840101 20101231 missing_value=99999.9 ORBOST (COMPARISON)                       
18840101 18841231   743.0
18850101 18851231   735.2
18860101 18861231  1159.1
18870101 18871231   957.7
18880101 18881231   584.2
18890101 18891231   708.3
18900101 18901231   964.7
18910101 18911231   983.1
18920101 18921231   859.9
18930101 18931231  1172.3
18940101 18941231   654.0
18950101 18951231   570.7
18960101 18961231  1227.4
18970101 18971231  1047.9
18980101 18981231   559.7
18990101 18991231  1005.1
19000101 19001231   665.3
19010101 19011231   691.9
19020101 19021231   852.5
19030101 19031231   784.0
19040101 19041231   606.0
19050101 19051231   992.3
19060101 19061231   762.9
19070101 19071231   470.5
19080101 19081231   758.5
19090101 19091231   811.9
19100101 19101231   709.3
19110101 19111231  1099.3
19120101 19121231   630.6
19130101 19131231   847.6
19140101 19141231   715.5
19150101 19151231   565.1
19160101 19161231   856.8
19170101 19171231   700.7
19180101 19181231   837.5
19190101 19191231  1127.1
19200101 19201231   897.3
19210101 19211231   564.1
19220101 19221231   723.3
19230101 19231231   690.5
19240101 19241231   835.7
19250101 19251231   890.5
19260101 19261231   723.2
19270101 19271231   759.8
19280101 19281231   831.1
19290101 19291231   656.0
19300101 19301231   713.3
19310101 19311231   845.7
19320101 19321231   779.3
19330101 19331231   792.9
19340101 19341231  1264.9
19350101 19351231  1301.5
19360101 19361231   958.0
19370101 19371231   616.7
19380101 19381231   931.0
19390101 19391231   677.2
19400101 19401231   664.6
19410101 19411231   904.8
19420101 19421231   847.2
19430101 19431231   756.1
19440101 19441231   618.1
19450101 19451231   852.7
19460101 19461231   879.1
19470101 19471231   721.7
19480101 19481231   816.6
19490101 19491231  1268.3
19500101 19501231  1035.8
19510101 19511231  1017.2
19520101 19521231  1173.7
19530101 19531231   765.4
19540101 19541231   984.5
19550101 19551231   819.5
19560101 19561231  1033.4
19570101 19571231   733.5
19580101 19581231   728.6
19590101 19591231   906.1
19600101 19601231   961.0
19610101 19611231  1078.9
19620101 19621231   879.1
19630101 19631231   904.7
19640101 19641231   789.7
19650101 19651231   620.1
19660101 19661231  1256.3
19670101 19671231   574.5
19680101 19681231   744.8
19690101 19691231   939.4
19700101 19701231  1178.7
19710101 19711231   762.8
19720101 19721231   569.2
19730101 19731231   894.5
19740101 19741231  1290.6
19750101 19751231   983.8
19760101 19761231   790.9
19770101 19771231   844.0
19780101 19781231  1558.8
19790101 19791231   519.3
19800101 19801231   788.4
19810101 19811231   972.0
19820101 19821231   715.3
19830101 19831231   919.2
19840101 19841231   975.0
19850101 19851231  1074.8
19860101 19861231   557.8
19870101 19871231   726.8
19880101 19881231   991.9
19890101 19891231   941.6
19900101 19901231   868.8
19910101 19911231   824.2
19920101 19921231  1023.6
19930101 19931231   974.5
19940101 19941231   753.8
19950101 19951231  1018.1
19960101 19961231   869.4
19970101 19971231   650.2
19980101 19981231  1003.6
19990101 19991231   699.8
20000101 20001231   861.4
20010101 20011231   947.7
20020101 20021231   807.0
20030101 20031231   558.6
20040101 20041231   711.8
20050101 20051231   889.8
20060101 20061231   680.4
20070101 20071231   934.6
20080101 20081231   690.9
20090101 20091231   559.4
20100101 20101231   828.2
