PRCP       085096 18730101 20171231 missing_value=99999.9 WILSONS PROMONTORY LIGHTHOUSE             
18730101 18731231  1100.8
18740101 18741231  1064.9
18750101 18751231  1244.8
18760101 18761231  1094.5
18770101 18771231  1041.9
18780101 18781231  1133.6
18790101 18791231  1005.7
18800101 18801231  1439.2
18810101 18811231  1035.1
18820101 18821231   985.9
18830101 18831231   948.9
18840101 18841231   955.9
18850101 18851231  1133.8
18860101 18861231  1199.3
18870101 18871231  1112.9
18880101 18881231  1038.9
18890101 18891231  1111.1
18900101 18901231  1210.1
18910101 18911231  1015.2
18920101 18921231  1142.9
18930101 18931231   947.4
18940101 18941231  1184.3
18950101 18951231  1077.7
18960101 18961231  1099.0
18970101 18971231  1089.2
18980101 18981231   999.5
18990101 18991231  1084.1
19000101 19001231  1087.5
19010101 19011231  1136.8
19020101 19021231   897.2
19030101 19031231  1109.7
19040101 19041231   810.8
19050101 19051231  1038.3
19060101 19061231  1109.9
19070101 19071231   876.6
19080101 19081231   785.4
19090101 19091231   979.3
19100101 19101231  1087.4
19110101 19111231   810.4
19120101 19121231   878.7
19130101 19131231  1017.2
19140101 19141231   756.7
19150101 19151231   983.3
19160101 19161231  1201.2
19170101 19171231  1308.7
19180101 19181231   880.3
19190101 19191231   985.6
19200101 19201231   899.7
19210101 19211231   893.8
19220101 19221231  1123.5
19230101 19231231  1200.4
19240101 19241231   982.9
19250101 19251231   812.1
19260101 19261231   981.7
19270101 19271231   811.7
19280101 19281231  1082.5
19290101 19291231  1016.8
19300101 19301231   880.2
19310101 19311231  1052.3
19320101 19321231   900.0
19330101 19331231   882.6
19340101 19341231  1009.0
19350101 19351231  1097.7
19360101 19361231  1032.9
19370101 19371231   904.2
19380101 19381231   854.4
19390101 19391231  1287.7
19400101 19401231   882.8
19410101 19411231  1242.8
19420101 19421231  1083.4
19430101 19431231  1062.1
19440101 19441231  1061.6
19450101 19451231   828.2
19460101 19461231  1343.3
19470101 19471231  1299.3
19480101 19481231  1079.7
19490101 19491231  1006.9
19500101 19501231   891.1
19510101 19511231  1248.9
19520101 19521231  1361.7
19530101 19531231  1147.3
19540101 19541231   878.3
19550101 19551231  1147.6
19560101 19561231  1253.9
19570101 19571231   979.5
19580101 19581231  1127.3
19590101 19591231   836.8
19600101 19601231   917.5
19610101 19611231   811.5
19620101 19621231  1288.4
19630101 19631231  1098.0
19640101 19641231  1267.5
19650101 19651231  1110.1
19660101 19661231   988.2
19670101 19671231   659.1
19680101 19681231  1322.0
19690101 19691231   986.5
19700101 19701231  1310.7
19710101 19711231  1306.7
19720101 19721231   786.4
19730101 19731231  1346.3
19740101 19741231  1151.3
19750101 19751231  1163.8
19760101 19761231   806.7
19770101 19771231  1091.8
19780101 19781231  1271.0
19790101 19791231  1204.0
19800101 19801231  1131.0
19810101 19811231  1150.1
19820101 19821231   787.9
19830101 19831231   988.8
19840101 19841231  1086.6
19850101 19851231   972.7
19860101 19861231  1102.0
19870101 19871231   802.5
19880101 19881231  1106.0
19890101 19891231   971.4
19900101 19901231  1110.6
19910101 19911231  1427.4
19920101 19921231  1303.9
19930101 19931231  1329.3
19940101 19941231  1075.2
19950101 19951231  1490.4
19960101 19961231 99999.9
19970101 19971231   848.2
19980101 19981231  1054.2
19990101 19991231   867.6
20000101 20001231  1238.3
20010101 20011231  1029.6
20020101 20021231   985.8
20030101 20031231   774.0
20040101 20041231  1103.6
20050101 20051231   866.8
20060101 20061231   634.0
20070101 20071231   946.0
20080101 20081231   865.8
20090101 20091231  1305.0
20100101 20101231  1234.8
20110101 20111231  1109.2
20120101 20121231 99999.9
20130101 20131231  1359.0
20140101 20141231   896.4
20150101 20151231   708.4
20160101 20161231  1446.8
20170101 20171231  1151.4
