PRCP       086117 18930101 20141231 missing_value=99999.9 TOOROURRONG                               
18930101 18931231   971.9
18940101 18941231   904.2
18950101 18951231   555.2
18960101 18961231   745.7
18970101 18971231   805.5
18980101 18981231   598.0
18990101 18991231   804.0
19000101 19001231   862.8
19010101 19011231   990.2
19020101 19021231   735.0
19030101 19031231   936.8
19040101 19041231   857.9
19050101 19051231   823.3
19060101 19061231   816.8
19070101 19071231   628.3
19080101 19081231   532.9
19090101 19091231   781.0
19100101 19101231   820.7
19110101 19111231  1076.3
19120101 19121231   658.7
19130101 19131231   621.1
19140101 19141231   565.7
19150101 19151231   567.6
19160101 19161231  1074.0
19170101 19171231   840.4
19180101 19181231   735.5
19190101 19191231   612.7
19200101 19201231   987.4
19210101 19211231   745.0
19220101 19221231   790.7
19230101 19231231   711.3
19240101 19241231  1233.4
19250101 19251231   629.1
19260101 19261231   611.5
19270101 19271231   549.8
19280101 19281231   848.9
19290101 19291231   827.2
19300101 19301231   877.5
19310101 19311231   953.8
19320101 19321231   891.8
19330101 19331231   666.7
19340101 19341231  1038.6
19350101 19351231   892.3
19360101 19361231   761.0
19370101 19371231   698.7
19380101 19381231   498.6
19390101 19391231  1007.1
19400101 19401231   594.4
19410101 19411231   924.0
19420101 19421231   842.6
19430101 19431231   548.7
19440101 19441231   596.9
19450101 19451231   482.7
19460101 19461231   779.4
19470101 19471231   846.5
19480101 19481231   666.0
19490101 19491231   961.5
19500101 19501231   874.8
19510101 19511231   939.1
19520101 19521231   995.0
19530101 19531231   862.2
19540101 19541231   927.5
19550101 19551231   942.5
19560101 19561231  1036.6
19570101 19571231   638.7
19580101 19581231   915.7
19590101 19591231   755.8
19600101 19601231  1076.4
19610101 19611231   689.1
19620101 19621231   707.6
19630101 19631231   798.6
19640101 19641231   879.4
19650101 19651231   686.8
19660101 19661231   906.8
19670101 19671231   473.3
19680101 19681231   696.3
19690101 19691231   774.3
19700101 19701231   990.1
19710101 19711231   923.7
19720101 19721231   604.0
19730101 19731231   946.9
19740101 19741231  1107.0
19750101 19751231   850.9
19760101 19761231   651.8
19770101 19771231   815.4
19780101 19781231  1157.8
19790101 19791231   650.2
19800101 19801231   760.6
19810101 19811231   826.4
19820101 19821231   545.0
19830101 19831231   788.0
19840101 19841231   735.4
19850101 19851231   969.8
19860101 19861231   727.0
19870101 19871231   859.6
19880101 19881231   928.2
19890101 19891231  1028.0
19900101 19901231   815.4
19910101 19911231   850.6
19920101 19921231 99999.9
19930101 19931231  1008.0
19940101 19941231   607.8
19950101 19951231   902.8
19960101 19961231  1007.2
19970101 19971231   530.6
19980101 19981231   736.4
19990101 19991231   813.2
20000101 20001231   880.6
20010101 20011231   816.8
20020101 20021231   518.9
20030101 20031231   739.8
20040101 20041231   840.8
20050101 20051231   747.7
20060101 20061231   605.4
20070101 20071231   628.6
20080101 20081231   663.0
20090101 20091231   542.4
20100101 20101231  1099.0
20110101 20111231  1089.4
20120101 20121231   791.2
20130101 20131231   727.0
20140101 20141231   607.0
