PRCP       086131 18630101 20141231 missing_value=99999.9 YAN YEAN                                  
18630101 18631231   833.8
18640101 18641231   772.2
18650101 18651231   480.9
18660101 18661231   523.3
18670101 18671231   635.1
18680101 18681231   459.0
18690101 18691231   542.3
18700101 18701231   712.0
18710101 18711231   722.3
18720101 18721231  1048.6
18730101 18731231   618.8
18740101 18741231   653.0
18750101 18751231   789.7
18760101 18761231   514.4
18770101 18771231   507.4
18780101 18781231   679.9
18790101 18791231   515.4
18800101 18801231   677.3
18810101 18811231   598.1
18820101 18821231   564.7
18830101 18831231   592.8
18840101 18841231   580.2
18850101 18851231   689.4
18860101 18861231   640.4
18870101 18871231   849.8
18880101 18881231   520.6
18890101 18891231   799.4
18900101 18901231   681.4
18910101 18911231   635.3
18920101 18921231   603.9
18930101 18931231   638.1
18940101 18941231   609.8
18950101 18951231   417.5
18960101 18961231   539.5
18970101 18971231   563.8
18980101 18981231   393.7
18990101 18991231   626.2
19000101 19001231   633.3
19010101 19011231   785.7
19020101 19021231   638.4
19030101 19031231   737.3
19040101 19041231   677.2
19050101 19051231   752.9
19060101 19061231   581.4
19070101 19071231   576.9
19080101 19081231   425.4
19090101 19091231   586.6
19100101 19101231   641.8
19110101 19111231   974.4
19120101 19121231   554.7
19130101 19131231   633.9
19140101 19141231   569.9
19150101 19151231   499.0
19160101 19161231   954.6
19170101 19171231   757.9
19180101 19181231   717.4
19190101 19191231   563.0
19200101 19201231   772.3
19210101 19211231   663.4
19220101 19221231   705.4
19230101 19231231   578.4
19240101 19241231   957.3
19250101 19251231   455.6
19260101 19261231   501.8
19270101 19271231   440.2
19280101 19281231   607.9
19290101 19291231   717.1
19300101 19301231   786.7
19310101 19311231   878.4
19320101 19321231   802.2
19330101 19331231   573.2
19340101 19341231   900.7
19350101 19351231   788.0
19360101 19361231   620.1
19370101 19371231   600.5
19380101 19381231   407.4
19390101 19391231   901.0
19400101 19401231   466.4
19410101 19411231   780.7
19420101 19421231   651.3
19430101 19431231   475.9
19440101 19441231   524.4
19450101 19451231   371.7
19460101 19461231   669.0
19470101 19471231   737.8
19480101 19481231   555.5
19490101 19491231   763.0
19500101 19501231   723.4
19510101 19511231   814.7
19520101 19521231   891.0
19530101 19531231   689.8
19540101 19541231   836.1
19550101 19551231   811.8
19560101 19561231   899.8
19570101 19571231   574.3
19580101 19581231   779.4
19590101 19591231   716.9
19600101 19601231   913.3
19610101 19611231   550.1
19620101 19621231   655.5
19630101 19631231   743.2
19640101 19641231   701.2
19650101 19651231   605.1
19660101 19661231   753.9
19670101 19671231   407.4
19680101 19681231   557.6
19690101 19691231   653.7
19700101 19701231   830.6
19710101 19711231   764.8
19720101 19721231   570.8
19730101 19731231   872.3
19740101 19741231   963.4
19750101 19751231   779.0
19760101 19761231   566.8
19770101 19771231   783.6
19780101 19781231   937.8
19790101 19791231   550.4
19800101 19801231   664.7
19810101 19811231   620.8
19820101 19821231   475.0
19830101 19831231   680.6
19840101 19841231   545.4
19850101 19851231   802.8
19860101 19861231   596.8
19870101 19871231   679.6
19880101 19881231   785.8
19890101 19891231   881.8
19900101 19901231   702.6
19910101 19911231   666.8
19920101 19921231   829.6
19930101 19931231   779.4
19940101 19941231   495.1
19950101 19951231   807.6
19960101 19961231   791.5
19970101 19971231   484.4
19980101 19981231   611.0
19990101 19991231   690.4
20000101 20001231   750.4
20010101 20011231   657.7
20020101 20021231   483.8
20030101 20031231   611.0
20040101 20041231   672.6
20050101 20051231   582.8
20060101 20061231   452.8
20070101 20071231   483.2
20080101 20081231   521.5
20090101 20091231   470.6
20100101 20101231   907.4
20110101 20111231   884.8
20120101 20121231   671.6
20130101 20131231   682.4
20140101 20141231   487.0
