PRCP       087034 18770101 20111231 missing_value=99999.9 LOVELY BANKS RESERVOIR                    
18770101 18771231   363.0
18780101 18781231   504.4
18790101 18791231   410.8
18800101 18801231   642.1
18810101 18811231   409.9
18820101 18821231   419.9
18830101 18831231   437.0
18840101 18841231   357.0
18850101 18851231   516.7
18860101 18861231   545.3
18870101 18871231   559.0
18880101 18881231   354.8
18890101 18891231   533.6
18900101 18901231   534.7
18910101 18911231   525.2
18920101 18921231   513.8
18930101 18931231   611.8
18940101 18941231   495.4
18950101 18951231   463.7
18960101 18961231   623.9
18970101 18971231   498.8
18980101 18981231   381.6
18990101 18991231   618.1
19000101 19001231   470.9
19010101 19011231   501.7
19020101 19021231   424.0
19030101 19031231   569.4
19040101 19041231   456.1
19050101 19051231   502.1
19060101 19061231   553.0
19070101 19071231   484.7
19080101 19081231   379.7
19090101 19091231   532.4
19100101 19101231   581.7
19110101 19111231   711.5
19120101 19121231   445.4
19130101 19131231   557.7
19140101 19141231   351.9
19150101 19151231   458.4
19160101 19161231   675.9
19170101 19171231   519.6
19180101 19181231   422.7
19190101 19191231   493.3
19200101 19201231   406.7
19210101 19211231   570.0
19220101 19221231   544.0
19230101 19231231   510.5
19240101 19241231   729.6
19250101 19251231   361.5
19260101 19261231   377.9
19270101 19271231   332.0
19280101 19281231   535.3
19290101 19291231   485.7
19300101 19301231   552.4
19310101 19311231   497.6
19320101 19321231   498.7
19330101 19331231   484.5
19340101 19341231   670.0
19350101 19351231   487.5
19360101 19361231   514.8
19370101 19371231   388.6
19380101 19381231   394.7
19390101 19391231   626.8
19400101 19401231   354.8
19410101 19411231   543.3
19420101 19421231   493.3
19430101 19431231   406.2
19440101 19441231   357.9
19450101 19451231   502.7
19460101 19461231   635.6
19470101 19471231   633.5
19480101 19481231   466.6
19490101 19491231   700.1
19500101 19501231   668.6
19510101 19511231   687.5
19520101 19521231   699.1
19530101 19531231   490.4
19540101 19541231   638.9
19550101 19551231   633.0
19560101 19561231   531.5
19570101 19571231   459.3
19580101 19581231   540.3
19590101 19591231   532.9
19600101 19601231   586.4
19610101 19611231   422.9
19620101 19621231   507.5
19630101 19631231   551.2
19640101 19641231   710.9
19650101 19651231   553.9
19660101 19661231   642.3
19670101 19671231   285.4
19680101 19681231   477.6
19690101 19691231   428.4
19700101 19701231   735.7
19710101 19711231   625.0
19720101 19721231   453.6
19730101 19731231   804.8
19740101 19741231   720.1
19750101 19751231   588.1
19760101 19761231   530.3
19770101 19771231   497.4
19780101 19781231   775.4
19790101 19791231   408.2
19800101 19801231   488.7
19810101 19811231   641.4
19820101 19821231   291.0
19830101 19831231   631.4
19840101 19841231   511.2
19850101 19851231   510.3
19860101 19861231   480.6
19870101 19871231   596.0
19880101 19881231   631.4
19890101 19891231   715.9
19900101 19901231   553.8
19910101 19911231   530.8
19920101 19921231   744.6
19930101 19931231   590.6
19940101 19941231   430.5
19950101 19951231   638.2
19960101 19961231   508.6
19970101 19971231   399.2
19980101 19981231   468.4
19990101 19991231   540.8
20000101 20001231   547.5
20010101 20011231   622.4
20020101 20021231   364.5
20030101 20031231   449.4
20040101 20041231   525.4
20050101 20051231   517.7
20060101 20061231   292.5
20070101 20071231   421.5
20080101 20081231   284.8
20090101 20091231   426.8
20100101 20101231   597.3
20110101 20111231   547.2
