PRCP       087043 18750101 20171231 missing_value=99999.9 MEREDITH (DARRA)                          
18750101 18751231   948.1
18760101 18761231   673.7
18770101 18771231   546.6
18780101 18781231   657.4
18790101 18791231   597.5
18800101 18801231   980.5
18810101 18811231   597.8
18820101 18821231   676.6
18830101 18831231   763.7
18840101 18841231   582.6
18850101 18851231   724.9
18860101 18861231   716.4
18870101 18871231   848.8
18880101 18881231   570.0
18890101 18891231   782.3
18900101 18901231   712.9
18910101 18911231   846.4
18920101 18921231   717.4
18930101 18931231   805.2
18940101 18941231   706.7
18950101 18951231   630.4
18960101 18961231   789.7
18970101 18971231   765.1
18980101 18981231   496.2
18990101 18991231   748.9
19000101 19001231   660.0
19010101 19011231   569.2
19020101 19021231   630.1
19030101 19031231   802.8
19040101 19041231   664.2
19050101 19051231   639.3
19060101 19061231   745.4
19070101 19071231   592.9
19080101 19081231   460.3
19090101 19091231   673.7
19100101 19101231   633.1
19110101 19111231   799.1
19120101 19121231   495.1
19130101 19131231   602.5
19140101 19141231   422.2
19150101 19151231   530.5
19160101 19161231   885.5
19170101 19171231   648.5
19180101 19181231   608.7
19190101 19191231   633.5
19200101 19201231   510.3
19210101 19211231   670.8
19220101 19221231   674.4
19230101 19231231   667.4
19240101 19241231   935.6
19250101 19251231   581.9
19260101 19261231   674.5
19270101 19271231   625.8
19280101 19281231   899.7
19290101 19291231   758.2
19300101 19301231   689.8
19310101 19311231   580.9
19320101 19321231   707.6
19330101 19331231   643.1
19340101 19341231   774.0
19350101 19351231   705.8
19360101 19361231   631.4
19370101 19371231   539.3
19380101 19381231   462.9
19390101 19391231   861.3
19400101 19401231   541.6
19410101 19411231   647.5
19420101 19421231   571.2
19430101 19431231   527.0
19440101 19441231   460.5
19450101 19451231   475.4
19460101 19461231   770.5
19470101 19471231   618.1
19480101 19481231   578.7
19490101 19491231   785.9
19500101 19501231   885.4
19510101 19511231   895.7
19520101 19521231  1099.5
19530101 19531231   645.8
19540101 19541231   892.4
19550101 19551231   758.3
19560101 19561231   827.4
19570101 19571231   574.9
19580101 19581231   644.6
19590101 19591231   665.6
19600101 19601231   726.5
19610101 19611231   581.3
19620101 19621231   598.2
19630101 19631231   798.8
19640101 19641231   920.3
19650101 19651231   617.1
19660101 19661231   773.1
19670101 19671231   356.5
19680101 19681231   648.2
19690101 19691231   621.1
19700101 19701231  1108.0
19710101 19711231   839.0
19720101 19721231   504.5
19730101 19731231   799.7
19740101 19741231   823.8
19750101 19751231   646.6
19760101 19761231   709.4
19770101 19771231   589.6
19780101 19781231  1021.2
19790101 19791231   449.8
19800101 19801231   537.4
19810101 19811231   704.8
19820101 19821231   413.2
19830101 19831231   760.0
19840101 19841231   545.6
19850101 19851231   769.1
19860101 19861231   616.4
19870101 19871231   732.1
19880101 19881231   689.8
19890101 19891231   713.2
19900101 19901231   720.2
19910101 19911231   686.0
19920101 19921231   790.0
19930101 19931231   839.2
19940101 19941231   546.6
19950101 19951231   938.4
19960101 19961231   713.0
19970101 19971231   492.0
19980101 19981231   583.2
19990101 19991231   586.0
20000101 20001231   611.8
20010101 20011231   687.4
20020101 20021231   440.6
20030101 20031231   543.0
20040101 20041231   653.2
20050101 20051231   578.5
20060101 20061231   393.2
20070101 20071231   589.6
20080101 20081231   465.8
20090101 20091231   489.0
20100101 20101231   723.0
20110101 20111231   829.4
20120101 20121231   641.8
20130101 20131231   530.0
20140101 20141231   412.8
20150101 20151231   458.4
20160101 20161231   567.4
20170101 20171231   555.8
