PRCP       088060 18850101 20141231 missing_value=99999.9 WALLABY CREEK WEIR                        
18850101 18851231  1296.3
18860101 18861231  1141.3
18870101 18871231  1557.0
18880101 18881231   926.9
18890101 18891231  1691.0
18900101 18901231  1352.9
18910101 18911231  1239.9
18920101 18921231  1184.7
18930101 18931231  1518.8
18940101 18941231  1359.0
18950101 18951231   902.5
18960101 18961231  1027.6
18970101 18971231  1153.0
18980101 18981231   932.7
18990101 18991231  1208.4
19000101 19001231  1226.1
19010101 19011231  1435.4
19020101 19021231  1007.9
19030101 19031231  1313.8
19040101 19041231  1432.3
19050101 19051231  1288.8
19060101 19061231  1261.5
19070101 19071231   955.0
19080101 19081231   914.6
19090101 19091231  1251.0
19100101 19101231  1240.8
19110101 19111231  1501.2
19120101 19121231   953.6
19130101 19131231  1075.1
19140101 19141231   737.7
19150101 19151231  1091.9
19160101 19161231  1674.2
19170101 19171231  1307.3
19180101 19181231  1272.4
19190101 19191231   954.0
19200101 19201231  1347.0
19210101 19211231  1107.0
19220101 19221231   989.2
19230101 19231231  1241.7
19240101 19241231  1444.8
19250101 19251231   942.6
19260101 19261231   973.1
19270101 19271231   865.5
19280101 19281231  1166.4
19290101 19291231  1153.4
19300101 19301231  1303.1
19310101 19311231  1545.6
19320101 19321231  1300.5
19330101 19331231  1184.0
19340101 19341231  1525.5
19350101 19351231  1461.4
19360101 19361231  1113.3
19370101 19371231  1010.1
19380101 19381231   765.6
19390101 19391231  1685.4
19400101 19401231   993.5
19410101 19411231  1433.7
19420101 19421231  1256.0
19430101 19431231   860.4
19440101 19441231   958.4
19450101 19451231   820.0
19460101 19461231  1265.5
19470101 19471231  1254.9
19480101 19481231   938.0
19490101 19491231  1265.8
19500101 19501231  1125.5
19510101 19511231  1413.2
19520101 19521231  1555.1
19530101 19531231  1294.6
19540101 19541231  1198.0
19550101 19551231  1526.4
19560101 19561231  1813.8
19570101 19571231  1063.7
19580101 19581231  1291.0
19590101 19591231  1197.1
19600101 19601231  1709.8
19610101 19611231  1041.4
19620101 19621231  1156.7
19630101 19631231  1156.5
19640101 19641231  1317.3
19650101 19651231  1048.1
19660101 19661231  1331.5
19670101 19671231   727.9
19680101 19681231  1301.6
19690101 19691231  1179.9
19700101 19701231  1275.8
19710101 19711231  1396.4
19720101 19721231   900.9
19730101 19731231  1561.7
19740101 19741231  1612.8
19750101 19751231  1394.1
19760101 19761231  1049.6
19770101 19771231  1223.6
19780101 19781231  1477.0
19790101 19791231  1076.8
19800101 19801231  1093.6
19810101 19811231  1254.4
19820101 19821231   760.8
19830101 19831231  1225.4
19840101 19841231  1312.8
19850101 19851231  1342.2
19860101 19861231  1194.4
19870101 19871231  1298.2
19880101 19881231  1335.8
19890101 19891231  1451.6
19900101 19901231  1149.6
19910101 19911231  1157.0
19920101 19921231  1496.4
19930101 19931231  1407.4
19940101 19941231   822.8
19950101 19951231  1278.8
19960101 19961231  1508.8
19970101 19971231   739.2
19980101 19981231  1065.4
19990101 19991231  1224.5
20000101 20001231  1368.9
20010101 20011231  1061.9
20020101 20021231   793.6
20030101 20031231  1128.2
20040101 20041231  1196.6
20050101 20051231  1076.8
20060101 20061231   741.0
20070101 20071231   917.0
20080101 20081231   940.0
20090101 20091231   814.6
20100101 20101231  1603.4
20110101 20111231  1471.2
20120101 20121231  1110.0
20130101 20131231  1040.0
20140101 20141231   918.2
