PRCP       090135 18900101 20171231 missing_value=99999.9 CASTERTON SHOWGROUNDS                     
18900101 18901231   701.7
18910101 18911231   586.0
18920101 18921231   565.0
18930101 18931231   727.1
18940101 18941231   775.9
18950101 18951231   756.1
18960101 18961231   531.3
18970101 18971231   471.6
18980101 18981231   579.8
18990101 18991231   554.4
19000101 19001231   629.3
19010101 19011231   574.1
19020101 19021231   557.3
19030101 19031231   740.4
19040101 19041231   542.5
19050101 19051231   626.6
19060101 19061231   711.2
19070101 19071231   622.8
19080101 19081231   595.6
19090101 19091231   744.1
19100101 19101231   831.3
19110101 19111231   671.9
19120101 19121231   607.3
19130101 19131231   620.2
19140101 19141231   400.1
19150101 19151231   615.3
19160101 19161231   631.8
19170101 19171231   818.6
19180101 19181231   649.1
19190101 19191231   625.4
19200101 19201231   658.3
19210101 19211231   579.8
19220101 19221231   557.7
19230101 19231231   733.6
19240101 19241231   768.0
19250101 19251231   579.3
19260101 19261231   624.0
19270101 19271231   570.7
19280101 19281231   757.8
19290101 19291231   687.7
19300101 19301231   781.6
19310101 19311231   628.6
19320101 19321231   771.5
19330101 19331231   674.6
19340101 19341231   636.0
19350101 19351231   736.4
19360101 19361231   721.4
19370101 19371231   637.1
19380101 19381231   568.4
19390101 19391231   693.6
19400101 19401231   482.0
19410101 19411231   679.5
19420101 19421231   706.9
19430101 19431231   555.4
19440101 19441231   566.3
19450101 19451231   628.3
19460101 19461231   995.7
19470101 19471231   764.8
19480101 19481231   578.9
19490101 19491231   554.1
19500101 19501231   445.6
19510101 19511231   728.2
19520101 19521231   893.6
19530101 19531231   705.8
19540101 19541231   509.6
19550101 19551231   699.2
19560101 19561231   742.4
19570101 19571231   634.3
19580101 19581231   688.5
19590101 19591231   492.7
19600101 19601231   793.8
19610101 19611231   507.2
19620101 19621231   575.0
19630101 19631231   513.3
19640101 19641231   826.6
19650101 19651231   508.0
19660101 19661231   587.7
19670101 19671231   329.1
19680101 19681231   716.3
19690101 19691231   535.2
19700101 19701231   689.9
19710101 19711231   753.6
19720101 19721231   411.1
19730101 19731231   684.5
19740101 19741231   644.4
19750101 19751231   774.4
19760101 19761231   674.4
19770101 19771231   474.5
19780101 19781231   617.9
19790101 19791231   560.7
19800101 19801231   486.0
19810101 19811231   559.1
19820101 19821231   312.4
19830101 19831231   698.2
19840101 19841231   618.0
19850101 19851231   636.0
19860101 19861231   725.5
19870101 19871231   626.7
19880101 19881231   670.4
19890101 19891231   730.6
19900101 19901231   619.8
19910101 19911231   694.8
19920101 19921231   808.9
19930101 19931231   611.4
19940101 19941231   516.4
19950101 19951231   685.8
19960101 19961231   731.8
19970101 19971231   481.8
19980101 19981231   537.7
19990101 19991231   659.4
20000101 20001231   734.9
20010101 20011231   735.8
20020101 20021231   544.6
20030101 20031231   815.2
20040101 20041231   669.8
20050101 20051231   530.2
20060101 20061231   398.6
20070101 20071231   839.2
20080101 20081231   567.5
20090101 20091231   659.1
20100101 20101231   799.3
20110101 20111231 99999.9
20120101 20121231   620.6
20130101 20131231   601.5
20140101 20141231   538.0
20150101 20151231   451.3
20160101 20161231   798.2
20170101 20171231   660.2
