PRCP       091109 19060101 20171231 missing_value=99999.9 YOLLA (SEA VIEW)                          
19060101 19061231  1916.0
19070101 19071231  1992.8
19080101 19081231  1146.5
19090101 19091231  1587.3
19100101 19101231  1919.8
19110101 19111231  1365.9
19120101 19121231  1659.9
19130101 19131231  1288.9
19140101 19141231   950.3
19150101 19151231  1699.9
19160101 19161231  1851.0
19170101 19171231  1908.0
19180101 19181231  1318.8
19190101 19191231  1087.9
19200101 19201231  1328.4
19210101 19211231  1235.7
19220101 19221231  1304.8
19230101 19231231  1860.4
19240101 19241231  1640.4
19250101 19251231  1097.8
19260101 19261231  1436.5
19270101 19271231  1144.6
19280101 19281231  1571.3
19290101 19291231  1846.5
19300101 19301231  1374.8
19310101 19311231  1677.0
19320101 19321231  1578.1
19330101 19331231  1113.4
19340101 19341231  1496.7
19350101 19351231  1340.0
19360101 19361231  1570.6
19370101 19371231  1308.1
19380101 19381231  1353.3
19390101 19391231  1663.6
19400101 19401231   969.3
19410101 19411231  1088.6
19420101 19421231  1560.8
19430101 19431231  1362.9
19440101 19441231  1227.3
19450101 19451231  1308.8
19460101 19461231  1802.5
19470101 19471231  1932.3
19480101 19481231  1604.2
19490101 19491231  1358.6
19500101 19501231  1170.4
19510101 19511231  1323.6
19520101 19521231  1624.6
19530101 19531231  1472.9
19540101 19541231  1350.8
19550101 19551231  1825.3
19560101 19561231  2059.9
19570101 19571231  1090.5
19580101 19581231  1325.5
19590101 19591231  1126.8
19600101 19601231  1428.8
19610101 19611231  1133.2
19620101 19621231  1472.7
19630101 19631231  1267.5
19640101 19641231  2003.8
19650101 19651231  1200.8
19660101 19661231  1193.6
19670101 19671231  1022.3
19680101 19681231  1825.6
19690101 19691231  1459.5
19700101 19701231  1547.4
19710101 19711231  1964.0
19720101 19721231  1063.2
19730101 19731231  1878.4
19740101 19741231  2055.5
19750101 19751231  2123.6
19760101 19761231  1326.4
19770101 19771231  1302.7
19780101 19781231  1491.9
19790101 19791231  1715.8
19800101 19801231  1458.0
19810101 19811231  1572.2
19820101 19821231   998.3
19830101 19831231  1146.6
19840101 19841231  1532.3
19850101 19851231  1324.6
19860101 19861231  1457.0
19870101 19871231  1080.8
19880101 19881231  1488.0
19890101 19891231  1567.6
19900101 19901231  1238.5
19910101 19911231  1396.2
19920101 19921231  1695.8
19930101 19931231  1477.2
19940101 19941231  1146.0
19950101 19951231  1298.0
19960101 19961231  1827.6
19970101 19971231  1252.0
19980101 19981231  1420.4
19990101 19991231  1232.8
20000101 20001231  1414.6
20010101 20011231  1371.4
20020101 20021231  1150.2
20030101 20031231  1395.1
20040101 20041231  1328.4
20050101 20051231  1586.4
20060101 20061231   803.4
20070101 20071231  1337.8
20080101 20081231  1167.2
20090101 20091231  1418.2
20100101 20101231  1466.6
20110101 20111231  1596.9
20120101 20121231  1443.2
20130101 20131231  1611.4
20140101 20141231  1138.8
20150101 20151231   969.6
20160101 20161231  2177.1
20170101 20171231  1120.6
