PRCP       092012 18890101 20171231 missing_value=99999.9 FINGAL (FORESTRY LEGGE STREET)            
18890101 18891231   994.0
18900101 18901231  1051.1
18910101 18911231   764.4
18920101 18921231   674.0
18930101 18931231   859.5
18940101 18941231   688.6
18950101 18951231   521.6
18960101 18961231   556.6
18970101 18971231   456.1
18980101 18981231   551.0
18990101 18991231   483.4
19000101 19001231   409.2
19010101 19011231   521.8
19020101 19021231   464.3
19030101 19031231   745.1
19040101 19041231   514.2
19050101 19051231   769.8
19060101 19061231   427.1
19070101 19071231   529.5
19080101 19081231   301.5
19090101 19091231   531.4
19100101 19101231   618.2
19110101 19111231   644.1
19120101 19121231   623.3
19130101 19131231   348.2
19140101 19141231   415.8
19150101 19151231   640.2
19160101 19161231  1030.6
19170101 19171231   893.5
19180101 19181231   512.5
19190101 19191231   356.6
19200101 19201231   598.9
19210101 19211231   514.4
19220101 19221231   809.6
19230101 19231231   766.4
19240101 19241231   622.3
19250101 19251231   479.2
19260101 19261231   560.8
19270101 19271231   455.7
19280101 19281231   659.6
19290101 19291231   852.1
19300101 19301231   504.9
19310101 19311231   763.3
19320101 19321231   726.0
19330101 19331231   463.5
19340101 19341231   783.1
19350101 19351231   788.6
19360101 19361231   576.1
19370101 19371231   608.1
19380101 19381231   717.9
19390101 19391231   753.9
19400101 19401231   398.5
19410101 19411231   556.6
19420101 19421231   522.6
19430101 19431231   517.9
19440101 19441231   630.5
19450101 19451231   424.4
19460101 19461231   827.3
19470101 19471231   738.0
19480101 19481231   455.7
19490101 19491231   595.5
19500101 19501231   579.6
19510101 19511231   534.9
19520101 19521231   799.6
19530101 19531231   609.1
19540101 19541231   452.7
19550101 19551231   619.3
19560101 19561231   956.9
19570101 19571231   564.8
19580101 19581231   731.1
19590101 19591231   608.8
19600101 19601231   698.2
19610101 19611231   385.7
19620101 19621231   557.9
19630101 19631231   478.7
19640101 19641231   681.9
19650101 19651231   467.0
19660101 19661231   531.2
19670101 19671231   414.3
19680101 19681231   405.3
19690101 19691231   747.0
19700101 19701231   946.2
19710101 19711231   758.9
19720101 19721231   411.3
19730101 19731231   589.1
19740101 19741231   957.0
19750101 19751231   819.0
19760101 19761231   668.6
19770101 19771231   621.8
19780101 19781231   829.0
19790101 19791231   411.8
19800101 19801231   509.8
19810101 19811231   667.0
19820101 19821231   485.1
19830101 19831231   672.0
19840101 19841231   691.2
19850101 19851231   718.6
19860101 19861231   681.2
19870101 19871231   394.9
19880101 19881231   553.6
19890101 19891231   742.4
19900101 19901231   428.3
19910101 19911231   551.6
19920101 19921231   640.1
19930101 19931231   559.2
19940101 19941231   385.1
19950101 19951231   697.4
19960101 19961231   650.0
19970101 19971231   374.2
19980101 19981231   528.1
19990101 19991231   548.2
20000101 20001231   614.6
20010101 20011231   750.5
20020101 20021231   458.8
20030101 20031231   746.4
20040101 20041231   598.2
20050101 20051231   636.2
20060101 20061231   352.8
20070101 20071231   468.8
20080101 20081231   476.4
20090101 20091231 99999.9
20100101 20101231 99999.9
20110101 20111231   916.2
20120101 20121231   419.8
20130101 20131231   708.8
20140101 20141231   439.2
20150101 20151231   492.2
20160101 20161231  1026.6
20170101 20171231   453.6
