PRCP       092037 19040101 20031231 missing_value=99999.9 SWAN ISLAND LIGHTHOUSE                    
19040101 19041231   489.6
19050101 19051231   664.0
19060101 19061231   671.5
19070101 19071231   552.3
19080101 19081231   327.8
19090101 19091231   543.3
19100101 19101231   635.2
19110101 19111231   637.6
19120101 19121231   618.7
19130101 19131231   473.2
19140101 19141231   588.6
19150101 19151231   476.1
19160101 19161231   879.0
19170101 19171231   843.3
19180101 19181231   550.7
19190101 19191231   469.3
19200101 19201231   606.0
19210101 19211231   578.9
19220101 19221231   608.5
19230101 19231231   601.3
19240101 19241231   649.5
19250101 19251231   425.9
19260101 19261231   574.6
19270101 19271231   488.2
19280101 19281231   802.6
19290101 19291231   741.9
19300101 19301231   678.4
19310101 19311231   696.7
19320101 19321231   704.4
19330101 19331231   537.6
19340101 19341231   716.6
19350101 19351231   704.8
19360101 19361231   758.5
19370101 19371231   584.4
19380101 19381231   630.2
19390101 19391231  1096.4
19400101 19401231   458.5
19410101 19411231   421.5
19420101 19421231   673.0
19430101 19431231   427.3
19440101 19441231   540.6
19450101 19451231   536.4
19460101 19461231   836.8
19470101 19471231   760.1
19480101 19481231   491.6
19490101 19491231   706.4
19500101 19501231   514.8
19510101 19511231   440.4
19520101 19521231   829.8
19530101 19531231   586.2
19540101 19541231   496.2
19550101 19551231   857.3
19560101 19561231   820.7
19570101 19571231   470.1
19580101 19581231   656.1
19590101 19591231   454.2
19600101 19601231   704.4
19610101 19611231   440.9
19620101 19621231   677.0
19630101 19631231   485.9
19640101 19641231   861.4
19650101 19651231   547.2
19660101 19661231   570.4
19670101 19671231   492.6
19680101 19681231   576.1
19690101 19691231   627.3
19700101 19701231   930.1
19710101 19711231  1046.8
19720101 19721231   498.9
19730101 19731231   769.2
19740101 19741231   783.9
19750101 19751231   658.7
19760101 19761231   542.6
19770101 19771231   512.0
19780101 19781231   569.9
19790101 19791231   498.7
19800101 19801231   514.0
19810101 19811231   537.4
19820101 19821231   487.8
19830101 19831231   553.2
19840101 19841231   577.7
19850101 19851231   678.9
19860101 19861231   594.6
19870101 19871231   573.3
19880101 19881231   577.2
19890101 19891231   645.4
19900101 19901231   498.2
19910101 19911231   586.4
19920101 19921231   625.2
19930101 19931231   619.4
19940101 19941231   378.5
19950101 19951231   543.0
19960101 19961231   569.7
19970101 19971231   411.3
19980101 19981231   645.4
19990101 19991231   504.2
20000101 20001231   615.4
20010101 20011231   697.4
20020101 20021231   494.3
20030101 20031231   679.3
